Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
563, 600, 17.0, 17.2, 34.6, 5.4, 17.0, 34.4, 18.6, 27.2, 200.0, 1.6, 2.2, 3.4, 1.8, 3.0, 5.6, 3.8, 5.2, 8.2, 0.0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 329.5, 1668, 395, 39171, 949, 201, 49.2, 35.85, 0.058, 0.058
883, 480, 16.6, 16.6, 17.0, 4.0, 5.4, 12.6, 11.6, 14.8, 19.8, 2.0, 2.4, 4.2, 1.8, 2.8, 5.8, 3.8, 5.2, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1714, 468, 39610, 1085, 208, 36.4, 3.23, 0.000, 0.000
1204, 480, 16.6, 16.6, 17.0, 3.8, 5.2, 13.0, 10.6, 13.8, 24.2, 1.6, 2.2, 3.6, 1.6, 1.8, 3.6, 3.6, 4.4, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35.5, 1755, 525, 39606, 1014, 201, 36.0, 3.48, 0.000, 0.000
1523, 480, 16.6, 16.6, 17.2, 4.4, 6.2, 13.2, 13.0, 18.4, 20.6, 1.8, 2.2, 3.8, 1.6, 2.0, 2.6, 3.8, 4.6, 8.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1689, 527, 40039, 1145, 207, 37.8, 3.85, 0.000, 0.000
1843, 480, 16.6, 16.6, 17.0, 4.0, 5.2, 9.2, 12.8, 16.8, 19.6, 1.6, 2.0, 2.6, 1.6, 3.0, 3.8, 3.6, 5.2, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1695, 528, 40320, 1218, 210, 37.4, 4.20, 0.000, 0.000
2164, 480, 16.6, 16.6, 16.8, 4.0, 5.8, 12.6, 13.8, 17.8, 19.8, 1.6, 2.0, 2.6, 1.6, 2.8, 6.0, 3.6, 4.6, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1727, 553, 40700, 1380, 214, 38.4, 3.58, 0.000, 0.000
2483, 480, 16.6, 16.6, 17.4, 4.4, 7.4, 15.4, 16.6, 22.4, 33.0, 1.6, 2.2, 3.0, 1.6, 2.2, 3.2, 3.6, 4.8, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1713, 574, 41367, 1518, 216, 41.6, 100.00, 0.000, 0.000
2804, 480, 16.6, 16.6, 17.2, 4.0, 5.4, 10.2, 11.4, 16.2, 21.6, 1.6, 2.0, 3.8, 1.4, 1.8, 2.4, 3.6, 7.0, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1768, 672, 41685, 1611, 220, 42.6, 36.28, 0.000, 0.000
3124, 480, 16.6, 16.6, 16.8, 4.0, 5.6, 8.8, 12.2, 15.4, 22.0, 1.8, 2.2, 3.2, 1.6, 2.0, 2.6, 3.8, 4.8, 8.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1467, 678, 42155, 1733, 224, 37.6, 2.80, 0.000, 0.000
3444, 480, 16.6, 16.6, 24.0, 4.2, 5.4, 24.2, 11.6, 13.4, 32.6, 1.6, 2.0, 3.0, 1.4, 1.8, 3.4, 3.6, 4.4, 7.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 102.0, 1430, 639, 40196, 951, 192, 36.6, 3.40, 0.000, 0.000
