Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
19302, 600, 9.6, 12.6, 59.4, 4.6, 6.6, 58.2, 7.4, 16.4, 166.0, 2.2, 3.6, 9.6, 6.8, 9.6, 21.6, 7.6, 10.0, 11.8, 0.0, 10, 0, 1, 5, 0, 0, 2, 0, 1, 2, 0, 2, 15.5, 2897, 583, 77073, 2939, 325, 118.6, 4.60, 0.000, 0.000
19623, 600, 9.8, 16.2, 67.0, 4.6, 6.4, 29.4, 15.0, 21.4, 30.8, 2.2, 3.2, 9.6, 7.0, 12.4, 56.2, 7.4, 9.0, 10.6, 0.0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0.0, 2912, 611, 77294, 3027, 330, 121.8, 3.90, 0.000, 0.000
19943, 600, 9.6, 14.2, 114.8, 4.2, 6.0, 56.6, 14.2, 22.6, 43.4, 2.0, 3.0, 31.2, 7.0, 11.8, 113.0, 6.6, 8.8, 10.2, 0.0, 1, 0, 0, 11, 0, 0, 0, 0, 0, 7, 0, 0, 0.0, 2926, 615, 77388, 3068, 334, 120.4, 5.72, 0.000, 0.000
20282, 600, 10.4, 11.4, 200.0, 6.0, 6.4, 200.0, 15.4, 22.4, 56.4, 2.2, 3.2, 5.4, 6.0, 8.6, 80.0, 6.8, 8.6, 9.6, 0.0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0.0, 2936, 622, 77971, 3110, 343, 140.4, 4.93, 0.000, 0.000
20603, 600, 9.0, 12.0, 200.0, 5.2, 6.6, 200.0, 15.2, 24.8, 67.4, 2.2, 3.0, 11.0, 5.6, 9.2, 23.2, 6.2, 7.8, 9.6, 0.0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 28.0, 2920, 590, 77005, 2916, 323, 119.0, 4.03, 0.000, 0.000
20926, 600, 10.0, 15.4, 200.0, 5.8, 6.4, 200.0, 17.4, 24.0, 76.2, 2.2, 3.0, 6.6, 6.0, 10.8, 19.4, 6.4, 8.4, 9.6, 0.0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 2933, 591, 77102, 2934, 326, 127.0, 5.20, 0.000, 0.000
21259, 600, 9.0, 11.4, 200.0, 5.0, 5.8, 200.0, 18.8, 25.6, 55.2, 2.0, 3.0, 5.6, 5.4, 8.6, 11.4, 6.2, 7.8, 9.0, 0.0, 5, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0.0, 2928, 591, 77254, 3017, 328, 117.6, 5.45, 0.000, 0.000
21580, 600, 8.6, 11.2, 23.6, 3.8, 5.4, 8.8, 15.0, 21.8, 27.6, 2.0, 2.8, 7.4, 6.2, 8.8, 13.8, 6.8, 8.4, 9.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2942, 608, 77407, 3058, 334, 117.6, 3.00, 0.000, 0.000
21900, 600, 7.4, 10.4, 20.6, 4.2, 5.8, 18.0, 13.6, 20.4, 29.0, 1.8, 2.6, 7.0, 5.0, 7.6, 12.2, 5.6, 7.0, 8.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2949, 615, 78005, 3148, 342, 116.2, 3.15, 0.000, 0.000
22220, 600, 8.8, 11.0, 200.0, 4.8, 6.2, 200.0, 15.6, 22.2, 31.0, 1.8, 2.8, 5.8, 5.8, 8.6, 69.6, 6.4, 8.2, 9.8, 0.0, 1, 0, 0, 2, 0, 0, 1, 0, 0, 2, 0, 0, 0.0, 2952, 629, 78193, 3201, 347, 119.0, 4.43, 0.000, 0.000
22582, 600, 12.0, 20.8, 200.0, 8.8, 20.4, 200.0, 18.4, 26.6, 69.8, 1.6, 2.8, 4.8, 5.6, 9.6, 19.8, 6.0, 7.8, 9.4, 0.0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 2947, 629, 79025, 3241, 350, 118.4, 6.10, 0.000, 0.000
22984, 600, 9.4, 18.4, 65.2, 5.4, 11.4, 30.0, 19.0, 27.8, 140.6, 2.2, 3.0, 7.8, 6.2, 13.0, 73.6, 6.2, 8.0, 9.4, 0.0, 3, 0, 0, 3, 0, 0, 2, 0, 0, 1, 0, 1, 41.0, 2943, 625, 82091, 2981, 327, 118.8, 4.95, 0.000, 0.000
23304, 600, 9.6, 18.2, 50.6, 5.0, 7.4, 17.2, 12.8, 17.0, 27.6, 2.2, 3.6, 6.0, 6.0, 13.6, 48.4, 6.6, 8.4, 10.2, 0.0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2945, 626, 82230, 3028, 330, 122.4, 6.75, 0.000, 0.000
23624, 600, 9.6, 16.2, 70.6, 5.6, 7.8, 21.2, 13.4, 17.0, 23.6, 2.4, 3.8, 9.2, 5.6, 9.2, 67.4, 6.8, 8.6, 9.4, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2955, 629, 82511, 3095, 340, 126.0, 6.00, 0.000, 0.000
23944, 600, 9.8, 18.8, 84.6, 5.2, 7.4, 10.4, 12.4, 17.2, 27.8, 2.0, 3.4, 10.2, 6.6, 13.0, 82.4, 6.6, 8.8, 10.4, 0.0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0.0, 2962, 632, 82692, 3141, 343, 126.4, 6.38, 0.000, 0.000
24265, 600, 10.0, 14.2, 144.4, 5.0, 7.0, 55.2, 15.2, 22.2, 61.4, 2.2, 3.2, 10.6, 6.8, 10.0, 115.2, 6.4, 8.2, 10.0, 0.0, 1, 0, 0, 10, 0, 0, 0, 0, 0, 9, 0, 0, 0.0, 2969, 635, 83055, 3194, 352, 120.0, 6.18, 0.000, 0.000
24584, 600, 11.0, 18.6, 200.0, 5.6, 7.2, 200.0, 14.2, 20.8, 59.0, 2.2, 3.4, 12.0, 7.2, 13.6, 94.8, 6.2, 8.0, 9.6, 0.0, 4, 0, 0, 13, 0, 0, 2, 0, 0, 8, 0, 0, 0.0, 2963, 635, 83458, 3253, 358, 121.6, 7.10, 0.000, 0.000
24911, 600, 8.4, 11.0, 96.4, 4.4, 5.8, 95.8, 18.0, 23.6, 50.6, 1.8, 2.6, 7.0, 5.8, 8.2, 13.4, 6.4, 8.0, 10.0, 0.0, 4, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 2963, 647, 83626, 3313, 363, 122.2, 4.18, 0.000, 0.000
25243, 600, 12.0, 22.0, 200.0, 9.0, 22.0, 200.0, 17.2, 25.4, 56.2, 1.6, 2.4, 5.8, 5.0, 8.0, 11.8, 5.6, 7.2, 8.0, 0.0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 2963, 647, 83772, 3368, 369, 118.0, 4.53, 0.000, 0.000
25615, 600, 8.0, 10.6, 200.0, 4.6, 5.6, 200.0, 18.2, 25.2, 74.8, 1.6, 2.4, 8.4, 5.2, 8.2, 11.8, 5.8, 7.8, 9.2, 0.0, 3, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1, 39.0, 2956, 632, 82260, 3025, 334, 127.0, 4.43, 0.000, 0.000
25935, 600, 8.0, 11.0, 28.2, 4.2, 5.8, 12.0, 14.8, 21.4, 27.2, 1.8, 2.6, 7.8, 5.6, 8.4, 12.6, 6.2, 7.6, 8.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2960, 634, 82378, 3072, 340, 117.0, 2.90, 0.000, 0.000
26255, 600, 8.2, 11.2, 21.8, 4.6, 6.0, 15.0, 14.4, 20.8, 26.6, 2.2, 3.2, 8.8, 5.4, 8.2, 13.2, 6.4, 7.8, 8.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2963, 664, 82787, 3115, 347, 116.4, 2.90, 0.000, 0.000
26575, 600, 8.6, 11.2, 14.4, 4.6, 6.0, 9.0, 13.6, 19.2, 26.2, 2.2, 3.0, 8.4, 6.0, 8.6, 11.4, 6.8, 8.6, 9.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2955, 673, 82946, 3180, 353, 117.4, 2.90, 0.000, 0.000
26896, 600, 8.0, 10.6, 25.8, 4.2, 5.8, 13.0, 14.8, 21.4, 26.4, 1.8, 2.8, 5.4, 5.8, 8.4, 18.0, 6.4, 7.8, 8.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2968, 673, 83050, 3221, 357, 118.6, 2.75, 0.000, 0.000
27215, 600, 8.4, 12.6, 116.4, 4.4, 6.4, 30.0, 14.6, 21.8, 36.4, 1.6, 2.6, 6.0, 6.2, 9.6, 114.0, 5.6, 7.0, 8.2, 0.0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 6, 0, 0, 0.0, 2968, 673, 83130, 3262, 359, 118.0, 5.83, 0.000, 0.000
27536, 600, 10.0, 16.8, 83.4, 4.4, 6.4, 17.4, 12.8, 20.0, 34.2, 1.8, 2.8, 4.8, 7.6, 13.8, 81.6, 6.8, 8.2, 10.2, 0.0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 0, 0, 0.0, 2967, 673, 83259, 3312, 364, 119.0, 5.53, 0.000, 0.000
27855, 600, 9.4, 20.8, 59.8, 5.2, 9.6, 24.4, 13.2, 19.2, 28.8, 3.0, 4.8, 25.4, 5.6, 10.0, 64.6, 6.4, 8.0, 10.2, 0.0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 41.0, 2948, 643, 81979, 2954, 331, 117.0, 4.25, 0.000, 0.000
28176, 600, 8.0, 11.0, 24.0, 4.4, 5.8, 14.4, 14.6, 20.8, 36.4, 1.8, 2.6, 6.6, 5.4, 8.4, 10.6, 6.2, 8.0, 9.6, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2968, 643, 82129, 3008, 334, 117.4, 3.12, 0.000, 0.000
28496, 600, 8.4, 14.4, 41.8, 4.6, 6.2, 39.0, 12.6, 18.4, 33.0, 2.0, 3.0, 7.2, 5.6, 11.6, 27.6, 6.0, 7.4, 9.4, 0.0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2956, 643, 82261, 3070, 336, 120.0, 3.65, 0.000, 0.000
28817, 600, 8.8, 11.6, 68.2, 4.4, 6.4, 24.4, 12.8, 19.2, 31.6, 2.0, 3.0, 9.0, 6.4, 8.8, 67.0, 7.0, 8.8, 9.4, 0.0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2957, 643, 82403, 3116, 339, 118.4, 3.75, 0.000, 0.000
29137, 600, 8.0, 13.2, 73.0, 4.0, 5.6, 15.4, 12.6, 18.6, 27.4, 1.8, 2.8, 7.6, 5.8, 10.0, 71.0, 6.0, 7.8, 11.6, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2963, 643, 82683, 3186, 342, 116.6, 3.48, 0.000, 0.000
29457, 600, 8.0, 12.2, 25.2, 4.2, 5.4, 9.2, 14.0, 19.2, 30.0, 2.0, 2.8, 7.4, 5.4, 10.0, 22.6, 6.0, 7.8, 8.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2959, 646, 82896, 3231, 349, 111.8, 3.40, 0.000, 0.000
29777, 600, 8.6, 11.6, 75.8, 4.2, 5.8, 9.2, 11.2, 17.6, 24.4, 2.0, 3.0, 11.8, 6.0, 9.2, 72.8, 6.8, 8.2, 9.8, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2961, 646, 82979, 3273, 351, 113.4, 3.23, 0.000, 0.000
30097, 600, 7.6, 10.6, 24.8, 4.2, 5.6, 9.6, 9.8, 15.6, 20.4, 2.0, 2.8, 7.4, 4.8, 7.8, 12.0, 5.8, 7.4, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2972, 646, 83067, 3316, 353, 110.6, 2.78, 0.000, 0.000
30417, 600, 8.0, 11.2, 22.2, 4.4, 5.8, 21.4, 11.4, 17.4, 25.2, 2.0, 3.0, 5.6, 5.2, 8.6, 11.4, 6.2, 7.8, 9.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40.0, 2952, 643, 82079, 2943, 325, 112.0, 2.75, 0.000, 0.000
30737, 600, 8.0, 10.8, 68.4, 4.2, 5.6, 8.0, 9.8, 15.4, 20.6, 1.8, 2.6, 6.6, 5.4, 8.4, 67.6, 6.0, 7.4, 8.2, 0.0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0.0, 2953, 643, 82181, 2975, 330, 112.0, 2.88, 0.000, 0.000
31058, 600, 7.4, 12.0, 67.4, 4.0, 5.2, 11.6, 12.4, 18.8, 25.2, 1.4, 2.0, 6.0, 5.4, 10.0, 65.8, 5.4, 6.8, 7.8, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2956, 643, 82293, 3017, 332, 112.4, 3.33, 0.000, 0.000
31378, 600, 8.2, 10.8, 57.0, 4.2, 5.8, 11.4, 11.4, 18.2, 24.6, 1.8, 2.8, 5.0, 5.8, 8.4, 55.8, 6.4, 8.0, 9.0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2958, 643, 82593, 3066, 335, 111.4, 3.00, 0.000, 0.000
31698, 600, 8.4, 14.2, 59.8, 4.0, 5.8, 9.4, 12.2, 19.6, 29.2, 1.6, 2.6, 9.6, 6.2, 11.2, 58.2, 6.2, 7.4, 8.4, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2966, 643, 82752, 3127, 340, 113.0, 3.85, 0.000, 0.000
32018, 600, 7.8, 11.0, 55.0, 4.2, 5.6, 7.2, 11.0, 17.2, 25.4, 1.8, 2.6, 5.6, 5.0, 8.6, 53.4, 6.0, 7.6, 8.2, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2966, 646, 82926, 3164, 348, 111.0, 2.92, 0.000, 0.000
32339, 600, 8.8, 13.6, 76.6, 4.4, 6.0, 24.2, 13.2, 20.2, 33.2, 1.8, 2.6, 5.6, 6.6, 11.2, 75.0, 6.4, 8.0, 9.2, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2968, 646, 83014, 3189, 350, 111.4, 3.42, 0.000, 0.000
32659, 600, 8.8, 12.4, 27.4, 4.2, 6.0, 12.8, 10.2, 16.0, 23.8, 2.2, 3.2, 8.0, 6.0, 9.4, 19.8, 6.8, 8.4, 9.4, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2974, 649, 83220, 3228, 358, 113.0, 3.12, 0.000, 0.000
32979, 600, 8.0, 12.6, 27.2, 4.2, 6.2, 16.4, 13.0, 19.6, 25.4, 1.6, 2.6, 5.4, 6.0, 10.2, 24.8, 6.0, 7.6, 9.8, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 33.5, 2955, 643, 82424, 3031, 331, 115.2, 3.50, 0.000, 0.000
33299, 600, 8.8, 12.0, 23.0, 4.4, 6.0, 14.2, 13.8, 19.8, 26.0, 1.8, 2.4, 7.0, 6.4, 9.4, 21.2, 7.0, 8.6, 10.2, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2962, 643, 82542, 3061, 333, 111.4, 3.15, 0.000, 0.000
33619, 600, 8.2, 11.0, 61.8, 4.4, 6.0, 12.6, 14.8, 21.6, 28.4, 1.6, 2.6, 5.4, 6.0, 8.4, 59.6, 6.4, 8.2, 9.0, 0.0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0.0, 2961, 646, 82656, 3089, 336, 113.8, 3.03, 0.000, 0.000
33939, 600, 8.2, 12.0, 72.4, 4.4, 6.2, 22.4, 14.0, 20.8, 27.2, 2.0, 3.0, 6.6, 5.2, 9.0, 67.8, 6.0, 7.6, 8.4, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2980, 649, 83248, 3205, 346, 112.6, 3.00, 0.000, 0.000
34259, 600, 8.2, 11.2, 69.0, 4.8, 6.4, 10.0, 15.2, 20.8, 24.4, 2.0, 2.8, 7.6, 5.4, 8.4, 66.2, 6.4, 8.0, 8.8, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2979, 649, 83434, 3254, 352, 110.2, 3.17, 0.000, 0.000
34580, 600, 8.8, 13.6, 59.0, 4.8, 6.6, 19.2, 14.2, 20.2, 30.8, 1.8, 2.8, 45.8, 6.2, 11.0, 68.6, 6.4, 8.4, 9.8, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2985, 649, 83625, 3328, 355, 111.2, 3.23, 0.000, 0.000
34909, 600, 9.8, 15.8, 200.0, 6.4, 12.0, 200.0, 13.8, 24.0, 55.4, 1.8, 2.6, 7.4, 5.8, 8.8, 73.6, 6.4, 8.0, 9.6, 0.0, 3, 0, 0, 3, 0, 0, 2, 0, 0, 1, 0, 0, 0.0, 2988, 653, 83930, 3408, 365, 114.0, 5.45, 0.000, 0.000
35229, 600, 8.2, 11.2, 198.8, 5.2, 6.8, 191.2, 18.8, 25.2, 49.0, 1.6, 2.4, 10.2, 5.4, 8.6, 12.6, 6.2, 8.0, 9.6, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 38.5, 2977, 646, 82829, 3078, 335, 111.0, 3.70, 0.000, 0.000
35549, 600, 8.6, 13.8, 76.0, 5.0, 6.8, 43.6, 15.4, 23.2, 28.2, 1.8, 2.6, 7.2, 6.0, 10.2, 73.8, 6.0, 7.6, 8.8, 0.0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 2973, 646, 83000, 3144, 338, 113.8, 3.60, 0.000, 0.000
35872, 600, 8.6, 12.2, 147.0, 4.8, 6.0, 142.6, 16.2, 22.2, 47.8, 1.8, 2.6, 8.6, 6.4, 10.0, 65.8, 6.4, 8.0, 9.6, 0.0, 4, 0, 0, 1, 0, 0, 4, 0, 0, 1, 0, 0, 0.0, 2973, 646, 83192, 3209, 340, 113.0, 3.35, 0.000, 0.000
36197, 600, 7.2, 10.8, 14.6, 4.8, 6.6, 13.8, 13.0, 19.4, 51.8, 1.8, 2.6, 7.6, 4.8, 8.0, 11.6, 5.6, 7.0, 8.4, 0.0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2997, 682, 83993, 3312, 353, 112.2, 2.65, 0.000, 0.000
36517, 600, 8.4, 11.6, 26.4, 5.2, 7.0, 14.8, 15.0, 20.8, 27.2, 2.0, 3.0, 6.8, 5.6, 8.8, 11.4, 6.4, 8.0, 9.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2999, 682, 84203, 3389, 357, 112.0, 3.05, 0.000, 0.000
36837, 600, 9.0, 11.8, 26.8, 5.2, 6.8, 13.2, 14.8, 20.4, 26.6, 2.2, 3.2, 8.4, 6.0, 8.8, 13.0, 7.0, 9.0, 10.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 3003, 682, 84692, 3493, 362, 111.8, 3.12, 0.000, 0.000
37586, 600, 25.0, 13.8, 200.0, 22.4, 8.4, 200.0, 7.4, 16.2, 117.0, 2.0, 3.2, 10.0, 5.8, 10.0, 42.4, 6.2, 9.0, 11.2, 0.0, 10, 0, 0, 3, 0, 0, 5, 0, 0, 0, 0, 0, 0.0, 3014, 686, 87513, 3693, 373, 135.8, 17.35, 0.000, 0.000
37912, 600, 10.6, 23.8, 200.0, 7.4, 22.4, 200.0, 19.6, 28.4, 62.2, 2.2, 3.0, 7.6, 5.6, 8.8, 26.0, 6.6, 8.6, 9.6, 0.0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 53.0, 2994, 647, 85946, 3300, 345, 114.0, 4.95, 0.000, 0.000
38233, 600, 7.0, 10.0, 21.8, 5.0, 6.6, 11.0, 17.0, 22.6, 26.0, 1.6, 2.2, 4.2, 4.8, 8.2, 11.8, 5.2, 6.8, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2991, 647, 86186, 3395, 350, 111.6, 2.80, 0.000, 0.000
38555, 600, 8.4, 12.2, 27.8, 5.4, 7.8, 26.0, 20.0, 26.8, 51.6, 1.8, 2.6, 7.2, 5.8, 8.8, 26.2, 6.6, 8.2, 10.8, 0.0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 2998, 650, 86367, 3460, 356, 113.0, 3.48, 0.000, 0.000
38883, 600, 9.8, 14.0, 200.0, 6.4, 9.6, 200.0, 21.6, 28.2, 62.2, 1.8, 2.6, 6.8, 6.0, 9.0, 35.6, 6.6, 8.2, 9.0, 0.0, 4, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 3007, 653, 86624, 3575, 363, 164.8, 4.35, 0.000, 0.000
39204, 600, 8.2, 11.6, 24.0, 5.0, 6.6, 12.0, 20.2, 28.4, 31.6, 2.0, 2.8, 4.8, 5.2, 8.8, 12.6, 6.2, 7.8, 8.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 3011, 654, 86828, 3642, 370, 114.6, 2.88, 0.000, 0.000
39524, 600, 8.6, 11.8, 24.0, 5.0, 6.8, 23.4, 16.0, 20.2, 36.0, 2.2, 3.0, 8.8, 5.6, 9.0, 12.8, 6.6, 8.6, 9.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 3007, 656, 87068, 3742, 376, 113.0, 3.50, 0.000, 0.000
39845, 600, 10.8, 25.2, 200.0, 8.0, 25.0, 200.0, 18.8, 28.4, 60.4, 2.2, 3.4, 7.2, 5.0, 8.0, 13.4, 6.4, 8.0, 9.2, 0.0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 3014, 656, 87298, 3825, 382, 112.2, 5.00, 0.000, 0.000
