Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
314, 600, 8.4, 8.4, 16.4, 2.4, 3.2, 13.0, 10.8, 12.0, 179.6, 1.8, 2.2, 19.2, 1.0, 1.2, 2.2, 3.6, 4.4, 5.0, 0.0, 5, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 3, 15.5, 1607, 437, 70946, 2627, 305, 116.6, 2.60, 0.000, 0.000
635, 600, 8.4, 8.4, 10.8, 2.4, 3.2, 10.2, 10.2, 11.6, 17.2, 1.6, 1.8, 5.2, 1.0, 1.2, 2.2, 3.2, 4.0, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1625, 475, 71021, 2639, 308, 115.2, 2.03, 0.000, 0.000
955, 600, 8.4, 8.4, 10.2, 2.6, 3.4, 8.6, 9.0, 10.0, 13.4, 1.6, 1.8, 5.4, 1.0, 1.2, 3.8, 3.2, 3.4, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1615, 479, 71102, 2681, 311, 115.8, 1.83, 0.000, 0.000
1275, 600, 8.4, 8.4, 16.4, 2.4, 3.0, 16.0, 9.6, 11.2, 12.6, 1.4, 1.8, 2.6, 1.0, 1.2, 1.6, 3.4, 3.8, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19.0, 1605, 451, 70692, 2650, 310, 116.6, 1.80, 0.000, 0.000
1595, 600, 8.4, 8.4, 8.4, 2.6, 3.4, 4.4, 9.4, 11.2, 14.4, 1.6, 2.2, 2.6, 1.0, 1.2, 1.8, 3.4, 4.0, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1618, 460, 70759, 2664, 312, 115.6, 1.93, 0.000, 0.000
1915, 600, 8.4, 8.4, 8.4, 2.6, 3.0, 3.8, 9.8, 11.6, 12.8, 1.4, 1.8, 3.2, 1.0, 1.2, 1.4, 3.4, 4.2, 5.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1628, 474, 70790, 2677, 314, 114.8, 1.83, 0.000, 0.000
2235, 600, 8.4, 8.4, 8.4, 2.4, 3.0, 4.2, 9.4, 10.8, 14.8, 1.4, 1.6, 2.0, 1.0, 1.0, 1.4, 3.4, 4.6, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1622, 480, 70836, 2698, 317, 117.0, 1.75, 0.000, 0.000
2556, 600, 8.4, 8.4, 12.2, 2.4, 3.2, 5.4, 8.6, 10.8, 12.8, 1.4, 1.8, 3.6, 1.0, 1.2, 1.8, 3.0, 3.4, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1621, 480, 70899, 2712, 319, 116.6, 1.75, 0.000, 0.000
2876, 600, 8.4, 8.4, 11.2, 2.6, 3.2, 10.4, 8.8, 10.6, 12.0, 1.4, 1.8, 3.8, 1.0, 1.2, 2.0, 3.2, 3.6, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1621, 480, 70929, 2724, 322, 115.0, 2.40, 0.000, 0.000
3196, 600, 8.4, 8.4, 8.4, 2.4, 2.8, 4.0, 7.6, 8.2, 16.6, 1.6, 1.8, 3.6, 1.0, 1.0, 1.4, 3.4, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1620, 480, 70964, 2733, 324, 114.4, 1.93, 0.000, 0.000
