Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
30405, 600, 3.2, 5.6, 21.6, 2.0, 3.2, 6.4, 3.4, 8.8, 99.4, 0.8, 1.4, 1.8, 0.8, 1.2, 2.6, 2.0, 3.0, 3.8, 0.0, 5, 0, 1, 1, 0, 0, 3, 0, 1, 1, 1, 5, 157.0, 2608, 725, 38415, 882, 193, 136.0, 6.22, 0.000, 0.000
30725, 600, 3.2, 5.6, 18.0, 2.0, 3.2, 6.4, 8.6, 13.0, 16.2, 0.8, 1.2, 2.4, 0.8, 1.2, 2.8, 2.0, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11.0, 2148, 688, 37871, 806, 184, 136.0, 4.75, 0.000, 0.000
31045, 600, 3.4, 6.2, 17.6, 2.2, 3.6, 7.6, 9.4, 13.0, 16.4, 1.0, 1.4, 1.8, 1.0, 1.2, 2.0, 2.0, 3.2, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2119, 716, 38096, 872, 184, 140.2, 5.95, 0.000, 0.000
31365, 600, 3.0, 5.4, 16.6, 2.0, 3.2, 6.0, 8.2, 11.6, 14.4, 0.8, 1.2, 2.8, 0.8, 1.2, 2.4, 1.8, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2525, 728, 38287, 936, 186, 136.8, 4.72, 0.000, 0.000
52881, 600, 2.8, 4.6, 12.4, 1.6, 2.2, 3.8, 6.0, 9.6, 72.8, 0.8, 1.0, 1.2, 0.8, 1.2, 1.6, 2.0, 3.2, 3.8, 0.0, 2, 0, 1, 0, 0, 0, 1, 0, 1, 0, 3, 9, 168.0, 1224, 782, 37310, 903, 181, 142.8, 4.00, 0.000, 0.000
53201, 600, 3.2, 4.4, 11.6, 1.2, 1.6, 2.2, 5.4, 7.0, 10.2, 0.8, 1.2, 2.2, 1.2, 1.6, 2.0, 2.2, 3.4, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1207, 786, 37467, 1017, 182, 141.4, 4.22, 0.000, 0.000
53521, 600, 3.2, 4.4, 12.4, 1.4, 1.8, 2.8, 5.4, 7.0, 9.6, 1.0, 1.4, 2.0, 1.0, 1.4, 1.8, 2.2, 3.4, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1223, 791, 37697, 1120, 184, 142.0, 5.08, 0.000, 0.000
53841, 600, 3.4, 4.6, 12.2, 1.4, 1.8, 2.4, 5.6, 7.8, 9.6, 1.0, 1.2, 1.6, 1.2, 1.6, 1.8, 2.6, 3.6, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1227, 797, 37857, 1202, 185, 142.8, 5.38, 0.000, 0.000
54161, 600, 3.2, 4.4, 12.4, 1.2, 1.6, 2.4, 6.2, 9.2, 11.8, 0.8, 1.0, 2.0, 1.0, 1.4, 2.0, 2.2, 3.4, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1231, 818, 38088, 1337, 188, 143.2, 4.20, 0.000, 0.000
54481, 600, 3.0, 4.4, 12.6, 1.4, 1.8, 6.4, 5.2, 8.8, 12.8, 0.8, 1.2, 1.6, 0.8, 1.0, 1.4, 2.2, 3.4, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1233, 893, 38340, 1445, 192, 141.6, 3.65, 0.000, 0.000
54801, 600, 3.0, 4.4, 12.8, 1.4, 1.8, 2.8, 6.6, 9.6, 11.0, 0.8, 1.0, 1.4, 0.8, 1.4, 1.6, 2.0, 3.2, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1242, 917, 38455, 1480, 193, 141.4, 3.85, 0.000, 0.000
55121, 600, 3.0, 4.2, 12.4, 1.4, 2.0, 4.6, 6.6, 9.6, 12.6, 0.8, 1.0, 1.2, 1.0, 1.4, 2.2, 2.2, 3.2, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19.0, 1210, 906, 37246, 829, 182, 143.2, 6.45, 0.000, 0.000
55441, 600, 3.2, 4.4, 13.6, 1.6, 2.0, 2.8, 5.2, 7.6, 9.0, 0.8, 1.0, 1.8, 0.8, 1.4, 2.0, 2.2, 3.4, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1225, 935, 37726, 912, 184, 141.4, 5.65, 0.000, 0.000
55762, 600, 3.0, 5.4, 13.0, 1.6, 2.2, 3.8, 7.4, 10.8, 13.8, 0.8, 1.0, 1.8, 0.6, 0.8, 1.4, 2.0, 3.2, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1224, 939, 38213, 1007, 189, 143.0, 3.55, 0.000, 0.000
