Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
317, 600, 5.4, 6.8, 26.2, 4.4, 5.6, 22.4, 12.8, 16.0, 200.0, 2.2, 2.6, 4.6, 2.0, 2.6, 3.0, 3.2, 3.4, 3.4, 0.0, 3, 0, 2, 0, 0, 0, 2, 0, 2, 1, 1, 2, 54.0, 1219, 373, 36384, 687, 183, 50.8, 7.50, 0.000, 0.000
638, 600, 6.8, 11.6, 33.4, 5.0, 6.6, 18.0, 9.2, 13.4, 26.8, 3.0, 6.6, 29.0, 2.4, 3.2, 25.2, 3.4, 3.6, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1339, 396, 36551, 707, 183, 73.6, 14.00, 0.000, 0.000
958, 600, 6.2, 8.0, 20.8, 5.0, 6.0, 20.2, 7.8, 11.2, 14.8, 2.4, 3.2, 8.2, 2.2, 2.8, 3.4, 3.4, 3.4, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1402, 405, 36702, 734, 183, 54.8, 8.25, 0.000, 0.000
1277, 600, 6.6, 8.8, 102.0, 5.0, 6.6, 15.8, 8.2, 12.2, 22.2, 2.6, 3.4, 11.6, 2.4, 3.0, 25.2, 3.4, 3.6, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 40.0, 1220, 496, 36064, 697, 178, 65.6, 9.75, 0.000, 0.000
1599, 600, 6.2, 8.0, 33.0, 5.0, 6.4, 16.8, 6.2, 9.4, 17.0, 2.4, 3.4, 6.4, 2.2, 2.8, 4.0, 3.4, 3.6, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1208, 503, 36391, 802, 183, 60.0, 10.38, 0.000, 0.000
1919, 600, 6.2, 7.6, 18.2, 4.8, 6.0, 9.6, 8.8, 11.6, 95.2, 2.4, 3.0, 4.4, 2.2, 2.8, 3.8, 3.4, 3.6, 3.8, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1263, 554, 36510, 820, 183, 46.4, 6.58, 0.000, 0.000
2238, 600, 6.6, 9.6, 50.2, 5.0, 6.6, 17.6, 6.4, 9.2, 19.6, 2.6, 4.0, 20.2, 2.2, 3.0, 26.2, 3.6, 4.0, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1218, 560, 36809, 904, 184, 45.2, 8.75, 0.000, 0.000
2559, 600, 7.2, 10.2, 193.8, 5.0, 6.2, 19.2, 8.6, 12.6, 87.2, 2.8, 4.6, 24.0, 2.4, 3.4, 23.4, 3.6, 4.0, 5.2, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.0, 1212, 560, 36934, 936, 188, 44.8, 8.07, 0.000, 0.000
2879, 600, 6.4, 8.4, 19.2, 5.0, 6.2, 8.6, 8.4, 12.8, 20.0, 2.4, 3.0, 3.6, 2.2, 3.0, 5.6, 3.4, 3.8, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1269, 573, 37059, 962, 188, 45.4, 7.45, 0.000, 0.000
3199, 600, 6.6, 8.2, 14.0, 5.4, 6.6, 14.0, 7.0, 9.6, 14.4, 2.4, 3.4, 6.4, 2.2, 3.0, 4.6, 3.6, 4.0, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1279, 580, 37210, 1017, 192, 51.4, 6.70, 0.000, 0.000
