Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
3934, 600, 8.4, 8.4, 8.4, 2.4, 3.2, 5.0, 4.8, 8.4, 108.0, 1.0, 1.2, 2.4, 1.0, 2.0, 2.4, 1.6, 2.0, 2.2, 0.0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 2, 95.5, 1706, 514, 36930, 883, 195, 41.0, 2.48, 0.000, 0.000
4253, 600, 8.4, 8.4, 8.4, 2.4, 3.0, 4.8, 5.6, 7.2, 9.6, 1.0, 1.2, 2.4, 1.2, 2.2, 2.4, 1.6, 2.2, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9.5, 1668, 485, 36580, 845, 190, 29.4, 2.58, 0.000, 0.000
4573, 600, 8.4, 8.4, 8.4, 2.4, 3.4, 6.4, 4.2, 5.6, 6.6, 1.0, 1.2, 2.0, 1.0, 1.2, 1.4, 1.2, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1676, 492, 36839, 917, 193, 29.6, 2.28, 0.000, 0.000
4894, 600, 8.4, 8.4, 8.8, 2.2, 2.8, 7.2, 4.6, 6.2, 10.8, 0.8, 1.2, 2.0, 1.2, 2.0, 2.4, 1.4, 2.0, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1688, 499, 37235, 1016, 201, 29.6, 2.50, 0.000, 0.000
5214, 600, 8.4, 8.4, 9.2, 2.6, 3.6, 5.0, 5.2, 7.0, 9.4, 1.0, 1.2, 3.0, 1.4, 2.2, 3.2, 1.8, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1724, 532, 37411, 1073, 203, 29.6, 2.33, 0.000, 0.000
5534, 600, 8.4, 8.4, 12.4, 2.6, 3.2, 5.6, 3.6, 4.8, 5.2, 1.0, 1.4, 1.6, 1.0, 2.0, 2.6, 1.4, 2.2, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1690, 536, 37604, 1161, 204, 29.8, 1.95, 0.000, 0.000
5853, 600, 8.4, 8.4, 8.4, 2.4, 3.2, 5.0, 3.8, 5.2, 6.8, 1.0, 1.2, 1.6, 0.8, 1.0, 1.2, 1.2, 1.4, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1709, 545, 37892, 1224, 213, 30.0, 2.40, 0.000, 0.000
6190, 600, 11.2, 21.4, 200.0, 5.8, 21.8, 200.0, 10.6, 24.6, 56.8, 1.0, 1.2, 2.4, 1.0, 1.2, 8.2, 1.2, 1.4, 2.0, 0.0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 1706, 573, 40012, 1291, 216, 29.4, 8.48, 0.000, 0.000
6510, 600, 8.4, 8.4, 8.4, 2.6, 3.2, 5.0, 8.8, 16.8, 23.0, 1.0, 1.2, 1.4, 1.0, 2.0, 2.8, 1.6, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1710, 573, 40155, 1335, 216, 29.8, 2.73, 0.000, 0.000
6830, 600, 8.4, 8.4, 9.0, 2.2, 2.8, 6.0, 4.0, 5.8, 6.4, 1.0, 1.2, 2.2, 1.4, 2.2, 2.6, 1.8, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26.5, 1671, 558, 38786, 904, 193, 29.6, 2.35, 0.000, 0.000
7151, 600, 8.4, 8.4, 8.8, 2.6, 3.0, 4.4, 4.2, 5.2, 5.8, 1.0, 1.2, 3.2, 1.0, 1.2, 1.6, 1.4, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1717, 660, 38992, 935, 197, 29.0, 2.20, 0.000, 0.000
7471, 600, 8.4, 8.4, 10.4, 2.4, 3.0, 9.2, 4.8, 6.2, 7.6, 1.0, 1.2, 1.8, 1.2, 2.2, 3.0, 1.6, 2.4, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1682, 663, 39247, 1006, 199, 30.0, 2.30, 0.000, 0.000
7791, 600, 8.4, 8.4, 8.4, 2.6, 3.4, 5.6, 4.6, 6.6, 8.2, 1.0, 1.2, 1.4, 1.0, 1.6, 2.6, 1.4, 2.0, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1694, 701, 39403, 1046, 201, 29.2, 2.38, 0.000, 0.000
8111, 600, 8.4, 8.4, 8.4, 2.6, 3.4, 5.6, 5.0, 7.8, 8.6, 1.0, 1.2, 2.2, 1.0, 1.2, 2.4, 1.2, 1.4, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1711, 737, 39720, 1105, 206, 30.4, 2.15, 0.000, 0.000
8430, 600, 8.4, 8.4, 8.4, 2.8, 4.0, 5.2, 4.0, 5.4, 6.0, 1.0, 1.2, 1.8, 1.0, 1.2, 1.8, 1.2, 1.4, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1762, 833, 39898, 1148, 212, 30.6, 2.70, 0.000, 0.000
8751, 600, 8.4, 8.4, 8.4, 2.8, 3.2, 6.2, 4.6, 6.0, 8.2, 1.0, 1.2, 2.2, 1.0, 1.6, 2.4, 1.4, 2.0, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1714, 833, 40165, 1199, 217, 30.8, 2.65, 0.000, 0.000
9070, 600, 8.4, 8.4, 8.4, 2.8, 3.4, 5.8, 5.0, 6.6, 9.4, 1.0, 1.2, 1.8, 1.0, 1.2, 1.6, 1.2, 1.4, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34.5, 1682, 806, 38736, 921, 193, 29.8, 2.35, 0.000, 0.000
9391, 600, 8.4, 8.4, 8.4, 2.4, 3.4, 6.0, 4.2, 6.6, 7.8, 1.0, 1.2, 2.4, 1.2, 2.2, 2.4, 1.6, 2.2, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1695, 817, 39193, 1006, 200, 28.8, 2.28, 0.000, 0.000
9710, 600, 8.4, 8.4, 8.4, 2.6, 4.2, 5.0, 4.4, 5.8, 7.2, 1.0, 1.4, 2.0, 1.4, 2.2, 2.4, 1.8, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1683, 820, 39349, 1057, 201, 30.0, 2.90, 0.000, 0.000
10031, 600, 8.4, 8.4, 8.4, 2.4, 3.2, 5.2, 4.0, 5.4, 7.0, 1.0, 1.2, 2.2, 1.2, 2.2, 2.4, 1.6, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1689, 824, 39588, 1101, 207, 29.6, 2.17, 0.000, 0.000
10351, 600, 8.4, 8.4, 8.4, 2.4, 3.0, 4.0, 4.6, 6.6, 7.8, 1.0, 1.2, 2.6, 1.0, 1.4, 2.4, 1.4, 2.0, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1718, 824, 39799, 1165, 211, 30.6, 2.85, 0.000, 0.000
10671, 600, 8.4, 8.4, 8.4, 2.8, 3.4, 5.4, 4.8, 6.2, 8.0, 1.0, 1.2, 1.8, 1.0, 1.2, 1.6, 1.4, 1.4, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1727, 826, 39980, 1204, 215, 29.4, 2.45, 0.000, 0.000
