Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
20500, 600, 5.6, 7.2, 26.2, 4.2, 6.0, 11.8, 4.4, 11.0, 162.2, 1.8, 2.4, 10.8, 2.8, 4.2, 6.2, 4.8, 6.2, 8.0, 0.0, 4, 0, 1, 0, 0, 0, 2, 0, 1, 0, 2, 2, 8.5, 2014, 519, 38936, 888, 127, 107.4, 2.55, 0.000, 0.000
20819, 600, 5.4, 6.6, 9.4, 3.8, 5.2, 9.6, 9.8, 14.4, 19.0, 1.6, 2.2, 3.2, 2.8, 3.8, 4.8, 4.6, 5.8, 7.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2028, 527, 39181, 990, 128, 109.4, 2.00, 0.000, 0.000
21139, 600, 5.8, 7.0, 18.2, 4.2, 5.6, 9.6, 10.2, 14.6, 17.8, 1.6, 2.2, 5.0, 3.0, 4.2, 9.2, 5.0, 6.2, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2033, 529, 39506, 1041, 132, 109.2, 1.90, 0.000, 0.000
21460, 600, 5.6, 6.8, 18.0, 4.4, 5.8, 9.6, 11.0, 15.6, 17.6, 1.8, 2.4, 4.2, 2.6, 3.8, 5.2, 4.8, 5.8, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2048, 536, 39724, 1146, 136, 107.2, 2.20, 0.000, 0.000
21780, 600, 6.2, 8.6, 19.0, 4.6, 6.6, 10.0, 10.0, 14.0, 18.2, 1.8, 2.6, 4.0, 2.8, 4.2, 5.4, 5.2, 6.4, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39.5, 2037, 540, 38223, 740, 116, 108.4, 2.42, 0.000, 0.000
22100, 600, 5.8, 7.2, 17.4, 4.0, 5.4, 11.2, 9.8, 15.0, 20.4, 1.8, 2.4, 3.4, 3.0, 4.2, 5.0, 5.2, 6.2, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2094, 589, 38579, 806, 121, 107.2, 2.12, 0.000, 0.000
22420, 600, 5.8, 7.2, 11.2, 4.8, 6.4, 9.4, 13.8, 19.4, 23.2, 1.8, 2.4, 4.4, 2.8, 4.0, 5.0, 5.0, 6.0, 7.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2031, 590, 39504, 893, 125, 110.2, 2.15, 0.000, 0.000
22740, 600, 5.6, 7.0, 8.6, 4.2, 5.8, 9.0, 12.2, 16.8, 21.6, 1.6, 2.2, 4.4, 2.8, 4.0, 5.4, 4.8, 6.0, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2038, 593, 39673, 939, 128, 107.8, 1.73, 0.000, 0.000
23060, 600, 5.8, 7.0, 18.8, 4.4, 6.0, 15.4, 13.2, 20.2, 25.2, 1.6, 2.4, 3.8, 3.0, 4.2, 6.6, 4.8, 6.0, 8.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2046, 593, 39908, 989, 132, 107.0, 2.33, 0.000, 0.000
23380, 600, 6.2, 7.6, 9.2, 4.2, 5.6, 9.4, 12.0, 18.2, 24.0, 1.6, 2.2, 3.2, 3.8, 5.4, 7.0, 5.2, 6.8, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2050, 593, 40107, 1032, 135, 106.2, 2.33, 0.000, 0.000
23700, 600, 5.4, 6.4, 20.8, 4.0, 5.4, 12.2, 14.0, 19.6, 24.2, 1.6, 2.2, 5.2, 2.6, 3.8, 5.6, 4.4, 5.4, 8.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2053, 593, 40226, 1080, 137, 108.0, 2.28, 0.000, 0.000
24020, 600, 6.6, 8.4, 22.0, 4.0, 5.6, 12.2, 11.6, 18.0, 22.0, 1.8, 2.4, 5.2, 4.0, 6.0, 10.6, 5.6, 7.2, 10.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2067, 595, 40405, 1152, 139, 107.4, 2.35, 0.000, 0.000
24341, 600, 6.2, 8.2, 14.4, 4.8, 6.4, 13.2, 12.2, 18.4, 26.2, 1.8, 2.2, 3.2, 3.6, 5.6, 6.8, 5.4, 6.8, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42.0, 2029, 587, 39356, 747, 117, 108.8, 2.40, 0.000, 0.000
24661, 600, 6.2, 7.6, 10.0, 4.4, 5.8, 7.8, 13.4, 19.0, 22.0, 1.6, 2.2, 5.0, 3.4, 5.2, 7.0, 5.4, 6.8, 9.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2041, 588, 39528, 801, 119, 109.2, 2.20, 0.000, 0.000
24981, 600, 6.0, 7.4, 24.4, 4.8, 6.2, 14.6, 11.4, 15.8, 18.4, 1.8, 2.4, 5.2, 3.0, 4.0, 6.0, 5.2, 6.4, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2048, 588, 39719, 921, 121, 107.0, 2.42, 0.000, 0.000
25301, 600, 6.0, 7.2, 17.2, 4.4, 6.0, 16.4, 11.4, 15.6, 19.8, 1.8, 2.4, 7.8, 3.0, 4.2, 6.6, 5.2, 6.4, 7.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2041, 588, 39797, 953, 122, 107.4, 2.20, 0.000, 0.000
25621, 600, 6.0, 7.4, 17.4, 4.8, 6.4, 10.4, 13.0, 17.4, 20.0, 1.8, 2.4, 4.2, 2.8, 4.2, 7.4, 5.2, 6.4, 8.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2059, 588, 39976, 1012, 123, 107.2, 2.28, 0.000, 0.000
