Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
315, 600, 13.6, 14.2, 200.0, 5.6, 7.4, 200.0, 15.2, 21.4, 200.0, 11.8, 20.2, 27.8, 8.8, 13.0, 13.8, 12.6, 13.4, 18.2, 0.0, 8, 0, 21, 5, 9, 0, 3, 0, 2, 1, 5, 7, 131.5, 1238, 441, 34024, 509, 167, 201.4, 6.90, 0.000, 0.000
635, 600, 12.8, 14.0, 76.2, 4.6, 6.6, 11.2, 12.6, 17.2, 20.8, 12.2, 17.6, 74.0, 7.2, 12.0, 71.8, 12.4, 13.2, 18.6, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0.0, 1235, 442, 34054, 513, 167, 171.4, 5.50, 0.000, 0.000
956, 600, 12.4, 14.0, 14.6, 4.4, 6.2, 9.4, 12.2, 16.4, 18.8, 11.4, 16.8, 22.0, 6.2, 11.6, 12.8, 12.0, 13.6, 14.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1376, 501, 34102, 524, 167, 171.4, 5.43, 0.000, 0.000
1276, 600, 12.2, 13.4, 14.4, 4.4, 6.0, 9.4, 11.8, 16.2, 18.2, 11.4, 16.0, 22.2, 6.2, 11.4, 12.8, 11.8, 13.0, 14.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1378, 519, 34132, 531, 167, 171.0, 5.75, 0.000, 0.000
1596, 600, 12.2, 13.6, 15.2, 4.4, 6.2, 7.8, 13.2, 17.4, 21.4, 11.2, 19.2, 24.2, 6.6, 12.2, 13.2, 11.8, 13.0, 13.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1512, 625, 34179, 546, 167, 174.2, 5.33, 0.000, 0.000
1916, 600, 11.6, 12.8, 15.0, 4.2, 5.8, 12.6, 11.4, 15.2, 18.8, 10.8, 14.2, 24.0, 5.6, 12.0, 13.8, 11.4, 12.4, 13.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36.0, 1437, 596, 33688, 503, 164, 171.0, 5.83, 0.000, 0.000
2236, 600, 12.0, 13.8, 15.4, 4.4, 6.0, 11.4, 11.8, 18.2, 21.0, 11.2, 17.8, 25.2, 5.4, 11.4, 12.4, 11.6, 13.6, 14.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1392, 596, 33728, 514, 164, 169.8, 5.95, 0.000, 0.000
2557, 600, 13.4, 14.4, 14.8, 4.6, 6.6, 9.2, 11.0, 14.8, 16.4, 12.4, 18.0, 24.0, 6.6, 12.8, 13.6, 13.0, 14.0, 14.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1413, 602, 33780, 522, 164, 171.0, 4.80, 0.000, 0.000
2877, 600, 12.8, 13.8, 32.2, 4.6, 6.0, 34.6, 10.8, 14.4, 18.4, 11.4, 20.8, 24.4, 8.4, 13.0, 14.0, 12.4, 13.6, 14.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1412, 602, 33821, 528, 164, 174.2, 8.00, 0.000, 0.000
3197, 600, 13.0, 13.6, 14.4, 4.6, 6.0, 7.8, 11.0, 14.4, 16.2, 12.0, 17.4, 23.8, 6.8, 12.4, 13.0, 12.8, 13.2, 13.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1413, 602, 33846, 535, 164, 175.2, 9.10, 0.000, 0.000
