Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
13041, 600, 4.8, 5.6, 14.0, 3.8, 4.8, 7.6, 11.4, 20.2, 161.6, 1.6, 2.0, 2.6, 1.8, 2.2, 2.8, 4.4, 4.6, 4.8, 0.0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 35.5, 1730, 556, 38833, 1021, 126, 25.8, 2.95, 0.000, 0.000
13361, 600, 5.0, 6.0, 15.4, 4.0, 5.2, 10.4, 13.4, 18.6, 22.2, 1.8, 2.2, 4.2, 2.0, 2.6, 4.6, 4.4, 4.8, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16.0, 1724, 531, 38550, 955, 122, 28.0, 3.00, 0.000, 0.000
13680, 600, 4.6, 5.4, 7.4, 3.4, 4.4, 6.0, 9.2, 14.0, 16.6, 1.6, 2.0, 2.6, 1.8, 2.2, 2.8, 4.2, 4.4, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1710, 532, 38662, 1018, 122, 25.0, 3.12, 0.000, 0.000
14000, 600, 4.6, 5.4, 11.6, 3.6, 4.4, 11.0, 10.4, 13.4, 15.0, 1.6, 2.0, 2.4, 1.8, 2.2, 3.0, 4.2, 4.4, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1709, 532, 38791, 1057, 126, 28.0, 2.15, 0.000, 0.000
14321, 600, 4.6, 5.4, 10.0, 3.8, 4.8, 6.6, 10.0, 13.6, 17.0, 1.6, 2.0, 2.8, 1.6, 2.0, 2.6, 4.2, 4.4, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1711, 534, 39127, 1232, 126, 26.6, 3.15, 0.000, 0.000
14641, 600, 4.6, 5.4, 13.2, 3.4, 4.6, 5.4, 7.8, 10.4, 13.2, 1.4, 1.8, 2.4, 1.6, 2.2, 2.4, 4.0, 4.4, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1708, 577, 39186, 1258, 126, 26.4, 2.88, 0.000, 0.000
14961, 600, 4.6, 5.4, 7.4, 3.6, 4.4, 6.0, 6.8, 9.2, 13.6, 1.6, 1.8, 2.4, 1.6, 2.2, 2.4, 4.0, 4.2, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1760, 639, 39309, 1319, 127, 27.0, 2.62, 0.000, 0.000
15280, 600, 4.4, 5.2, 5.8, 3.2, 4.0, 5.8, 5.0, 7.2, 8.6, 1.4, 1.8, 2.6, 1.6, 2.0, 2.6, 4.0, 4.0, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1709, 643, 39334, 1327, 127, 22.0, 2.15, 0.000, 0.000
15600, 600, 4.4, 5.0, 5.8, 3.2, 3.8, 4.8, 5.2, 7.4, 9.8, 1.4, 1.8, 2.4, 1.6, 2.0, 2.4, 3.8, 4.0, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1711, 653, 39349, 1331, 127, 26.2, 2.48, 0.000, 0.000
15921, 600, 4.4, 5.0, 5.6, 3.2, 4.0, 5.0, 4.6, 6.6, 8.4, 1.4, 1.8, 2.2, 1.6, 2.0, 2.6, 4.0, 4.0, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19.5, 1701, 660, 38408, 797, 115, 26.4, 2.58, 0.000, 0.000
