Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
1664, 600, 6.4, 10.0, 23.0, 5.0, 10.0, 22.6, 17.0, 26.4, 200.0, 1.6, 1.8, 4.0, 3.4, 4.2, 5.6, 5.8, 6.0, 7.0, 0.0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 44.0, 2044, 777, 39606, 1071, 201, 50.6, 4.70, 0.000, 0.000
1985, 600, 6.0, 6.4, 19.0, 3.6, 4.6, 8.0, 15.4, 20.2, 26.4, 1.4, 1.6, 1.8, 3.6, 4.4, 5.0, 5.6, 6.2, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13.5, 1999, 757, 39170, 1039, 200, 47.4, 3.90, 0.000, 0.000
2305, 600, 6.0, 6.4, 18.2, 4.2, 5.2, 10.8, 14.8, 18.8, 21.2, 1.6, 1.8, 2.8, 3.4, 4.0, 4.6, 5.6, 6.0, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2027, 768, 39493, 1122, 207, 48.6, 3.83, 0.000, 0.000
2625, 600, 6.2, 6.6, 18.6, 4.8, 6.0, 9.4, 19.4, 25.0, 34.2, 1.6, 1.8, 2.6, 3.6, 4.0, 4.6, 5.8, 6.0, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2029, 785, 39882, 1219, 209, 58.6, 3.90, 0.000, 0.000
2944, 600, 5.8, 6.2, 11.8, 4.0, 5.0, 6.8, 17.2, 22.8, 25.4, 1.2, 1.6, 1.8, 3.6, 4.0, 9.6, 5.6, 5.8, 11.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2037, 810, 40356, 1338, 213, 48.8, 3.98, 0.000, 0.000
3265, 600, 5.8, 6.4, 17.8, 4.4, 5.8, 9.6, 14.8, 18.8, 24.8, 1.4, 1.6, 3.6, 3.4, 4.0, 4.6, 5.4, 5.8, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2043, 826, 40700, 1427, 218, 47.4, 3.95, 0.000, 0.000
3585, 600, 5.8, 6.2, 17.8, 3.8, 5.2, 10.0, 13.2, 18.8, 22.0, 1.4, 1.6, 2.4, 3.4, 4.0, 5.4, 5.4, 5.8, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2058, 830, 41064, 1510, 221, 50.4, 3.73, 0.000, 0.000
3905, 600, 5.8, 6.2, 17.6, 3.6, 4.4, 10.4, 11.0, 14.0, 15.8, 1.2, 1.6, 2.4, 3.6, 4.0, 6.4, 5.4, 5.8, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2066, 833, 41382, 1601, 229, 50.6, 3.42, 0.000, 0.000
4225, 600, 6.0, 6.4, 11.8, 4.6, 6.0, 11.2, 15.0, 20.2, 23.6, 1.4, 1.6, 2.8, 3.4, 4.0, 4.8, 5.6, 5.8, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49.0, 2031, 819, 39337, 999, 198, 48.2, 3.95, 0.000, 0.000
4546, 600, 6.2, 6.4, 19.6, 4.4, 5.6, 8.0, 16.8, 23.2, 27.4, 1.4, 1.8, 3.6, 3.6, 4.2, 10.0, 5.8, 6.0, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2049, 903, 39568, 1079, 201, 49.2, 4.30, 0.000, 0.000
