Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
12196, 600, 3.0, 3.4, 4.6, 2.0, 2.6, 3.6, 5.2, 6.2, 200.0, 1.2, 1.6, 1.8, 1.2, 1.6, 2.0, 2.6, 2.8, 3.0, 0.0, 7, 0, 3, 5, 0, 0, 1, 0, 4, 2, 1, 2, 21.0, 2058, 575, 72844, 2699, 309, 40.0, 1.35, 0.000, 0.000
13076, 600, 3.4, 4.0, 10.6, 2.6, 3.4, 9.2, 6.6, 9.4, 178.8, 1.4, 1.6, 2.8, 1.4, 1.8, 2.2, 3.0, 3.4, 3.6, 0.0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 87.0, 2135, 604, 73524, 2796, 312, 38.4, 2.03, 0.000, 0.000
13396, 600, 3.6, 4.0, 15.6, 2.6, 3.2, 14.8, 6.2, 8.0, 10.0, 1.4, 1.8, 2.4, 1.6, 2.0, 2.4, 3.2, 3.6, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21.0, 2128, 575, 73060, 2767, 310, 37.2, 2.95, 0.000, 0.000
13716, 600, 3.8, 4.2, 5.4, 3.0, 3.8, 5.0, 7.2, 9.6, 11.8, 1.4, 1.8, 2.6, 1.6, 2.0, 2.8, 3.2, 3.6, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2142, 584, 73376, 2846, 314, 38.4, 1.80, 0.000, 0.000
14037, 600, 4.2, 4.8, 15.2, 3.0, 3.8, 14.0, 5.4, 6.8, 8.2, 1.8, 2.2, 3.6, 2.0, 2.8, 3.2, 3.8, 4.4, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2158, 599, 73595, 2887, 319, 40.0, 2.48, 0.000, 0.000
14357, 600, 4.0, 4.2, 11.8, 3.0, 3.6, 5.2, 6.4, 8.0, 9.2, 1.4, 1.8, 2.4, 1.8, 2.2, 2.8, 3.6, 3.6, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2152, 599, 73758, 2926, 322, 39.2, 2.65, 0.000, 0.000
14677, 600, 4.2, 4.8, 5.4, 3.2, 4.2, 5.0, 8.0, 11.2, 12.4, 1.8, 2.2, 3.0, 1.8, 2.2, 2.8, 3.8, 4.0, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2171, 604, 73919, 2958, 327, 38.8, 2.23, 0.000, 0.000
14997, 600, 3.6, 4.0, 10.6, 2.8, 3.4, 9.2, 7.4, 9.0, 11.2, 1.4, 1.6, 2.4, 1.6, 2.0, 2.4, 3.0, 3.6, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2166, 607, 74148, 3013, 331, 39.8, 2.65, 0.000, 0.000
15317, 600, 4.0, 4.2, 5.6, 2.8, 3.4, 4.6, 6.4, 8.4, 10.4, 1.4, 1.6, 2.8, 1.8, 2.2, 2.6, 3.6, 3.6, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2173, 607, 74274, 3037, 334, 40.0, 2.08, 0.000, 0.000
15637, 600, 4.2, 4.8, 11.4, 3.4, 4.2, 6.4, 9.2, 12.0, 13.6, 2.0, 2.4, 3.4, 1.8, 2.2, 6.4, 3.8, 4.4, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2181, 614, 74538, 3101, 339, 38.8, 2.40, 0.000, 0.000
15957, 600, 4.6, 5.2, 9.6, 3.2, 4.0, 4.8, 6.2, 7.8, 9.8, 1.6, 2.0, 3.6, 2.4, 3.0, 3.6, 4.2, 4.6, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38.0, 2148, 599, 73504, 2864, 316, 39.2, 2.05, 0.000, 0.000
16277, 600, 4.4, 5.0, 11.2, 3.0, 3.8, 10.8, 5.4, 7.6, 11.8, 1.6, 1.8, 2.8, 2.2, 2.6, 3.2, 4.0, 4.6, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2168, 606, 73670, 2900, 321, 37.4, 2.10, 0.000, 0.000
16597, 600, 3.4, 4.0, 5.0, 2.6, 3.4, 4.2, 6.4, 8.0, 10.8, 1.4, 1.8, 5.0, 1.4, 1.8, 4.0, 3.0, 3.4, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2165, 615, 73844, 2959, 324, 38.8, 2.35, 0.000, 0.000
