Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 7.2, 7.8, 23.0, 4.0, 5.0, 7.0, 19.2, 23.8, 177.6, 1.6, 2.2, 3.0, 4.6, 5.2, 5.6, 6.8, 7.2, 7.8, 0.0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 180.0, 1346, 446, 38060, 805, 121, 120.6, 3.48, 0.000, 0.000
638, 600, 6.0, 6.6, 18.8, 4.4, 5.2, 10.4, 18.0, 24.0, 27.4, 1.6, 1.8, 2.4, 2.8, 3.4, 5.0, 5.6, 6.0, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1384, 511, 38450, 940, 128, 118.2, 3.35, 0.000, 0.000
958, 600, 6.0, 7.0, 19.0, 4.6, 6.0, 8.4, 20.8, 26.0, 47.6, 1.6, 2.0, 2.6, 2.6, 3.6, 4.4, 5.6, 6.2, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27.5, 1420, 635, 38359, 836, 116, 117.2, 3.58, 0.000, 0.000
1278, 600, 5.8, 6.4, 10.8, 4.2, 5.0, 9.2, 18.0, 23.2, 24.6, 1.4, 1.6, 2.8, 2.6, 3.2, 4.0, 5.4, 6.0, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1364, 680, 38829, 1018, 121, 114.6, 3.45, 0.000, 0.000
1598, 600, 6.2, 7.0, 18.6, 4.2, 5.2, 9.6, 17.0, 21.8, 24.0, 1.4, 1.8, 3.4, 3.0, 4.0, 4.6, 5.8, 6.4, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1368, 686, 39443, 1143, 127, 116.6, 2.67, 0.000, 0.000
1918, 600, 7.2, 19.4, 30.2, 6.2, 19.0, 29.8, 19.6, 26.4, 29.4, 1.6, 2.0, 9.8, 2.2, 3.4, 4.6, 5.6, 6.2, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1376, 696, 40029, 1303, 138, 116.8, 4.88, 0.000, 0.000
2238, 600, 6.6, 9.0, 22.2, 4.8, 7.6, 20.2, 21.8, 26.8, 30.6, 1.6, 2.2, 4.0, 3.4, 5.0, 5.8, 6.2, 7.4, 7.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1380, 703, 40454, 1468, 145, 120.0, 4.08, 0.000, 0.000
2559, 600, 7.2, 13.8, 23.6, 6.0, 13.4, 22.4, 24.6, 28.6, 36.6, 1.6, 2.0, 3.2, 3.2, 5.2, 5.8, 6.2, 7.6, 7.8, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1426, 737, 40946, 1555, 153, 124.4, 4.65, 0.000, 0.000
2879, 600, 6.2, 6.8, 19.6, 4.2, 4.8, 12.2, 19.4, 26.6, 30.0, 1.4, 1.8, 12.4, 3.0, 3.8, 8.6, 5.8, 6.4, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1425, 745, 41520, 1786, 160, 119.2, 9.85, 0.000, 0.000
3198, 600, 11.6, 29.2, 36.8, 10.4, 28.8, 36.4, 22.6, 31.2, 36.6, 1.6, 2.0, 3.0, 2.6, 3.4, 5.4, 6.0, 7.2, 7.8, 0.0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1437, 753, 41988, 2037, 164, 120.0, 5.62, 0.000, 0.000
