Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
314, 600, 4.6, 5.4, 16.8, 3.4, 4.4, 12.4, 5.4, 5.2, 200.0, 2.2, 4.6, 8.2, 1.4, 1.8, 6.0, 3.4, 3.4, 3.8, 0.0, 3, 0, 4, 1, 0, 0, 4, 0, 2, 0, 1, 3, 84.0, 1809, 462, 34752, 521, 170, 94.2, 3.58, 0.000, 0.000
635, 600, 8.0, 16.6, 20.0, 4.4, 6.4, 9.2, 2.8, 3.4, 3.8, 2.6, 4.2, 12.6, 1.4, 1.8, 7.4, 3.2, 3.2, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1894, 463, 34752, 521, 170, 96.0, 4.38, 0.000, 0.000
955, 600, 8.6, 8.4, 31.6, 3.4, 4.4, 11.0, 3.4, 4.6, 5.2, 2.2, 2.8, 7.2, 1.6, 1.8, 7.2, 3.2, 3.4, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1756, 497, 34752, 521, 170, 90.6, 3.33, 0.000, 0.000
1275, 600, 8.4, 8.4, 9.4, 3.6, 4.4, 8.8, 4.2, 5.2, 5.8, 2.0, 2.4, 3.0, 1.6, 1.8, 2.6, 3.2, 3.4, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9.5, 1743, 467, 34698, 516, 167, 93.2, 2.40, 0.000, 0.000
1596, 600, 8.4, 8.4, 8.6, 3.0, 3.8, 5.2, 4.4, 5.0, 5.4, 2.0, 2.2, 2.6, 1.6, 1.8, 2.0, 3.0, 3.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1745, 468, 34715, 517, 167, 91.2, 1.88, 0.000, 0.000
1916, 600, 8.4, 8.4, 13.8, 2.6, 3.4, 6.6, 4.8, 6.0, 9.6, 2.0, 2.4, 7.0, 1.8, 2.2, 9.4, 3.2, 3.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1780, 495, 34770, 536, 167, 92.0, 2.58, 0.000, 0.000
2236, 600, 8.4, 8.4, 13.8, 2.8, 3.6, 4.8, 6.0, 9.2, 11.8, 1.8, 2.4, 3.0, 1.8, 3.8, 4.4, 3.2, 4.2, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1820, 561, 34806, 542, 167, 91.2, 2.08, 0.000, 0.000
2556, 600, 8.4, 8.4, 11.0, 2.8, 3.8, 7.4, 5.6, 10.2, 13.6, 2.0, 2.4, 4.2, 1.6, 1.8, 2.2, 3.0, 3.2, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1777, 569, 34873, 573, 167, 90.8, 2.28, 0.000, 0.000
2876, 600, 8.4, 8.4, 8.6, 2.8, 3.6, 4.6, 4.6, 5.8, 9.0, 1.8, 2.2, 3.0, 1.6, 1.8, 1.8, 3.0, 3.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1758, 569, 34879, 574, 167, 89.8, 1.98, 0.000, 0.000
3196, 600, 8.4, 8.4, 8.6, 2.6, 3.4, 5.0, 6.8, 11.6, 13.4, 1.8, 2.4, 3.2, 1.8, 4.0, 4.6, 3.2, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1756, 569, 34883, 578, 167, 91.4, 2.28, 0.000, 0.000
3517, 600, 8.4, 8.4, 10.6, 3.0, 4.0, 7.6, 5.8, 8.6, 10.6, 1.8, 2.2, 3.4, 1.6, 1.8, 6.2, 3.0, 3.2, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9.5, 1745, 569, 34733, 524, 167, 87.8, 2.10, 0.000, 0.000
3836, 600, 8.4, 8.4, 8.4, 2.6, 3.4, 4.6, 6.0, 10.0, 11.2, 1.8, 2.4, 3.2, 2.2, 4.0, 5.8, 3.4, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1764, 577, 34747, 530, 168, 89.2, 2.25, 0.000, 0.000
4156, 600, 8.4, 8.4, 11.2, 3.4, 4.8, 10.6, 7.6, 11.4, 19.4, 2.2, 2.8, 8.4, 2.6, 5.0, 9.4, 3.4, 4.4, 4.6, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1778, 580, 35348, 583, 170, 90.8, 2.50, 0.000, 0.000
4477, 600, 8.4, 8.4, 11.6, 3.4, 4.4, 5.4, 8.2, 13.4, 16.2, 2.2, 2.8, 10.2, 2.8, 4.6, 8.4, 3.6, 4.6, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1833, 645, 35380, 596, 171, 91.8, 2.00, 0.000, 0.000
4796, 600, 8.4, 8.4, 13.4, 3.2, 4.4, 8.4, 8.4, 13.0, 16.8, 2.0, 2.4, 4.6, 1.8, 2.4, 18.0, 3.2, 3.6, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1784, 660, 35558, 622, 174, 90.0, 2.30, 0.000, 0.000
5117, 600, 8.4, 8.4, 16.2, 3.6, 4.4, 14.8, 6.4, 8.2, 9.2, 2.0, 2.4, 3.2, 1.6, 2.0, 2.2, 3.2, 3.2, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1777, 664, 35689, 637, 178, 89.6, 2.00, 0.000, 0.000
5437, 600, 8.4, 8.4, 8.6, 3.8, 4.6, 6.6, 8.0, 10.2, 11.8, 2.2, 2.8, 3.4, 2.8, 4.4, 5.4, 3.6, 4.6, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1780, 664, 35735, 647, 178, 90.8, 2.95, 0.000, 0.000
5757, 600, 8.4, 8.4, 13.4, 3.6, 4.6, 9.8, 8.4, 11.6, 18.6, 2.2, 2.6, 3.4, 2.0, 4.0, 5.0, 3.4, 4.4, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1789, 664, 35840, 670, 179, 90.8, 2.15, 0.000, 0.000
6077, 600, 8.4, 8.4, 18.6, 3.4, 4.2, 17.0, 6.6, 7.8, 9.0, 2.2, 2.4, 2.8, 1.8, 2.0, 2.8, 3.2, 3.2, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18.0, 1770, 660, 35532, 592, 172, 88.8, 2.28, 0.000, 0.000
6397, 600, 8.4, 8.4, 8.4, 3.6, 4.6, 6.2, 7.4, 8.6, 12.8, 2.2, 2.4, 2.6, 1.8, 2.0, 2.4, 3.2, 3.2, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1774, 660, 35666, 612, 172, 91.0, 2.25, 0.000, 0.000
6717, 600, 8.4, 8.4, 8.6, 3.6, 4.4, 7.6, 9.0, 14.4, 17.8, 2.2, 2.6, 3.4, 2.8, 4.6, 5.6, 3.8, 4.6, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1794, 682, 35680, 619, 172, 90.6, 2.88, 0.000, 0.000
7038, 600, 8.4, 8.4, 13.4, 3.6, 4.8, 10.6, 8.4, 14.4, 17.0, 2.2, 2.8, 3.4, 2.2, 4.2, 5.8, 3.6, 4.4, 5.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1782, 688, 35745, 639, 174, 89.2, 2.42, 0.000, 0.000
7358, 600, 8.4, 8.4, 21.0, 3.6, 4.4, 15.6, 7.4, 10.8, 11.6, 2.2, 2.6, 4.4, 2.0, 4.2, 5.0, 3.4, 4.4, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1786, 691, 35913, 662, 178, 93.0, 2.55, 0.000, 0.000
7679, 600, 8.4, 8.4, 8.4, 3.6, 4.6, 7.2, 11.0, 14.0, 15.6, 2.0, 2.4, 3.2, 1.8, 2.0, 4.4, 3.2, 3.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1798, 694, 36192, 697, 178, 92.6, 2.88, 0.000, 0.000
7998, 600, 8.4, 8.4, 8.4, 3.4, 4.4, 5.8, 9.4, 13.4, 16.6, 2.0, 2.4, 3.2, 2.0, 4.0, 4.8, 3.2, 4.4, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1799, 694, 36285, 719, 178, 91.2, 2.85, 0.000, 0.000
8318, 600, 8.4, 8.4, 8.4, 3.6, 4.4, 6.0, 9.8, 16.0, 18.6, 2.0, 2.4, 3.4, 2.0, 4.2, 4.8, 3.2, 4.4, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1818, 704, 36319, 728, 178, 90.0, 1.75, 0.000, 0.000
8638, 600, 8.4, 8.4, 8.6, 3.4, 4.2, 7.0, 11.8, 15.4, 16.8, 2.0, 2.2, 3.2, 2.0, 4.0, 5.2, 3.2, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42.0, 1782, 701, 35588, 592, 171, 90.8, 2.12, 0.000, 0.000
8958, 600, 8.4, 8.4, 8.4, 3.6, 4.6, 6.2, 12.4, 17.0, 19.4, 2.0, 2.6, 3.4, 2.4, 4.4, 5.4, 3.4, 4.4, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1785, 701, 35706, 615, 171, 91.2, 2.62, 0.000, 0.000
9278, 600, 8.4, 8.4, 17.2, 3.2, 4.6, 16.8, 6.6, 11.4, 13.4, 2.0, 2.6, 4.0, 1.8, 2.0, 2.4, 3.2, 3.6, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1806, 731, 36134, 643, 177, 91.0, 2.35, 0.002, 0.002
9599, 600, 8.4, 8.4, 8.4, 4.0, 4.8, 6.0, 7.6, 9.0, 10.2, 2.2, 2.6, 2.8, 1.8, 2.0, 2.4, 3.4, 3.4, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1801, 731, 36171, 650, 177, 91.6, 2.33, 0.000, 0.000
9919, 600, 8.4, 8.4, 13.6, 3.8, 5.0, 9.2, 7.8, 9.6, 10.4, 2.6, 3.0, 3.6, 4.4, 5.0, 5.8, 4.6, 4.8, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1797, 731, 36529, 672, 177, 90.0, 3.17, 0.000, 0.000
