Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
36915, 600, 9.0, 15.2, 47.0, 7.4, 9.8, 28.8, 6.2, 11.8, 200.0, 3.8, 12.6, 33.4, 2.0, 2.6, 5.6, 3.4, 4.2, 4.8, 0.0, 4, 0, 2, 1, 1, 0, 3, 0, 2, 0, 2, 2, 119.5, 1279, 432, 38005, 689, 118, 44.4, 4.08, 0.000, 0.000
37235, 600, 8.6, 16.6, 107.0, 6.8, 9.6, 59.8, 10.2, 13.6, 25.2, 4.4, 13.4, 34.2, 2.2, 2.8, 35.0, 3.4, 4.4, 5.2, 0.0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1247, 459, 38384, 752, 121, 52.6, 4.75, 0.000, 0.000
37555, 600, 5.6, 7.6, 127.2, 5.0, 6.4, 12.6, 1.2, 2.2, 3.2, 2.4, 6.4, 142.6, 1.4, 1.8, 4.4, 2.6, 3.4, 4.4, 0.0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1313, 500, 38439, 752, 122, 45.0, 3.15, 0.000, 0.000
37876, 600, 5.4, 6.6, 12.2, 5.0, 6.4, 11.8, 0.8, 1.0, 2.0, 2.2, 5.6, 14.4, 1.6, 1.8, 6.2, 2.6, 3.2, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1329, 501, 38454, 752, 122, 42.0, 2.10, 0.000, 0.000
38196, 600, 8.4, 11.6, 22.0, 7.6, 9.8, 17.6, 9.4, 12.6, 117.0, 3.4, 7.6, 16.2, 2.2, 2.6, 6.8, 3.4, 4.2, 4.8, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1278, 510, 40179, 1025, 135, 43.4, 3.20, 0.000, 0.000
38516, 600, 8.2, 11.2, 24.0, 7.2, 9.4, 22.8, 8.4, 11.2, 27.8, 3.6, 8.0, 20.4, 2.2, 2.8, 10.6, 3.4, 4.0, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 66.0, 1296, 483, 38908, 779, 112, 46.8, 2.98, 0.000, 0.000
38836, 600, 9.0, 12.2, 18.0, 8.2, 10.4, 14.8, 9.2, 11.2, 13.6, 3.8, 8.2, 18.4, 2.4, 3.0, 11.6, 3.4, 4.0, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1351, 528, 39018, 812, 112, 42.6, 3.48, 0.000, 0.000
39157, 600, 7.8, 10.0, 13.6, 7.0, 8.6, 11.4, 8.2, 11.0, 28.4, 2.6, 6.4, 11.6, 2.0, 2.4, 5.2, 3.2, 3.8, 4.2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1348, 538, 39234, 883, 115, 51.8, 6.97, 0.000, 0.000
39476, 600, 9.4, 12.6, 30.0, 8.4, 10.8, 19.2, 9.4, 12.4, 14.4, 3.2, 7.0, 14.4, 2.2, 2.8, 6.4, 3.4, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1366, 540, 39501, 942, 122, 44.8, 3.48, 0.000, 0.000
39797, 600, 10.0, 12.8, 180.4, 8.6, 10.8, 19.0, 10.8, 15.2, 24.4, 3.6, 7.8, 183.4, 2.2, 2.8, 5.4, 3.4, 4.2, 4.6, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0.0, 1387, 553, 39715, 1050, 123, 44.8, 4.60, 0.000, 0.000
40117, 600, 9.2, 12.0, 21.6, 8.2, 10.4, 16.2, 9.0, 12.8, 14.6, 3.0, 7.4, 21.4, 2.2, 2.8, 7.0, 3.4, 4.2, 5.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1440, 619, 40052, 1210, 126, 44.0, 3.00, 0.000, 0.000
