Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
563, 600, 18.8, 36.2, 79.2, 18.6, 36.4, 62.0, 30.0, 40.4, 200.0, 2.6, 3.2, 11.8, 3.0, 4.6, 7.0, 4.6, 6.4, 14.4, 0.0, 97, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 3, 159.5, 984, 480, 37840, 936, 200, 127.6, 9.90, 0.000, 0.000
882, 600, 7.2, 12.8, 32.2, 6.8, 11.6, 29.2, 24.6, 28.6, 38.2, 2.0, 2.8, 7.4, 2.2, 3.0, 15.0, 3.4, 3.8, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 997, 490, 38399, 1064, 204, 121.4, 3.75, 0.000, 0.000
1203, 600, 6.4, 8.0, 23.0, 5.8, 7.6, 23.2, 22.4, 27.8, 30.4, 2.0, 2.4, 6.8, 2.2, 2.8, 8.0, 3.6, 4.4, 6.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39.5, 975, 480, 38104, 883, 191, 115.6, 2.78, 0.000, 0.000
1523, 600, 11.8, 31.8, 47.4, 11.4, 31.6, 44.2, 25.8, 34.6, 44.6, 2.2, 2.8, 6.2, 2.2, 2.8, 6.8, 4.0, 5.6, 6.4, 0.0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 955, 486, 38508, 1029, 195, 114.2, 5.58, 0.000, 0.000
1845, 394, 20.4, 34.0, 41.2, 19.8, 33.4, 40.6, 26.8, 34.4, 41.0, 2.2, 2.8, 4.0, 2.6, 4.0, 7.6, 5.2, 7.2, 12.2, 0.0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 988, 519, 38796, 1102, 198, 128.8, 10.55, 0.000, 0.000
2165, 332, 24.2, 35.0, 41.8, 23.6, 34.6, 41.0, 28.2, 35.4, 45.4, 2.2, 2.8, 4.8, 2.6, 3.8, 8.8, 4.8, 6.0, 11.6, 0.0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 954, 526, 39286, 1273, 204, 127.6, 11.60, 0.000, 0.000
2486, 281, 28.6, 38.0, 51.2, 27.8, 37.4, 45.4, 29.6, 38.0, 45.6, 2.2, 3.0, 10.6, 2.2, 3.2, 9.6, 6.4, 11.6, 12.0, 0.0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 985, 548, 39948, 1423, 206, 126.8, 13.07, 0.000, 0.000
2806, 600, 6.8, 12.8, 20.2, 6.2, 12.4, 19.0, 23.6, 28.6, 34.4, 2.0, 2.6, 5.2, 2.0, 2.6, 3.6, 3.4, 3.8, 4.0, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 980, 558, 40263, 1514, 210, 115.2, 2.80, 0.000, 0.000
3127, 600, 11.4, 27.4, 40.6, 10.8, 26.4, 36.8, 25.0, 29.8, 36.2, 2.0, 2.8, 8.4, 2.0, 2.8, 6.4, 3.6, 5.8, 6.4, 0.0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 975, 564, 40627, 1639, 215, 115.2, 7.20, 0.000, 0.000
3447, 600, 8.8, 18.0, 25.2, 8.2, 17.6, 25.4, 24.6, 28.0, 33.0, 2.0, 2.6, 3.6, 2.2, 2.6, 3.2, 3.6, 4.0, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 993, 574, 41268, 1788, 219, 121.4, 4.93, 0.000, 0.000
3767, 600, 6.8, 9.6, 19.4, 6.2, 9.0, 19.2, 24.2, 28.0, 34.8, 2.0, 2.4, 4.2, 2.0, 2.6, 3.8, 3.8, 4.2, 4.8, 0.0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 163.0, 950, 557, 39414, 1052, 194, 118.6, 3.45, 0.000, 0.000
4087, 600, 7.4, 11.2, 17.8, 6.8, 10.2, 15.0, 23.8, 27.6, 38.6, 2.2, 2.8, 5.2, 2.4, 3.0, 3.8, 3.8, 4.2, 4.8, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 938, 563, 39714, 1162, 197, 117.2, 3.70, 0.000, 0.000
4408, 600, 8.4, 17.0, 23.2, 7.6, 16.8, 22.6, 23.0, 26.8, 36.0, 2.0, 2.6, 4.4, 2.2, 2.8, 4.0, 3.4, 3.8, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 945, 563, 40055, 1255, 205, 115.2, 4.40, 0.000, 0.000
4727, 600, 12.6, 26.6, 57.8, 12.0, 26.0, 32.6, 24.8, 28.8, 44.2, 2.0, 2.6, 6.6, 2.0, 2.6, 8.0, 3.6, 4.8, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 957, 569, 40444, 1426, 208, 123.6, 6.65, 0.000, 0.000
