Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
550, 600, 7.0, 7.0, 7.0, 2.2, 3.0, 3.6, 10.4, 13.4, 190.6, 1.6, 2.2, 2.6, 1.2, 1.4, 1.6, 4.0, 4.2, 4.6, 0.0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 19.5, 2183, 512, 71080, 2683, 309, 77.8, 2.65, 0.000, 0.000
871, 600, 7.0, 7.0, 7.0, 2.2, 2.6, 3.0, 9.8, 11.0, 11.8, 1.6, 2.0, 2.4, 1.2, 1.4, 1.6, 3.8, 4.0, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2183, 512, 71088, 2689, 311, 78.6, 2.75, 0.000, 0.000
1191, 600, 7.0, 7.0, 16.8, 2.6, 3.2, 16.2, 9.6, 11.2, 12.6, 1.8, 2.2, 3.2, 1.2, 1.4, 1.6, 4.0, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18.5, 2174, 512, 71047, 2691, 309, 77.8, 2.83, 0.000, 0.000
1511, 600, 7.0, 7.0, 7.6, 2.6, 3.4, 4.2, 10.0, 11.6, 13.0, 1.6, 2.2, 2.6, 1.2, 1.4, 2.0, 3.8, 4.2, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2175, 514, 71109, 2718, 311, 77.8, 2.70, 0.000, 0.000
1831, 600, 7.0, 7.0, 23.4, 2.4, 3.0, 22.4, 9.0, 11.0, 15.6, 1.6, 2.0, 2.6, 1.0, 1.4, 1.8, 4.0, 4.4, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2189, 523, 71927, 2756, 316, 78.4, 3.00, 0.000, 0.000
2151, 600, 7.0, 7.0, 7.8, 2.6, 3.4, 7.4, 9.8, 11.8, 13.6, 1.4, 2.0, 2.4, 1.2, 1.4, 2.4, 3.6, 4.0, 5.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2191, 546, 72024, 2775, 319, 78.6, 2.80, 0.000, 0.000
2471, 600, 7.0, 7.0, 7.0, 2.4, 3.0, 4.2, 10.0, 11.8, 13.2, 1.6, 2.0, 2.4, 1.2, 1.4, 2.0, 4.2, 4.8, 5.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2200, 550, 72108, 2828, 323, 78.8, 2.78, 0.000, 0.000
2791, 600, 7.0, 7.0, 9.0, 2.6, 3.2, 7.0, 9.0, 10.6, 15.2, 1.6, 1.8, 2.6, 1.2, 1.4, 1.8, 3.8, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2206, 554, 72263, 2869, 327, 78.6, 2.73, 0.000, 0.000
3111, 600, 7.0, 7.0, 8.0, 2.6, 3.2, 7.0, 8.2, 10.0, 15.4, 1.8, 2.2, 2.8, 1.6, 1.8, 2.2, 4.2, 4.6, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2199, 554, 72380, 2897, 332, 78.4, 2.88, 0.000, 0.000
3431, 600, 7.0, 7.0, 7.0, 2.4, 3.0, 4.2, 10.0, 13.2, 15.4, 1.6, 1.8, 2.6, 1.2, 1.6, 2.0, 3.8, 4.2, 4.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2208, 559, 72456, 2944, 335, 78.2, 2.85, 0.000, 0.000
