Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
315, 600, 18.0, 21.6, 200.0, 7.0, 14.2, 200.0, 10.2, 22.2, 175.8, 5.0, 9.8, 18.6, 3.2, 7.4, 17.0, 12.4, 13.6, 14.0, 0.0, 5, 0, 1, 0, 0, 0, 2, 0, 0, 0, 3, 2, 37.5, 1509, 527, 72542, 2771, 310, 126.0, 5.03, 0.000, 0.000
635, 462, 17.4, 18.0, 148.0, 5.8, 8.0, 57.0, 11.0, 15.0, 141.6, 4.6, 7.6, 151.8, 2.8, 5.0, 9.8, 11.0, 14.2, 15.4, 0.0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 53.0, 1498, 509, 72300, 2792, 311, 124.8, 4.05, 0.000, 0.000
955, 476, 16.8, 17.4, 26.2, 6.6, 9.2, 17.8, 10.4, 13.0, 17.4, 4.8, 8.4, 21.8, 3.2, 7.6, 13.4, 12.6, 15.8, 16.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1498, 515, 72442, 2845, 316, 126.4, 2.08, 0.000, 0.000
1276, 468, 17.2, 17.0, 141.0, 6.6, 9.2, 57.8, 10.8, 15.4, 45.6, 4.8, 7.6, 147.0, 2.8, 5.2, 52.0, 11.4, 14.0, 14.6, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 1503, 518, 72651, 2905, 320, 126.8, 2.38, 0.000, 0.000
1595, 471, 17.0, 18.8, 32.4, 7.0, 9.6, 25.2, 11.8, 14.4, 17.2, 5.0, 8.8, 22.2, 3.6, 9.0, 21.0, 11.6, 13.8, 14.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1511, 518, 72765, 2960, 323, 124.6, 3.60, 0.000, 0.000
1916, 463, 17.2, 17.2, 164.4, 6.4, 8.6, 64.4, 13.2, 16.2, 161.6, 4.4, 7.2, 21.8, 2.6, 4.2, 11.6, 11.0, 13.8, 15.6, 0.0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 1520, 521, 73508, 3043, 329, 127.4, 4.40, 0.000, 0.000
2234, 471, 17.2, 17.6, 159.8, 7.0, 9.2, 19.2, 13.4, 17.0, 31.4, 4.6, 8.0, 18.8, 2.6, 4.0, 10.0, 10.8, 13.8, 14.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 1529, 522, 73671, 3143, 333, 128.0, 2.20, 0.000, 0.000
2560, 475, 16.8, 17.2, 66.2, 5.8, 8.6, 68.4, 10.6, 13.6, 52.6, 3.8, 7.4, 19.0, 2.4, 4.6, 9.6, 11.2, 14.2, 14.6, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1534, 539, 73903, 3201, 339, 125.2, 3.75, 0.000, 0.000
2881, 455, 17.6, 20.2, 159.8, 7.8, 11.4, 145.4, 14.4, 20.8, 63.6, 5.6, 11.6, 70.2, 3.0, 6.2, 16.2, 12.4, 14.4, 14.8, 0.0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1544, 541, 74035, 3261, 342, 122.2, 5.08, 0.000, 0.000
3201, 461, 17.4, 17.8, 200.0, 7.2, 10.2, 154.4, 13.0, 16.4, 152.2, 5.0, 9.0, 157.2, 2.8, 4.8, 11.0, 10.4, 11.8, 13.4, 0.0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 121.5, 1528, 538, 72805, 2900, 314, 122.8, 3.70, 0.000, 0.000
