Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
454, 600, 3.4, 4.6, 6.6, 2.2, 2.8, 5.8, 9.8, 19.2, 154.2, 1.2, 1.4, 2.2, 1.8, 3.0, 3.8, 2.2, 2.8, 3.2, 0.0, 9, 0, 1, 1, 0, 0, 4, 0, 1, 1, 2, 2, 116.0, 2249, 603, 73130, 2807, 317, 131.4, 1.18, 0.000, 0.000
775, 600, 3.0, 3.8, 4.8, 2.4, 2.8, 4.0, 16.4, 21.0, 23.4, 1.2, 1.4, 2.0, 1.4, 2.2, 2.8, 2.0, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2262, 631, 73645, 2948, 326, 131.2, 1.33, 0.000, 0.000
1095, 600, 3.6, 4.6, 13.2, 3.4, 4.2, 13.2, 18.8, 25.6, 28.8, 1.4, 1.8, 2.2, 1.2, 1.6, 2.8, 2.0, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2284, 637, 74287, 3056, 331, 132.6, 1.27, 0.000, 0.000
1415, 600, 3.6, 4.6, 5.6, 2.4, 3.0, 4.0, 15.8, 24.4, 32.4, 1.4, 1.6, 1.8, 2.0, 2.8, 4.2, 2.4, 2.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2290, 637, 74511, 3151, 334, 131.6, 1.35, 0.000, 0.000
1734, 600, 2.8, 3.4, 4.8, 2.4, 2.8, 4.8, 11.0, 13.4, 16.4, 1.0, 1.2, 2.0, 1.2, 2.0, 2.4, 1.8, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2301, 640, 74917, 3286, 345, 131.2, 0.93, 0.000, 0.000
2054, 600, 3.0, 4.0, 13.6, 2.8, 3.4, 13.0, 15.8, 21.8, 26.2, 1.2, 1.6, 2.4, 1.2, 2.0, 2.8, 1.8, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20.0, 2289, 613, 73563, 2968, 324, 131.0, 1.18, 0.000, 0.000
2374, 600, 3.2, 4.0, 10.6, 2.6, 3.2, 4.2, 14.0, 19.4, 25.2, 1.4, 1.8, 2.6, 1.4, 2.2, 3.0, 2.0, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2284, 619, 73795, 3051, 330, 132.0, 1.20, 0.000, 0.000
2694, 600, 3.2, 3.6, 6.0, 2.6, 3.2, 5.0, 11.0, 14.2, 16.4, 1.2, 1.6, 2.0, 1.2, 1.8, 2.4, 2.0, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2294, 622, 74032, 3099, 339, 130.8, 1.08, 0.000, 0.000
3014, 600, 3.4, 3.8, 4.6, 2.8, 3.4, 4.8, 16.2, 21.4, 23.6, 1.4, 1.8, 2.6, 1.2, 1.6, 2.4, 2.0, 2.4, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2290, 626, 74156, 3149, 341, 133.0, 1.30, 0.000, 0.000
3334, 600, 3.2, 3.8, 8.0, 2.8, 3.4, 4.4, 13.2, 16.2, 20.2, 1.4, 1.8, 2.4, 1.4, 2.0, 2.6, 2.0, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2300, 631, 74331, 3255, 344, 131.4, 1.38, 0.000, 0.000
3654, 600, 3.0, 4.0, 10.6, 2.6, 3.2, 4.0, 11.2, 14.4, 16.4, 1.2, 1.4, 1.8, 1.2, 2.2, 3.2, 1.8, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2303, 637, 74465, 3300, 349, 132.6, 1.35, 0.000, 0.000
3974, 600, 3.4, 4.2, 4.8, 2.4, 3.0, 4.2, 12.0, 15.0, 17.8, 1.2, 1.4, 1.8, 1.6, 2.6, 3.4, 2.2, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2298, 641, 74729, 3395, 355, 131.4, 1.43, 0.000, 0.000
4294, 600, 3.2, 3.8, 4.8, 3.0, 3.6, 4.4, 13.4, 16.2, 18.4, 1.2, 1.4, 2.0, 1.2, 2.0, 2.8, 2.0, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2308, 641, 74987, 3491, 362, 132.0, 1.45, 0.000, 0.000
4614, 600, 3.2, 3.8, 10.4, 2.8, 3.4, 4.4, 12.0, 15.0, 19.2, 1.4, 2.0, 2.6, 1.2, 2.0, 3.0, 2.0, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20.0, 2276, 623, 73788, 3029, 329, 130.6, 1.20, 0.000, 0.000
4935, 600, 3.4, 4.2, 7.2, 2.6, 3.0, 6.2, 11.2, 16.0, 18.0, 1.2, 1.4, 1.8, 1.6, 2.6, 3.2, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2274, 628, 73960, 3098, 334, 131.2, 1.38, 0.000, 0.000
5254, 600, 3.8, 4.8, 14.4, 2.8, 3.4, 5.8, 13.0, 19.8, 24.8, 1.4, 1.6, 3.2, 2.0, 3.2, 4.8, 2.4, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2280, 628, 74097, 3171, 338, 132.8, 1.43, 0.000, 0.000
5574, 600, 3.6, 4.4, 11.0, 2.6, 3.2, 6.6, 11.8, 15.0, 18.4, 1.4, 1.6, 4.4, 2.0, 2.8, 4.8, 2.4, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2284, 632, 74284, 3246, 342, 131.2, 1.33, 0.000, 0.000
5894, 600, 3.2, 4.2, 4.8, 2.2, 2.8, 3.2, 10.0, 12.4, 14.4, 1.2, 1.6, 2.0, 1.4, 2.6, 3.2, 2.0, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2273, 632, 74411, 3322, 347, 131.0, 1.18, 0.000, 0.000
6214, 600, 3.6, 5.0, 12.2, 2.8, 3.6, 5.2, 11.2, 16.4, 21.0, 1.4, 1.8, 2.6, 1.6, 3.0, 3.8, 2.2, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2278, 637, 74579, 3379, 353, 131.2, 1.40, 0.000, 0.000
6535, 600, 3.0, 3.8, 8.8, 2.6, 3.2, 6.2, 12.6, 19.2, 25.0, 1.2, 1.6, 2.0, 1.4, 2.2, 3.0, 1.8, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2283, 637, 74776, 3475, 358, 131.2, 1.10, 0.000, 0.000
6855, 600, 4.0, 4.6, 10.4, 3.6, 4.4, 8.0, 11.8, 19.0, 22.0, 1.6, 2.0, 2.4, 1.2, 1.4, 1.6, 2.2, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2291, 643, 75081, 3618, 362, 131.0, 1.43, 0.000, 0.000
7175, 600, 3.8, 4.6, 10.8, 2.8, 3.4, 4.2, 12.8, 17.4, 33.8, 1.4, 1.6, 1.8, 2.0, 3.0, 3.8, 2.4, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23.0, 2269, 621, 73873, 3097, 331, 131.2, 1.52, 0.000, 0.000
7495, 600, 4.0, 5.0, 12.6, 2.8, 3.2, 4.0, 11.2, 15.2, 17.0, 1.4, 1.6, 2.2, 2.2, 3.0, 3.6, 2.6, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2273, 626, 73997, 3155, 333, 132.0, 1.38, 0.000, 0.000
7815, 600, 3.4, 4.0, 7.6, 3.0, 3.6, 5.0, 12.8, 18.0, 20.4, 1.4, 1.8, 2.4, 1.4, 2.2, 3.4, 2.2, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2288, 628, 74217, 3280, 338, 131.2, 1.18, 0.000, 0.000
8135, 600, 3.2, 3.8, 8.0, 2.6, 3.2, 4.0, 13.0, 17.2, 18.8, 1.2, 1.6, 2.4, 1.4, 2.2, 3.2, 2.0, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2282, 628, 74414, 3356, 343, 132.2, 1.10, 0.000, 0.000
8455, 600, 3.2, 4.4, 9.6, 2.4, 3.0, 9.2, 10.2, 13.6, 19.0, 1.2, 1.4, 2.0, 1.4, 2.8, 7.2, 2.0, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2285, 631, 74721, 3401, 347, 130.0, 1.38, 0.000, 0.000
8775, 600, 3.8, 4.8, 5.6, 2.6, 3.0, 3.6, 10.4, 13.4, 18.6, 1.2, 1.6, 1.8, 2.0, 3.2, 3.6, 2.4, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2284, 631, 74824, 3446, 350, 130.8, 1.45, 0.000, 0.000
9095, 600, 3.2, 4.2, 6.4, 2.6, 3.4, 6.4, 10.2, 13.0, 15.4, 1.2, 1.6, 2.6, 1.4, 2.2, 4.0, 2.0, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2297, 633, 74990, 3514, 353, 131.2, 1.12, 0.000, 0.000
9415, 600, 3.6, 4.6, 14.6, 2.8, 3.6, 14.0, 11.4, 15.8, 20.2, 1.2, 1.6, 6.6, 1.8, 3.0, 3.4, 2.2, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22.0, 2276, 629, 73906, 3060, 326, 130.8, 1.43, 0.000, 0.000
9735, 600, 3.6, 5.0, 7.4, 2.6, 3.0, 4.0, 11.4, 15.2, 20.0, 1.2, 1.6, 2.0, 1.8, 3.2, 3.8, 2.4, 3.2, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2274, 629, 74012, 3119, 329, 132.2, 1.68, 0.000, 0.000
10055, 600, 3.4, 4.4, 9.0, 2.8, 3.2, 6.4, 10.0, 12.8, 15.6, 1.2, 1.6, 2.8, 1.6, 2.6, 4.4, 2.2, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2280, 635, 74101, 3183, 331, 131.4, 1.27, 0.000, 0.000
10375, 600, 3.0, 3.6, 7.0, 2.6, 3.4, 5.6, 11.8, 15.6, 19.2, 1.2, 1.6, 4.8, 1.0, 1.6, 2.2, 1.8, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2277, 635, 74257, 3269, 335, 133.2, 1.38, 0.000, 0.000
10695, 600, 2.8, 3.6, 6.0, 2.4, 3.0, 4.8, 10.4, 13.0, 14.8, 1.0, 1.4, 1.8, 1.2, 2.0, 3.0, 1.8, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2273, 635, 74412, 3312, 343, 130.8, 1.30, 0.000, 0.000
11015, 600, 3.4, 4.0, 7.8, 3.2, 3.8, 4.8, 11.8, 15.0, 17.2, 1.2, 1.4, 2.0, 1.2, 1.4, 1.6, 1.6, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2280, 638, 74639, 3420, 345, 132.2, 1.25, 0.000, 0.000
11336, 600, 3.4, 4.6, 9.2, 2.8, 3.4, 7.8, 11.0, 15.6, 19.2, 1.2, 1.8, 4.2, 1.8, 2.8, 3.8, 2.2, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2303, 639, 74838, 3511, 349, 130.6, 1.18, 0.000, 0.000
11656, 600, 3.4, 4.2, 6.0, 2.8, 3.4, 4.6, 13.2, 18.4, 22.4, 1.4, 1.8, 3.0, 1.4, 2.2, 2.8, 2.2, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2296, 639, 75041, 3586, 354, 131.8, 1.58, 0.000, 0.000
11976, 600, 3.6, 4.2, 5.4, 3.0, 3.6, 4.4, 13.6, 19.8, 23.8, 1.4, 1.8, 2.4, 1.6, 2.4, 3.4, 2.2, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22.5, 2267, 632, 73998, 3079, 326, 130.8, 1.35, 0.000, 0.000
12296, 600, 3.0, 3.6, 5.2, 2.6, 3.2, 4.0, 12.4, 16.0, 20.2, 1.2, 1.4, 1.8, 1.2, 2.2, 3.2, 1.8, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2270, 632, 74174, 3176, 329, 132.2, 1.23, 0.000, 0.000
