Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
4291, 600, 8.8, 13.2, 41.4, 4.0, 4.6, 39.8, 12.2, 18.6, 200.0, 3.6, 11.0, 44.4, 1.8, 2.6, 9.0, 3.4, 3.6, 4.4, 0.0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 3, 155.0, 1141, 448, 38944, 794, 186, 55.2, 4.33, 0.000, 0.000
4610, 600, 8.8, 13.2, 47.4, 4.2, 5.0, 22.6, 11.2, 16.4, 25.6, 3.2, 9.4, 35.0, 2.2, 4.2, 8.8, 3.6, 4.4, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1146, 453, 39327, 830, 188, 54.8, 4.12, 0.000, 0.000
4930, 600, 9.0, 14.0, 48.0, 3.4, 4.2, 30.0, 11.4, 16.0, 32.8, 3.0, 6.6, 48.0, 2.6, 4.4, 39.0, 3.8, 4.6, 5.0, 0.0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1206, 587, 39883, 996, 189, 54.8, 4.58, 0.000, 0.000
5251, 600, 7.6, 11.4, 22.8, 3.4, 4.2, 11.2, 9.0, 13.0, 27.6, 2.6, 5.4, 20.8, 1.8, 2.8, 6.8, 3.4, 3.8, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1165, 598, 40571, 1134, 197, 55.4, 3.62, 0.000, 0.000
5571, 600, 8.4, 13.8, 31.8, 3.6, 4.4, 17.8, 10.0, 12.2, 18.6, 3.0, 8.0, 33.8, 1.8, 2.8, 14.2, 3.4, 3.8, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1166, 604, 40941, 1186, 200, 54.8, 3.88, 0.000, 0.000
5891, 600, 7.8, 12.2, 18.2, 3.4, 4.2, 13.4, 8.6, 10.0, 12.4, 2.8, 6.6, 18.0, 1.8, 2.6, 8.8, 3.4, 3.6, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1171, 620, 41099, 1256, 203, 52.6, 3.38, 0.000, 0.000
6212, 600, 7.6, 11.4, 33.8, 3.4, 4.2, 29.0, 8.4, 9.8, 21.2, 2.6, 7.0, 16.8, 1.6, 2.4, 10.8, 3.2, 3.4, 3.6, 0.0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1187, 668, 41575, 1322, 205, 54.6, 3.53, 0.000, 0.000
6531, 600, 8.2, 12.4, 32.2, 3.8, 4.8, 29.4, 11.0, 15.2, 54.2, 2.8, 8.6, 24.4, 1.8, 2.6, 9.0, 3.2, 3.4, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 101.5, 1126, 630, 38934, 784, 179, 53.2, 3.85, 0.000, 0.000
6851, 600, 7.6, 11.6, 16.8, 3.4, 4.2, 14.2, 12.2, 16.6, 18.0, 2.4, 5.4, 19.2, 1.6, 2.6, 7.4, 3.2, 3.4, 3.6, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1146, 633, 39180, 876, 180, 56.0, 3.28, 0.000, 0.000
7171, 600, 7.4, 12.2, 53.2, 3.4, 4.2, 51.0, 10.6, 13.6, 72.0, 2.6, 6.8, 29.4, 1.6, 2.4, 8.6, 3.2, 3.4, 4.4, 0.0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1145, 646, 39532, 945, 186, 54.6, 3.78, 0.000, 0.000
