Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
2150, 600, 5.2, 5.4, 10.4, 3.6, 4.2, 6.4, 4.4, 10.0, 200.0, 1.6, 2.0, 2.6, 3.2, 3.6, 8.2, 4.4, 4.4, 7.4, 0.0, 4, 0, 1, 0, 0, 0, 2, 0, 1, 0, 2, 3, 26.5, 1565, 433, 34848, 503, 100, 41.0, 1.85, 0.007, 0.007
2470, 600, 5.0, 5.4, 6.6, 3.6, 4.4, 5.4, 6.6, 9.0, 10.2, 1.6, 2.2, 2.8, 3.2, 3.6, 4.0, 4.2, 4.6, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1594, 442, 34865, 504, 100, 42.6, 1.93, 0.003, 0.003
2790, 600, 5.2, 5.4, 15.6, 2.4, 2.8, 8.0, 5.0, 7.8, 8.6, 1.2, 1.4, 2.2, 3.6, 3.8, 7.4, 4.6, 4.6, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1628, 495, 34994, 523, 100, 39.0, 1.73, 0.012, 0.012
3110, 600, 5.0, 5.2, 7.4, 2.4, 2.6, 3.8, 5.4, 8.2, 9.6, 1.0, 1.2, 1.8, 3.6, 3.8, 6.0, 4.4, 4.4, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1625, 495, 35000, 524, 100, 41.8, 1.88, 0.005, 0.005
3430, 600, 5.6, 6.0, 8.2, 2.4, 2.8, 3.4, 5.6, 7.8, 8.6, 1.2, 1.6, 2.2, 4.0, 4.6, 6.4, 4.8, 5.2, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1591, 507, 35003, 527, 100, 41.0, 1.50, 0.014, 0.014
3751, 600, 5.2, 5.4, 16.0, 2.4, 3.0, 5.4, 5.2, 6.6, 8.2, 1.2, 1.4, 2.6, 3.6, 3.8, 5.6, 4.6, 4.6, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1595, 511, 35033, 528, 100, 42.6, 1.70, 0.036, 0.036
4071, 600, 5.2, 5.4, 6.6, 2.4, 2.8, 3.6, 4.2, 6.0, 16.0, 1.0, 1.2, 2.4, 3.6, 3.8, 4.0, 4.4, 4.6, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1596, 512, 35185, 538, 101, 41.2, 1.98, 0.002, 0.002
4391, 600, 5.6, 6.0, 8.2, 2.4, 3.0, 5.2, 6.6, 10.0, 12.2, 1.4, 1.6, 2.6, 4.0, 4.4, 5.0, 5.0, 5.2, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8.0, 1590, 499, 34785, 503, 100, 40.8, 1.73, 0.008, 0.008
4711, 600, 5.2, 5.4, 12.4, 2.4, 2.8, 5.2, 5.0, 8.4, 13.2, 1.2, 1.2, 3.2, 3.6, 3.8, 10.4, 4.4, 4.6, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1629, 568, 34849, 503, 100, 42.6, 1.77, 0.003, 0.003
5031, 600, 5.0, 5.4, 7.8, 2.4, 2.8, 6.0, 5.2, 7.0, 7.6, 1.2, 1.4, 2.2, 3.6, 4.0, 4.4, 4.4, 4.8, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1630, 568, 34876, 505, 100, 41.8, 1.73, 0.004, 0.004
5351, 600, 5.4, 6.0, 9.8, 2.4, 2.8, 3.4, 4.8, 7.2, 8.2, 1.2, 1.4, 2.6, 4.0, 4.4, 8.2, 4.6, 5.2, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1635, 576, 34889, 508, 100, 39.6, 1.62, 0.006, 0.006
5671, 600, 5.4, 6.2, 20.4, 2.4, 2.8, 7.8, 6.2, 8.4, 10.8, 1.2, 1.4, 2.0, 4.0, 4.6, 18.6, 4.6, 5.2, 5.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1637, 592, 34896, 510, 100, 43.2, 1.60, 0.010, 0.010
5991, 600, 5.0, 5.0, 36.8, 2.2, 2.6, 3.6, 5.6, 7.8, 13.0, 1.0, 1.2, 6.4, 3.6, 3.6, 35.2, 4.2, 4.2, 19.6, 0.0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1637, 640, 34896, 510, 100, 42.2, 2.30, 0.004, 0.004
6311, 600, 5.0, 5.2, 31.2, 2.2, 2.6, 6.4, 5.8, 9.0, 9.8, 1.0, 1.0, 1.8, 3.6, 3.8, 29.8, 4.4, 4.4, 4.6, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1638, 670, 34896, 510, 100, 41.6, 1.85, 0.013, 0.013
6632, 600, 5.4, 5.8, 7.6, 2.2, 2.8, 3.6, 4.6, 6.4, 6.8, 1.2, 1.4, 1.6, 4.0, 4.4, 6.2, 4.8, 5.0, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1604, 670, 34901, 512, 100, 39.2, 1.45, 0.002, 0.002
6952, 600, 5.2, 5.6, 6.8, 2.2, 2.8, 3.4, 5.0, 7.0, 8.2, 1.0, 1.2, 1.6, 3.8, 4.0, 5.2, 4.4, 4.6, 6.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5.5, 1549, 670, 34791, 504, 100, 38.6, 1.65, 0.001, 0.001
7272, 600, 5.2, 5.4, 11.6, 2.4, 3.0, 5.8, 6.6, 9.2, 10.4, 1.0, 1.2, 2.8, 3.6, 3.8, 9.4, 4.4, 4.6, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1566, 683, 34826, 509, 100, 41.8, 1.98, 0.014, 0.014
7592, 600, 5.4, 5.8, 36.2, 2.6, 3.6, 6.2, 3.8, 4.2, 6.0, 1.2, 1.6, 4.8, 3.4, 3.8, 34.0, 4.4, 4.8, 6.8, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1568, 683, 34829, 512, 100, 40.4, 2.55, 0.004, 0.004
7912, 600, 5.2, 5.6, 14.4, 2.4, 3.0, 13.0, 5.2, 8.4, 11.4, 1.2, 1.4, 2.6, 3.6, 4.2, 11.2, 4.4, 4.8, 5.0, 0.0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1569, 683, 34835, 513, 100, 40.6, 1.55, 0.000, 0.000
