Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
317, 600, 4.2, 4.2, 4.2, 2.0, 2.6, 3.4, 14.0, 21.0, 200.0, 1.0, 1.2, 1.2, 0.8, 1.0, 1.2, 2.0, 2.4, 2.8, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 104.5, 1718, 605, 36958, 794, 188, 95.6, 1.50, 0.000, 0.000
638, 600, 4.2, 4.2, 4.2, 2.0, 2.6, 3.6, 12.8, 17.2, 19.8, 1.0, 1.4, 1.6, 1.2, 1.8, 2.8, 2.0, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1716, 611, 37113, 830, 188, 95.8, 1.45, 0.000, 0.000
957, 600, 4.2, 4.2, 14.8, 2.2, 2.8, 12.2, 11.2, 14.2, 16.0, 1.0, 1.2, 2.0, 1.0, 1.6, 2.6, 2.0, 2.6, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1754, 681, 37853, 938, 193, 95.6, 1.50, 0.000, 0.000
1278, 600, 4.2, 4.2, 5.4, 2.4, 3.0, 4.0, 12.4, 18.2, 21.6, 1.2, 1.4, 2.4, 1.4, 2.0, 3.0, 2.2, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1782, 722, 38246, 1053, 197, 94.8, 1.35, 0.000, 0.000
1598, 600, 4.2, 4.2, 5.6, 2.6, 3.2, 5.4, 13.8, 17.6, 20.4, 1.0, 1.4, 1.6, 1.0, 1.2, 1.4, 2.0, 2.4, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1763, 730, 38535, 1201, 200, 95.0, 1.27, 0.000, 0.000
1918, 600, 4.2, 4.2, 13.6, 2.4, 3.0, 11.6, 14.0, 18.0, 20.6, 1.0, 1.2, 1.8, 1.0, 1.6, 2.8, 2.0, 2.4, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14.5, 1751, 712, 37672, 953, 196, 95.6, 1.55, 0.000, 0.000
2237, 600, 4.2, 4.2, 4.4, 2.4, 2.8, 3.6, 12.0, 16.6, 20.4, 1.0, 1.2, 1.2, 0.8, 1.0, 1.4, 1.8, 2.2, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1739, 713, 37904, 1024, 198, 94.8, 1.55, 0.000, 0.000
2558, 600, 4.2, 4.2, 5.2, 2.4, 3.0, 4.8, 13.6, 18.0, 23.2, 1.0, 1.2, 1.6, 1.0, 1.2, 1.4, 2.0, 2.6, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1751, 716, 38252, 1124, 199, 95.6, 1.52, 0.000, 0.000
2879, 600, 4.2, 4.2, 5.4, 2.4, 3.0, 4.6, 12.8, 17.4, 20.4, 1.0, 1.2, 1.6, 1.0, 1.2, 1.4, 2.0, 2.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1752, 719, 38586, 1222, 206, 95.4, 1.52, 0.000, 0.000
3198, 600, 4.2, 4.2, 5.4, 2.4, 2.8, 4.0, 14.2, 19.0, 21.8, 1.0, 1.2, 1.4, 0.8, 1.0, 1.4, 1.8, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1787, 739, 38777, 1277, 208, 96.0, 1.60, 0.000, 0.000
