Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
317, 600, 8.4, 9.8, 18.0, 5.0, 6.2, 8.0, 10.8, 13.6, 121.6, 2.2, 2.6, 4.2, 2.0, 2.8, 16.4, 7.0, 7.6, 8.4, 0.0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 3, 40.0, 1638, 686, 37532, 796, 185, 79.0, 2.88, 0.000, 0.000
638, 600, 8.6, 10.0, 14.8, 5.0, 6.2, 8.0, 8.2, 11.8, 14.6, 2.0, 2.6, 8.0, 2.2, 2.8, 11.6, 7.0, 7.6, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16.5, 1615, 682, 37260, 842, 183, 77.2, 2.90, 0.000, 0.000
957, 600, 8.6, 10.4, 12.0, 5.8, 7.0, 11.4, 8.2, 10.8, 19.8, 2.2, 2.6, 4.4, 2.0, 2.8, 3.6, 7.2, 8.0, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1632, 700, 37856, 925, 185, 79.8, 3.55, 0.000, 0.000
1277, 600, 9.2, 10.8, 28.0, 5.8, 7.0, 9.0, 9.8, 12.8, 14.6, 2.4, 2.8, 5.0, 2.4, 3.2, 9.6, 7.6, 8.2, 8.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1653, 723, 38014, 965, 186, 78.0, 3.73, 0.000, 0.000
1599, 600, 8.0, 9.4, 23.8, 5.6, 6.8, 11.2, 9.0, 12.2, 13.4, 2.2, 2.6, 9.0, 1.6, 2.2, 15.6, 6.4, 7.2, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1661, 820, 38256, 1062, 188, 79.4, 3.05, 0.000, 0.000
1918, 600, 8.2, 9.6, 24.2, 5.8, 7.0, 10.6, 7.6, 10.0, 11.2, 2.2, 2.6, 4.0, 1.6, 2.0, 2.6, 6.6, 7.2, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1651, 821, 38422, 1127, 191, 78.0, 3.17, 0.000, 0.000
2238, 600, 8.2, 9.8, 23.6, 6.0, 7.2, 11.4, 7.8, 10.2, 13.2, 2.4, 2.8, 3.8, 1.8, 2.6, 3.4, 6.6, 7.6, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1671, 826, 38743, 1228, 196, 78.8, 3.10, 0.000, 0.000
2559, 600, 8.8, 10.6, 39.8, 6.0, 8.2, 28.4, 9.2, 13.6, 18.6, 2.6, 3.4, 6.8, 2.4, 3.4, 4.6, 7.2, 8.4, 8.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1666, 826, 38944, 1267, 199, 80.0, 3.62, 0.000, 0.000
2878, 600, 8.2, 9.8, 24.6, 6.2, 7.6, 11.2, 8.4, 10.8, 20.6, 2.2, 2.8, 9.2, 1.6, 2.2, 6.0, 6.8, 7.2, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 60.5, 1635, 834, 37846, 942, 187, 79.2, 3.08, 0.000, 0.000
3198, 600, 8.0, 9.0, 24.6, 6.2, 7.2, 11.8, 9.4, 11.6, 15.6, 2.4, 2.8, 4.2, 1.8, 2.2, 3.2, 6.4, 6.8, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1644, 834, 38004, 983, 189, 80.0, 3.08, 0.000, 0.000
