Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
319, 600, 7.4, 24.2, 32.2, 7.2, 24.0, 31.8, 20.4, 29.0, 195.4, 1.8, 2.2, 3.8, 2.0, 3.0, 5.0, 2.8, 4.2, 5.8, 0.0, 8, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 164.0, 2023, 485, 75032, 3009, 329, 123.4, 4.53, 0.000, 0.000
638, 600, 6.0, 15.8, 31.0, 5.8, 15.4, 30.4, 24.8, 28.6, 33.4, 1.6, 2.0, 2.4, 1.4, 2.6, 3.4, 1.8, 2.4, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2025, 488, 75738, 3222, 335, 121.2, 4.00, 0.000, 0.000
959, 600, 4.8, 6.2, 21.6, 4.4, 5.6, 21.4, 22.0, 25.2, 31.6, 1.6, 2.2, 9.2, 2.4, 3.2, 4.2, 2.2, 3.0, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2033, 495, 76117, 3335, 343, 110.8, 1.98, 0.001, 0.001
1280, 600, 4.6, 5.8, 19.4, 4.0, 4.8, 8.0, 20.6, 23.8, 26.0, 1.8, 2.4, 3.2, 2.0, 3.0, 3.6, 2.4, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2046, 495, 76449, 3421, 347, 113.8, 2.65, 0.000, 0.000
1599, 600, 4.6, 5.6, 14.4, 4.2, 5.4, 12.2, 20.4, 24.4, 28.0, 1.6, 2.0, 2.8, 1.4, 1.6, 2.0, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2053, 502, 76769, 3538, 357, 110.4, 2.10, 0.000, 0.000
1920, 600, 7.2, 24.2, 32.2, 6.6, 23.8, 32.0, 23.8, 28.2, 32.4, 1.4, 1.8, 3.0, 1.4, 2.6, 3.4, 1.8, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2058, 505, 76932, 3580, 362, 111.6, 4.78, 0.000, 0.000
2240, 600, 10.8, 28.2, 34.0, 10.4, 27.4, 33.6, 25.4, 29.6, 33.8, 1.6, 2.0, 3.4, 1.4, 2.2, 3.2, 2.2, 4.2, 5.2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2078, 514, 77163, 3643, 367, 116.2, 7.03, 0.000, 0.000
2560, 600, 4.8, 5.8, 18.6, 4.0, 5.2, 18.8, 22.8, 28.2, 32.0, 1.6, 2.0, 4.8, 1.6, 3.0, 3.4, 2.0, 2.6, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42.0, 2048, 489, 76272, 3091, 333, 112.6, 2.40, 0.004, 0.004
2881, 600, 10.4, 27.6, 44.0, 8.6, 22.2, 31.8, 22.8, 27.2, 32.8, 4.8, 20.2, 25.2, 2.6, 3.8, 5.2, 2.8, 4.8, 5.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2068, 503, 76591, 3164, 340, 112.4, 4.80, 0.002, 0.002
3201, 600, 5.6, 6.4, 25.6, 5.0, 6.0, 25.2, 23.2, 27.0, 31.2, 1.8, 2.0, 3.2, 2.4, 3.2, 3.6, 2.4, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2050, 503, 76743, 3209, 343, 111.2, 2.83, 0.000, 0.000
3521, 600, 4.6, 5.4, 25.6, 3.8, 5.0, 24.0, 20.6, 25.4, 35.4, 1.2, 1.8, 3.0, 1.2, 1.8, 2.4, 1.2, 2.0, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2053, 506, 76966, 3289, 349, 110.8, 2.58, 0.000, 0.000
