Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
1394, 600, 16.8, 16.6, 37.8, 2.0, 2.8, 17.2, 2.6, 3.6, 115.6, 1.2, 1.4, 3.2, 0.8, 1.0, 3.2, 5.0, 5.4, 7.0, 0.0, 3, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 2, 30.5, 1757, 439, 35972, 672, 178, 40.6, 2.30, 0.000, 0.000
1715, 478, 16.8, 16.6, 51.4, 2.2, 3.4, 17.6, 4.0, 5.0, 34.4, 1.2, 1.4, 3.4, 0.8, 1.0, 1.4, 5.2, 5.4, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1766, 443, 36651, 758, 180, 39.4, 2.38, 0.000, 0.000
2035, 480, 16.6, 16.6, 16.6, 2.2, 3.0, 4.8, 3.6, 4.6, 17.6, 1.2, 1.4, 1.6, 0.8, 1.0, 1.4, 5.2, 5.4, 5.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1770, 443, 36780, 776, 181, 41.2, 3.35, 0.000, 0.000
2355, 480, 16.6, 16.6, 24.4, 2.4, 3.2, 5.8, 3.8, 5.0, 6.2, 1.2, 1.6, 2.2, 0.8, 1.2, 1.6, 5.0, 5.4, 6.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1777, 443, 36876, 806, 184, 39.6, 2.15, 0.000, 0.000
2675, 480, 16.6, 16.6, 16.8, 2.4, 3.4, 5.2, 3.4, 4.4, 17.8, 1.2, 1.6, 2.8, 0.8, 1.0, 1.8, 5.2, 5.4, 5.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1786, 446, 37033, 853, 186, 40.0, 2.73, 0.000, 0.000
2995, 478, 16.8, 16.6, 34.0, 2.6, 3.4, 33.4, 3.8, 5.0, 17.6, 1.2, 1.4, 3.4, 0.8, 1.0, 2.4, 5.0, 5.4, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 51.5, 1776, 420, 36340, 736, 180, 41.2, 3.03, 0.000, 0.000
3315, 480, 16.6, 16.6, 17.6, 2.6, 3.4, 5.8, 5.2, 9.0, 18.6, 1.2, 1.6, 1.8, 0.8, 1.2, 1.6, 5.2, 5.4, 6.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1776, 420, 36533, 837, 183, 41.2, 2.58, 0.000, 0.000
3635, 479, 16.8, 16.6, 44.4, 2.4, 3.6, 8.4, 5.6, 7.8, 42.4, 1.2, 1.6, 2.0, 0.8, 1.2, 4.2, 5.0, 5.2, 5.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1784, 428, 36706, 924, 183, 41.8, 2.92, 0.000, 0.000
3956, 480, 16.6, 16.6, 16.8, 2.2, 3.0, 5.0, 3.8, 4.8, 6.2, 1.2, 1.4, 1.8, 0.8, 1.0, 1.4, 5.0, 5.4, 6.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1779, 428, 36821, 954, 185, 39.6, 2.28, 0.000, 0.000
4276, 479, 16.8, 16.6, 45.8, 2.6, 3.2, 26.6, 4.8, 6.2, 7.8, 1.2, 1.4, 6.4, 0.8, 1.0, 1.2, 5.2, 5.4, 6.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1786, 428, 36940, 983, 187, 42.6, 2.38, 0.000, 0.000
