Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
377, 600, 4.0, 4.6, 5.6, 2.0, 2.4, 4.4, 2.4, 4.8, 176.4, 1.0, 1.2, 1.4, 2.4, 3.0, 3.6, 3.4, 3.8, 4.4, 0.0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 1, 4, 6, 51.0, 1435, 493, 35750, 571, 103, 114.2, 1.93, 0.000, 0.000
697, 600, 4.0, 4.6, 10.0, 2.0, 2.4, 4.8, 5.2, 6.8, 8.6, 1.0, 1.2, 6.4, 2.4, 3.0, 7.8, 3.4, 4.0, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1472, 529, 35877, 625, 103, 114.4, 1.62, 0.000, 0.000
1017, 600, 4.0, 4.6, 12.0, 1.8, 2.4, 5.0, 5.0, 6.6, 8.4, 1.0, 1.2, 3.6, 2.4, 3.0, 7.8, 3.6, 4.2, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1455, 539, 35983, 694, 103, 114.2, 1.77, 0.000, 0.000
1338, 600, 4.0, 4.6, 8.0, 1.8, 2.2, 5.2, 4.4, 6.0, 7.0, 1.0, 1.0, 1.2, 2.4, 3.0, 6.4, 3.4, 4.0, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1453, 544, 36261, 765, 106, 112.0, 2.15, 0.000, 0.000
1658, 600, 4.2, 4.8, 10.0, 1.6, 2.0, 4.8, 5.2, 6.8, 9.0, 1.0, 1.2, 1.8, 2.8, 3.4, 8.0, 3.8, 4.2, 9.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9.0, 1451, 534, 35620, 570, 102, 112.2, 1.73, 0.000, 0.000
1978, 600, 4.0, 4.6, 8.0, 1.8, 2.2, 2.8, 5.8, 8.2, 21.0, 0.8, 1.0, 3.2, 2.6, 3.2, 6.6, 3.4, 4.0, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1520, 601, 35958, 645, 105, 134.8, 10.53, 0.009, 0.009
2298, 600, 3.8, 4.4, 5.8, 1.8, 2.2, 2.8, 5.8, 7.0, 8.8, 0.8, 1.0, 1.4, 2.6, 3.0, 4.4, 3.4, 3.8, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1444, 604, 36077, 671, 107, 113.4, 1.45, 0.000, 0.000
2618, 600, 4.0, 4.6, 16.2, 2.0, 2.4, 4.2, 5.6, 7.6, 9.0, 1.0, 1.2, 2.0, 2.4, 3.0, 7.4, 3.6, 4.0, 8.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1441, 613, 36202, 733, 108, 112.4, 1.98, 0.000, 0.000
2938, 600, 4.0, 4.8, 10.2, 2.0, 2.6, 4.2, 5.0, 6.4, 9.6, 1.0, 1.2, 2.6, 2.4, 3.0, 4.0, 3.6, 4.0, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1442, 613, 36272, 794, 108, 113.4, 1.45, 0.000, 0.000
3258, 600, 4.0, 4.6, 13.8, 1.8, 2.2, 9.4, 5.2, 7.2, 9.2, 0.8, 1.0, 1.8, 2.4, 3.0, 7.8, 3.4, 4.0, 9.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1441, 613, 36383, 884, 108, 111.6, 1.70, 0.000, 0.000
