Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
14893, 600, 6.6, 8.4, 34.6, 6.0, 8.0, 21.4, 4.6, 5.2, 200.0, 2.2, 3.0, 12.6, 2.2, 3.0, 9.6, 2.4, 2.8, 3.2, 0.0, 4, 0, 2, 1, 1, 0, 3, 0, 1, 0, 3, 3, 51.0, 2218, 449, 75487, 2944, 320, 48.2, 3.23, 0.000, 0.000
15213, 600, 5.4, 6.8, 10.6, 4.6, 5.8, 9.2, 9.2, 14.6, 18.2, 2.4, 3.2, 4.2, 2.2, 3.4, 4.6, 2.6, 3.6, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2234, 492, 75780, 3111, 326, 45.4, 2.12, 0.000, 0.000
15533, 600, 5.4, 7.0, 16.0, 4.4, 5.4, 7.8, 10.6, 14.6, 19.0, 2.4, 3.0, 4.0, 2.4, 3.8, 4.8, 2.6, 3.2, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2237, 503, 76010, 3168, 330, 45.0, 2.50, 0.000, 0.000
15853, 600, 6.0, 7.0, 16.4, 5.2, 6.4, 12.0, 9.6, 12.6, 17.8, 2.6, 3.6, 4.8, 2.4, 3.0, 4.2, 3.2, 3.6, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2259, 515, 76277, 3286, 337, 50.2, 2.67, 0.000, 0.000
16174, 600, 5.2, 6.4, 17.4, 4.4, 5.2, 8.2, 10.0, 14.4, 16.4, 2.0, 2.4, 3.2, 2.2, 3.6, 8.6, 2.6, 3.0, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2265, 543, 76455, 3346, 343, 44.6, 2.40, 0.000, 0.000
16494, 600, 5.4, 7.0, 20.0, 4.6, 5.8, 19.4, 9.4, 12.0, 14.4, 2.0, 2.8, 3.6, 2.6, 3.8, 4.8, 2.6, 3.6, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46.5, 2233, 509, 75178, 2914, 327, 44.6, 2.23, 0.000, 0.000
16813, 600, 5.4, 6.2, 10.4, 4.8, 5.8, 8.8, 10.0, 13.4, 16.0, 2.2, 3.0, 3.6, 1.8, 2.4, 3.0, 2.6, 2.8, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2230, 527, 75328, 2992, 330, 44.6, 2.65, 0.000, 0.000
17134, 600, 5.6, 6.4, 8.2, 5.2, 6.0, 7.0, 10.8, 15.8, 19.4, 2.0, 2.6, 3.2, 2.0, 2.2, 3.0, 2.4, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2230, 527, 75496, 3097, 334, 43.8, 2.55, 0.000, 0.000
17453, 600, 4.6, 5.4, 7.0, 4.2, 4.8, 6.2, 8.2, 12.0, 15.0, 2.0, 2.4, 3.0, 1.8, 2.2, 3.0, 2.0, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2240, 527, 75627, 3174, 336, 44.6, 2.10, 0.000, 0.000
17774, 600, 5.2, 6.2, 7.4, 4.2, 5.2, 7.2, 7.8, 10.4, 15.0, 2.2, 2.8, 3.8, 2.4, 3.6, 4.2, 2.6, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2230, 527, 75730, 3217, 343, 45.0, 2.17, 0.000, 0.000
18093, 600, 5.8, 6.8, 15.0, 4.4, 5.2, 7.0, 8.6, 13.4, 17.8, 2.2, 2.8, 5.0, 3.0, 3.8, 4.4, 2.8, 3.6, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2239, 528, 75909, 3258, 345, 44.8, 2.20, 0.000, 0.000
18413, 600, 5.6, 6.2, 7.6, 4.0, 4.8, 5.8, 7.8, 10.6, 13.0, 2.0, 2.2, 2.8, 3.2, 3.8, 5.0, 2.8, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2244, 536, 75965, 3287, 347, 43.8, 1.98, 0.000, 0.000
18734, 600, 5.2, 6.0, 13.2, 4.6, 5.4, 6.2, 9.4, 12.6, 14.2, 1.8, 2.0, 4.8, 2.2, 3.4, 5.0, 2.0, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2241, 536, 76130, 3431, 349, 45.8, 2.03, 0.000, 0.000
19054, 600, 5.0, 5.6, 13.6, 4.4, 5.0, 6.4, 8.4, 12.0, 17.0, 2.0, 2.8, 4.2, 2.0, 3.2, 4.0, 2.4, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31.5, 2226, 535, 75206, 2946, 324, 44.8, 2.15, 0.000, 0.000
19375, 600, 5.2, 6.2, 8.8, 4.4, 5.4, 7.0, 7.8, 10.4, 16.8, 2.2, 2.8, 3.8, 2.2, 3.4, 4.0, 2.6, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2235, 541, 75335, 2988, 330, 44.4, 2.05, 0.000, 0.000
