Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
317, 600, 2.4, 3.2, 8.2, 2.0, 3.0, 7.8, 5.2, 8.2, 80.8, 1.0, 1.2, 1.8, 1.0, 1.2, 2.6, 1.8, 2.0, 2.6, 0.0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 28.0, 2004, 530, 74109, 3065, 337, 32.6, 1.70, 0.000, 0.000
637, 600, 2.2, 2.6, 3.2, 1.8, 2.4, 3.0, 6.0, 8.2, 18.6, 1.0, 1.2, 2.4, 0.8, 1.2, 1.6, 1.6, 1.8, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2014, 539, 74601, 3192, 343, 29.6, 1.30, 0.000, 0.000
957, 600, 2.0, 2.4, 5.4, 1.6, 2.2, 3.8, 5.8, 7.2, 9.2, 0.8, 1.2, 1.4, 0.8, 1.0, 1.2, 1.2, 1.4, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2025, 545, 74885, 3301, 348, 29.6, 1.05, 0.000, 0.000
1277, 600, 2.6, 3.2, 9.0, 2.0, 2.8, 7.6, 6.2, 7.4, 9.2, 1.2, 1.6, 3.8, 1.2, 1.6, 2.6, 1.8, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2040, 559, 75321, 3424, 358, 30.0, 1.12, 0.000, 0.000
1597, 600, 2.4, 3.4, 7.2, 2.0, 2.8, 4.2, 6.2, 7.2, 10.0, 1.2, 1.6, 2.0, 1.0, 1.6, 2.4, 1.6, 2.4, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2047, 564, 75663, 3523, 368, 30.8, 1.02, 0.000, 0.000
1917, 600, 2.8, 3.6, 5.0, 2.0, 2.8, 4.2, 6.6, 8.2, 11.0, 1.2, 1.6, 2.2, 1.2, 1.8, 2.6, 2.0, 2.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2054, 576, 75961, 3625, 376, 30.2, 1.10, 0.000, 0.000
2237, 600, 2.4, 3.0, 4.6, 2.0, 2.8, 4.6, 6.6, 8.6, 12.2, 1.2, 1.6, 2.2, 1.0, 1.2, 1.4, 1.6, 1.8, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26.0, 2031, 551, 74595, 3194, 349, 30.2, 0.98, 0.000, 0.000
2557, 600, 2.0, 2.8, 3.4, 1.8, 2.6, 3.2, 6.6, 8.6, 12.0, 1.0, 1.2, 2.2, 0.8, 1.2, 2.2, 1.2, 1.2, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2037, 556, 74876, 3272, 356, 29.8, 1.23, 0.000, 0.000
2878, 600, 2.8, 3.8, 6.6, 2.0, 2.8, 6.0, 6.4, 7.6, 8.4, 1.2, 1.6, 3.0, 1.4, 2.2, 2.8, 2.2, 3.0, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2037, 564, 75185, 3351, 365, 32.6, 1.20, 0.000, 0.000
3199, 600, 2.6, 3.2, 4.2, 2.0, 2.8, 3.8, 6.8, 8.0, 11.4, 1.2, 1.4, 1.8, 1.2, 1.8, 2.2, 2.0, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2047, 570, 75428, 3446, 369, 30.8, 1.40, 0.000, 0.000
3518, 600, 2.6, 3.6, 9.2, 1.8, 2.6, 3.2, 7.6, 10.0, 14.4, 1.0, 1.4, 2.4, 1.2, 2.0, 2.8, 2.2, 2.8, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2055, 573, 76265, 3613, 375, 31.8, 0.98, 0.000, 0.000
3838, 600, 2.6, 3.4, 7.6, 2.2, 3.0, 6.0, 7.4, 10.8, 14.4, 1.2, 1.6, 3.0, 1.0, 1.4, 1.8, 2.0, 2.2, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2057, 581, 76717, 3774, 387, 30.2, 1.02, 0.000, 0.000
4158, 600, 2.4, 3.2, 6.6, 2.2, 3.0, 3.8, 11.6, 14.2, 19.2, 1.0, 1.2, 2.0, 0.8, 1.0, 1.6, 1.4, 1.8, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2071, 592, 77145, 3962, 393, 31.4, 1.20, 0.000, 0.000
4478, 600, 2.0, 2.6, 5.2, 1.8, 2.4, 4.4, 6.4, 9.0, 13.2, 0.8, 1.0, 1.4, 0.8, 1.0, 1.2, 1.4, 1.4, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24.0, 2040, 549, 74789, 3107, 336, 30.0, 0.78, 0.000, 0.000
4798, 600, 2.8, 3.6, 6.2, 2.0, 2.8, 6.0, 6.4, 8.2, 10.0, 1.2, 1.6, 2.4, 1.2, 2.0, 2.8, 2.2, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2047, 559, 75281, 3265, 349, 30.4, 1.27, 0.000, 0.000
5118, 600, 2.2, 2.8, 7.2, 1.8, 2.4, 6.2, 6.4, 8.0, 9.6, 1.0, 1.2, 2.0, 0.8, 1.2, 2.0, 1.6, 1.8, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2055, 566, 75557, 3348, 353, 30.8, 1.05, 0.000, 0.000
5438, 600, 2.8, 3.4, 4.4, 1.8, 2.6, 3.8, 6.8, 8.4, 10.4, 1.2, 1.4, 2.0, 1.4, 2.0, 3.0, 2.2, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2056, 568, 75776, 3462, 356, 30.4, 1.00, 0.000, 0.000
5758, 600, 2.4, 3.0, 6.8, 1.8, 2.6, 4.0, 6.0, 7.4, 9.8, 1.2, 1.4, 1.8, 1.0, 1.4, 1.6, 1.8, 2.0, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2059, 579, 76043, 3580, 361, 29.8, 0.95, 0.000, 0.000
6078, 600, 2.4, 3.0, 6.8, 1.8, 2.6, 3.4, 5.6, 7.2, 10.2, 0.8, 1.0, 1.4, 1.0, 1.6, 2.2, 1.8, 2.4, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2068, 582, 76355, 3658, 372, 30.2, 1.33, 0.000, 0.000
6398, 600, 2.6, 3.2, 8.0, 2.2, 3.0, 4.2, 6.8, 8.4, 12.6, 1.2, 1.6, 2.4, 1.0, 1.4, 2.2, 1.8, 2.2, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2075, 594, 76722, 3791, 376, 30.2, 1.05, 0.000, 0.000
