Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
573, 600, 4.0, 4.0, 4.4, 1.4, 1.6, 3.2, 2.8, 4.6, 194.4, 0.8, 1.0, 1.4, 0.6, 0.8, 2.2, 1.8, 2.6, 3.4, 0.0, 5, 0, 1, 0, 0, 0, 3, 0, 1, 0, 3, 12, 67.0, 1832, 413, 33516, 521, 167, 53.0, 1.30, 0.000, 0.000
893, 600, 4.0, 4.2, 4.4, 1.2, 1.6, 2.6, 2.8, 6.2, 7.2, 0.6, 0.8, 1.4, 0.6, 1.2, 1.8, 1.6, 2.6, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1805, 439, 33601, 529, 167, 51.4, 1.33, 0.000, 0.000
1213, 600, 4.0, 4.2, 4.2, 1.4, 1.8, 2.4, 2.4, 3.0, 3.6, 0.8, 1.0, 1.6, 0.6, 0.8, 1.2, 1.8, 2.6, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1776, 439, 33644, 553, 167, 50.6, 1.45, 0.000, 0.000
1532, 600, 4.0, 4.2, 15.8, 1.4, 1.8, 5.6, 2.0, 2.8, 3.2, 0.8, 1.0, 8.0, 0.6, 0.8, 7.6, 2.2, 3.4, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1780, 494, 34362, 566, 167, 52.4, 1.30, 0.000, 0.000
1852, 600, 4.0, 4.2, 12.2, 1.2, 1.6, 2.2, 2.2, 2.8, 3.2, 0.8, 1.0, 1.4, 0.8, 0.8, 1.2, 2.4, 3.2, 6.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1837, 528, 34393, 584, 167, 52.0, 1.23, 0.000, 0.000
2172, 600, 4.0, 4.2, 4.2, 1.4, 1.8, 2.2, 2.2, 2.6, 3.2, 0.8, 1.0, 1.4, 0.6, 0.8, 1.0, 2.4, 3.4, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1768, 534, 34672, 584, 167, 52.4, 1.58, 0.000, 0.000
2493, 600, 4.0, 4.2, 4.4, 1.2, 1.6, 2.0, 2.2, 2.6, 3.0, 0.8, 1.2, 1.4, 0.8, 1.0, 1.4, 2.4, 3.4, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1769, 537, 34699, 584, 167, 53.6, 1.33, 0.000, 0.000
2813, 600, 4.0, 4.2, 4.2, 1.4, 1.6, 3.0, 2.0, 2.6, 3.0, 0.8, 1.0, 1.4, 0.6, 0.8, 1.0, 2.2, 3.4, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4.5, 1749, 537, 34539, 520, 167, 51.4, 1.25, 0.000, 0.000
3134, 600, 4.0, 4.0, 4.2, 1.2, 1.6, 2.2, 2.2, 2.6, 4.2, 0.8, 1.0, 1.2, 0.6, 0.8, 1.0, 2.2, 3.4, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1755, 537, 34556, 536, 167, 51.0, 1.33, 0.000, 0.000
3453, 600, 4.0, 4.2, 4.2, 1.2, 1.6, 2.4, 2.0, 2.4, 2.8, 0.8, 1.0, 1.4, 0.8, 1.0, 1.2, 2.2, 3.2, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1757, 537, 34556, 536, 167, 49.8, 1.45, 0.000, 0.000
3774, 600, 4.0, 4.2, 4.2, 1.2, 1.6, 2.0, 2.0, 2.4, 3.6, 0.8, 1.0, 1.4, 0.8, 0.8, 1.2, 2.4, 3.6, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1757, 537, 34556, 536, 167, 52.6, 1.35, 0.000, 0.000
4094, 600, 4.0, 4.2, 4.2, 1.4, 1.6, 2.2, 2.2, 2.8, 3.2, 0.8, 1.0, 1.6, 0.6, 0.8, 1.2, 2.2, 3.2, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1756, 537, 34559, 539, 167, 52.4, 1.38, 0.000, 0.000
4413, 600, 4.0, 4.0, 12.2, 1.2, 1.6, 3.2, 2.4, 2.8, 3.0, 0.8, 1.0, 1.4, 0.6, 0.8, 1.2, 2.4, 3.4, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1755, 537, 34563, 543, 167, 50.6, 1.40, 0.000, 0.000
