Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
317, 600, 2.8, 3.4, 5.2, 2.2, 2.8, 4.0, 8.4, 10.0, 170.4, 1.0, 1.2, 2.2, 1.0, 1.2, 1.4, 1.4, 1.6, 1.6, 0.0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 44.0, 2014, 620, 35915, 573, 104, 59.8, 1.25, 0.000, 0.000
638, 600, 2.8, 3.2, 4.8, 2.2, 2.6, 4.0, 6.8, 8.4, 9.2, 1.0, 1.2, 1.8, 1.0, 1.2, 1.6, 1.4, 1.6, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2027, 624, 36055, 610, 106, 59.4, 1.02, 0.000, 0.000
957, 600, 2.8, 3.4, 10.8, 2.2, 2.8, 8.2, 4.8, 6.2, 7.8, 1.0, 1.2, 1.6, 0.8, 1.0, 1.6, 1.4, 1.4, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9.5, 2023, 606, 35756, 585, 102, 59.6, 1.00, 0.000, 0.000
1277, 600, 2.8, 3.2, 5.0, 2.2, 2.6, 4.0, 7.8, 9.8, 11.4, 1.0, 1.2, 2.2, 0.8, 1.0, 1.4, 1.4, 1.6, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2017, 609, 35910, 646, 102, 59.0, 1.08, 0.000, 0.000
1597, 600, 3.0, 3.6, 9.6, 2.2, 3.0, 9.8, 7.6, 9.6, 11.0, 1.0, 1.4, 3.0, 1.0, 1.4, 2.0, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2031, 609, 36044, 703, 102, 59.4, 1.15, 0.000, 0.000
1917, 600, 3.0, 3.8, 8.0, 2.2, 3.2, 7.6, 6.4, 8.8, 9.4, 1.0, 1.4, 6.0, 1.0, 1.6, 3.2, 1.6, 2.0, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2033, 609, 36160, 727, 102, 58.0, 1.10, 0.000, 0.000
2237, 600, 2.6, 2.8, 3.4, 1.6, 2.0, 2.6, 6.0, 8.6, 9.6, 0.8, 1.0, 1.2, 0.8, 1.0, 1.4, 1.4, 1.4, 1.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2039, 611, 36230, 744, 102, 58.4, 0.93, 0.000, 0.000
2557, 600, 2.8, 3.2, 4.6, 2.0, 2.4, 3.0, 6.2, 8.2, 19.0, 1.0, 1.2, 1.6, 0.8, 1.0, 1.6, 1.4, 1.4, 1.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2031, 618, 36879, 813, 110, 57.2, 1.08, 0.000, 0.000
2877, 600, 3.0, 3.8, 9.4, 2.6, 3.4, 9.2, 8.6, 12.2, 13.0, 1.0, 1.4, 2.4, 1.0, 1.2, 2.0, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2044, 620, 36995, 884, 110, 59.4, 1.08, 0.000, 0.000
3197, 600, 2.6, 3.2, 15.6, 1.8, 2.4, 15.4, 6.8, 11.2, 15.0, 0.8, 1.2, 1.8, 0.8, 1.2, 2.0, 1.4, 1.6, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2045, 623, 37215, 1062, 112, 58.8, 0.93, 0.000, 0.000
3517, 600, 2.8, 3.4, 4.2, 2.2, 2.8, 3.6, 6.2, 9.4, 13.6, 1.0, 1.2, 1.6, 1.0, 1.2, 1.8, 1.6, 1.6, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25.0, 2036, 640, 36167, 617, 104, 59.0, 0.80, 0.000, 0.000
3837, 600, 2.8, 3.4, 5.0, 2.2, 2.8, 4.0, 6.6, 7.8, 13.0, 1.0, 1.2, 1.4, 0.8, 1.0, 1.6, 1.4, 1.6, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2041, 640, 36234, 632, 104, 58.0, 0.93, 0.000, 0.000
4158, 600, 2.8, 3.4, 5.2, 2.2, 3.0, 4.6, 7.8, 10.8, 12.8, 1.0, 1.4, 2.6, 1.0, 1.2, 1.6, 1.4, 1.6, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2037, 650, 36394, 724, 105, 59.4, 0.98, 0.000, 0.000
4477, 600, 2.8, 3.2, 16.4, 2.0, 2.8, 17.6, 6.6, 8.8, 10.2, 1.0, 1.2, 4.0, 0.8, 1.0, 1.6, 1.4, 1.4, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2032, 682, 36521, 788, 106, 59.0, 1.08, 0.000, 0.000
4797, 600, 2.6, 3.2, 3.8, 1.6, 2.2, 3.2, 6.8, 8.4, 9.8, 0.8, 1.0, 1.4, 0.8, 1.2, 2.2, 1.4, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2038, 683, 36659, 851, 108, 58.8, 1.10, 0.000, 0.000
5117, 600, 2.8, 3.2, 10.0, 2.0, 2.6, 9.8, 7.2, 10.0, 18.2, 1.0, 1.2, 1.6, 0.8, 1.0, 1.8, 1.4, 1.6, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2042, 695, 37440, 1027, 110, 57.8, 1.48, 0.000, 0.000
5437, 600, 2.6, 3.0, 4.0, 2.0, 2.4, 3.2, 7.4, 12.6, 14.0, 0.8, 1.2, 2.2, 0.8, 1.0, 1.4, 1.4, 1.4, 1.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2044, 695, 37560, 1108, 111, 59.2, 0.90, 0.000, 0.000
5758, 600, 2.8, 3.6, 10.4, 2.2, 3.0, 7.4, 7.0, 8.8, 16.6, 1.0, 1.4, 6.2, 1.0, 1.4, 3.4, 1.4, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2044, 695, 37640, 1131, 112, 59.4, 1.10, 0.000, 0.000
