Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
638, 600, 12.0, 12.4, 36.4, 5.2, 6.4, 20.2, 4.4, 8.8, 37.6, 1.8, 2.4, 25.0, 7.8, 8.4, 9.4, 11.2, 11.6, 12.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1434, 501, 38214, 986, 128, 96.0, 5.38, 0.000, 0.000
958, 600, 12.2, 12.4, 12.8, 5.2, 6.2, 11.2, 9.4, 12.0, 14.2, 1.8, 2.0, 2.6, 8.0, 8.6, 9.6, 11.4, 11.6, 11.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1490, 570, 38387, 1030, 133, 95.8, 5.20, 0.000, 0.000
1279, 600, 12.2, 13.0, 36.8, 5.6, 6.4, 15.0, 13.2, 16.6, 19.4, 1.8, 2.2, 4.8, 8.6, 10.2, 10.6, 11.6, 12.4, 12.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1453, 578, 38841, 1109, 135, 97.2, 4.95, 0.000, 0.000
1599, 600, 12.4, 13.2, 36.0, 4.8, 5.8, 15.2, 10.8, 14.0, 17.8, 1.8, 2.0, 3.8, 9.0, 10.8, 11.2, 11.8, 12.6, 13.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49.5, 1448, 588, 37792, 853, 120, 97.6, 5.05, 0.000, 0.000
1919, 600, 12.0, 12.4, 36.6, 5.6, 6.8, 11.4, 11.4, 14.4, 26.6, 1.8, 2.0, 2.8, 7.8, 8.6, 9.8, 11.4, 11.8, 12.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1442, 597, 38147, 951, 129, 97.2, 5.40, 0.000, 0.000
2239, 600, 12.2, 13.2, 40.6, 5.6, 6.8, 11.4, 13.4, 17.0, 26.6, 1.8, 2.2, 7.0, 8.2, 9.8, 10.8, 11.6, 12.8, 13.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1488, 713, 38567, 1117, 130, 97.6, 5.28, 0.000, 0.000
2560, 600, 12.2, 12.4, 36.8, 5.0, 6.2, 9.8, 10.8, 16.2, 19.2, 1.6, 2.0, 2.6, 8.0, 8.6, 9.6, 11.6, 11.8, 11.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1459, 713, 38880, 1251, 135, 96.8, 5.22, 0.000, 0.000
2880, 600, 12.0, 12.4, 36.6, 5.2, 6.2, 12.8, 12.4, 15.4, 20.2, 1.6, 2.0, 3.4, 8.2, 8.8, 10.0, 11.6, 11.6, 12.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1457, 716, 39109, 1340, 138, 97.6, 5.20, 0.000, 0.000
3200, 600, 11.8, 12.0, 35.6, 5.0, 5.6, 8.8, 9.4, 11.8, 14.0, 1.6, 1.8, 2.4, 7.8, 8.4, 9.2, 11.2, 11.4, 11.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1461, 719, 39207, 1392, 138, 96.4, 5.47, 0.000, 0.000
3520, 600, 11.2, 11.8, 14.8, 4.6, 5.0, 7.6, 7.4, 11.2, 13.6, 1.6, 1.8, 21.4, 7.4, 8.0, 8.8, 10.6, 11.0, 11.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1455, 728, 39333, 1462, 139, 96.8, 5.35, 0.000, 0.000
3841, 600, 11.0, 11.6, 11.8, 4.6, 5.2, 8.4, 8.8, 10.8, 13.6, 1.6, 1.8, 2.2, 7.4, 8.0, 8.8, 10.4, 10.6, 11.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1455, 728, 39498, 1489, 139, 96.2, 4.97, 0.000, 0.000
4161, 600, 11.4, 12.0, 32.6, 4.8, 5.8, 9.6, 7.8, 9.2, 10.2, 1.6, 1.8, 23.2, 7.6, 8.4, 9.2, 10.8, 11.2, 12.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60.0, 1430, 711, 38026, 910, 119, 95.8, 5.22, 0.000, 0.000
4481, 600, 11.4, 11.8, 12.6, 4.4, 5.2, 7.2, 6.6, 9.8, 11.6, 1.4, 1.8, 3.0, 7.6, 8.2, 9.0, 10.8, 11.2, 11.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1431, 711, 38172, 1001, 119, 96.2, 5.38, 0.000, 0.000
4801, 600, 11.2, 11.4, 16.0, 4.4, 5.2, 14.4, 2.6, 5.0, 5.6, 1.4, 1.6, 18.0, 7.4, 8.0, 8.6, 10.4, 10.6, 11.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1437, 731, 38387, 1002, 119, 95.8, 5.47, 0.000, 0.000
5121, 600, 11.2, 11.4, 11.8, 4.2, 4.8, 5.6, 1.2, 1.8, 2.2, 1.4, 1.6, 1.8, 7.6, 8.2, 8.8, 10.4, 10.6, 10.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1419, 732, 38410, 1002, 119, 96.2, 5.45, 0.000, 0.000
5441, 600, 11.0, 11.4, 11.6, 4.0, 4.8, 5.2, 1.0, 1.0, 1.2, 1.4, 1.6, 2.0, 7.4, 7.8, 8.4, 10.2, 10.4, 10.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1419, 732, 38426, 1002, 119, 96.4, 5.33, 0.000, 0.000
5762, 600, 10.8, 11.2, 11.4, 4.0, 4.6, 5.4, 1.0, 1.0, 1.4, 1.4, 1.6, 2.0, 7.4, 7.8, 8.2, 10.2, 10.4, 10.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1415, 732, 38426, 1002, 119, 94.8, 5.28, 0.000, 0.000
6082, 600, 12.2, 12.8, 91.2, 5.8, 7.0, 62.4, 10.4, 13.2, 93.2, 2.0, 2.2, 28.8, 7.8, 9.0, 10.4, 11.6, 12.2, 13.8, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1454, 753, 39752, 1152, 132, 96.0, 9.35, 0.000, 0.000
6403, 600, 12.0, 12.4, 13.4, 5.0, 6.2, 7.8, 9.6, 12.0, 16.8, 1.6, 1.8, 3.0, 8.2, 9.2, 9.8, 11.4, 11.8, 13.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1449, 753, 39903, 1192, 136, 97.2, 5.22, 0.000, 0.000
6723, 600, 12.4, 12.6, 38.0, 5.2, 6.4, 12.2, 11.2, 13.8, 16.4, 1.8, 2.0, 3.6, 8.0, 8.8, 10.0, 11.6, 12.0, 12.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52.0, 1441, 731, 38800, 910, 125, 96.8, 5.43, 0.000, 0.000
7043, 600, 12.2, 12.6, 38.0, 5.2, 6.0, 10.4, 9.2, 12.2, 16.4, 1.8, 2.0, 2.8, 8.0, 9.0, 10.0, 11.4, 11.8, 12.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1447, 731, 38937, 942, 126, 96.6, 5.35, 0.000, 0.000
7363, 600, 12.2, 12.4, 32.6, 5.4, 6.2, 11.2, 10.4, 12.4, 28.2, 1.8, 2.0, 36.0, 8.0, 8.4, 9.6, 11.6, 11.8, 12.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1463, 751, 39213, 1050, 133, 95.8, 5.35, 0.000, 0.000
7684, 600, 12.0, 12.4, 37.2, 5.4, 6.6, 14.0, 11.6, 14.2, 17.8, 1.8, 2.0, 3.0, 7.8, 8.8, 10.2, 11.6, 11.8, 12.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1466, 756, 39477, 1189, 136, 96.4, 5.75, 0.000, 0.000
8004, 600, 12.2, 12.6, 37.0, 5.0, 6.4, 12.2, 9.6, 12.2, 14.4, 1.8, 2.0, 3.4, 8.0, 8.6, 9.6, 11.4, 11.8, 12.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1453, 759, 39713, 1271, 140, 96.6, 5.45, 0.000, 0.000
8323, 600, 12.2, 12.6, 36.0, 5.6, 6.4, 9.2, 9.6, 11.4, 12.2, 1.6, 2.0, 5.0, 8.0, 8.8, 9.2, 11.4, 12.0, 12.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1453, 759, 39862, 1308, 142, 95.8, 5.33, 0.000, 0.000
8644, 600, 12.2, 12.8, 36.6, 5.4, 6.2, 8.6, 10.4, 12.8, 16.4, 1.8, 2.0, 3.4, 8.2, 8.8, 9.6, 11.4, 12.0, 12.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1461, 762, 40092, 1367, 146, 95.8, 5.43, 0.000, 0.000
8964, 600, 11.8, 12.2, 35.8, 5.4, 6.6, 9.8, 10.0, 12.2, 14.6, 1.8, 2.0, 2.4, 7.8, 8.4, 9.0, 11.2, 11.4, 11.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 73.5, 1438, 738, 38448, 809, 117, 96.8, 5.30, 0.000, 0.000
