Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
28432, 600, 4.2, 5.0, 8.0, 4.0, 5.0, 7.2, 9.6, 13.0, 87.4, 1.8, 2.4, 3.0, 1.4, 2.4, 3.4, 2.2, 2.6, 2.8, 0.0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3, 41.5, 2532, 524, 76718, 3115, 336, 111.8, 1.38, 0.000, 0.000
28752, 600, 4.2, 5.2, 8.6, 4.0, 5.0, 8.4, 9.8, 12.4, 13.2, 1.8, 2.2, 3.6, 1.2, 1.6, 3.4, 1.8, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2543, 541, 77148, 3317, 344, 111.0, 1.40, 0.000, 0.000
29072, 600, 4.0, 4.8, 6.6, 3.6, 4.2, 5.0, 9.4, 10.8, 12.6, 1.6, 1.8, 2.6, 1.2, 1.4, 1.8, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2550, 564, 77524, 3481, 355, 112.0, 1.60, 0.000, 0.000
29392, 600, 4.6, 5.6, 8.8, 4.2, 5.2, 7.6, 9.4, 11.6, 13.0, 2.0, 2.6, 3.8, 1.4, 1.8, 4.6, 2.0, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2557, 582, 77843, 3575, 363, 111.8, 1.77, 0.000, 0.000
29712, 600, 4.4, 5.4, 7.8, 4.2, 5.0, 9.2, 10.4, 12.8, 14.8, 1.6, 2.0, 3.4, 1.2, 1.4, 1.8, 1.4, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2570, 588, 78184, 3706, 367, 111.8, 1.68, 0.000, 0.000
30032, 600, 4.6, 6.8, 13.6, 4.2, 5.6, 10.4, 9.4, 11.0, 12.2, 1.8, 2.6, 4.2, 1.2, 1.6, 2.4, 1.8, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2574, 592, 78569, 3914, 375, 110.4, 1.65, 0.000, 0.000
30352, 600, 4.6, 5.4, 8.6, 4.2, 5.0, 7.2, 9.6, 11.0, 12.8, 2.2, 2.8, 3.2, 1.4, 1.8, 2.2, 2.0, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2582, 602, 78848, 3994, 381, 111.0, 1.45, 0.000, 0.000
30672, 600, 4.6, 5.8, 14.8, 4.2, 5.4, 14.6, 10.0, 13.2, 14.4, 1.6, 2.2, 3.2, 1.6, 2.2, 2.4, 1.6, 2.0, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37.0, 2547, 574, 76947, 3212, 340, 111.2, 1.73, 0.000, 0.000
30992, 600, 4.6, 5.6, 10.6, 4.4, 5.2, 7.8, 8.2, 11.0, 11.8, 2.0, 2.4, 3.0, 1.4, 2.2, 2.6, 1.6, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2549, 580, 77317, 3296, 345, 110.2, 1.95, 0.000, 0.000
31312, 600, 4.6, 7.2, 11.2, 4.0, 5.2, 11.8, 8.8, 11.2, 13.0, 1.8, 2.4, 6.0, 1.6, 2.2, 5.2, 1.6, 1.8, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2556, 590, 77719, 3432, 355, 111.6, 1.73, 0.000, 0.000
31633, 600, 4.4, 5.4, 8.4, 4.2, 5.0, 7.2, 10.0, 12.0, 13.0, 2.0, 2.8, 3.2, 1.8, 2.4, 3.2, 1.8, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2559, 595, 77961, 3513, 361, 111.6, 1.73, 0.000, 0.000
31953, 600, 4.4, 5.4, 9.4, 4.0, 5.0, 8.8, 8.8, 10.4, 11.6, 2.0, 2.6, 6.6, 1.6, 2.2, 3.4, 2.0, 2.4, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2575, 602, 78288, 3601, 370, 110.4, 1.52, 0.000, 0.000
32273, 600, 4.4, 5.6, 8.6, 4.2, 5.2, 7.8, 9.4, 11.0, 12.6, 2.0, 2.6, 7.2, 1.4, 2.2, 3.2, 2.0, 2.2, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2574, 609, 78612, 3688, 375, 111.2, 1.75, 0.000, 0.000
32593, 600, 4.4, 6.2, 10.6, 4.2, 5.2, 8.4, 9.0, 11.6, 14.6, 1.8, 2.6, 6.2, 1.4, 2.0, 2.4, 1.8, 2.0, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2580, 619, 78918, 3779, 382, 110.0, 1.73, 0.000, 0.000
32913, 600, 4.0, 4.6, 7.0, 3.4, 4.2, 5.2, 9.0, 11.0, 15.4, 1.6, 2.2, 2.8, 1.2, 1.4, 2.0, 2.2, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2593, 619, 79233, 3947, 388, 110.2, 1.52, 0.000, 0.000
33233, 600, 4.6, 5.6, 7.2, 4.2, 5.2, 6.6, 10.8, 13.4, 15.2, 2.0, 2.8, 5.2, 1.8, 2.4, 3.4, 2.2, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50.0, 2564, 584, 76862, 3200, 348, 111.0, 1.73, 0.000, 0.000
33553, 600, 4.4, 5.2, 7.8, 4.2, 5.0, 6.2, 10.2, 13.4, 14.2, 1.8, 2.4, 3.6, 1.4, 2.0, 2.4, 1.8, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2573, 590, 77063, 3289, 350, 110.0, 1.50, 0.000, 0.000
33873, 600, 4.6, 5.4, 11.0, 4.2, 5.2, 10.0, 9.2, 11.0, 12.0, 1.8, 2.4, 4.0, 1.2, 1.6, 2.8, 2.0, 2.2, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2574, 601, 77399, 3402, 360, 111.0, 1.70, 0.000, 0.000
34193, 600, 4.4, 5.2, 11.4, 4.0, 5.0, 9.2, 9.8, 12.2, 22.8, 1.6, 1.8, 2.6, 1.0, 1.2, 2.0, 1.8, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2581, 605, 77735, 3471, 365, 110.2, 1.43, 0.000, 0.000
34513, 600, 4.4, 5.2, 10.4, 4.0, 5.0, 8.4, 9.4, 11.4, 13.2, 1.6, 2.0, 2.6, 1.2, 1.6, 2.0, 1.4, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2578, 608, 78094, 3597, 371, 111.6, 1.55, 0.000, 0.000
