Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 2.2, 3.0, 6.0, 2.0, 2.8, 4.8, 5.6, 7.4, 83.4, 1.0, 1.6, 3.0, 1.0, 1.6, 3.4, 1.4, 1.6, 1.8, 0.0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 3, 28.5, 1250, 734, 36819, 797, 185, 15.2, 1.23, 0.000, 0.000
638, 600, 2.2, 2.6, 6.4, 1.8, 2.2, 3.0, 4.0, 6.2, 8.4, 1.0, 1.4, 2.4, 1.2, 1.8, 5.8, 1.6, 1.6, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1257, 739, 37084, 875, 187, 16.8, 0.93, 0.000, 0.000
958, 600, 2.4, 3.4, 6.0, 2.2, 3.0, 6.8, 4.0, 5.0, 6.4, 1.0, 1.6, 3.8, 1.0, 1.6, 5.6, 1.4, 1.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1268, 751, 37733, 963, 192, 16.0, 1.40, 0.000, 0.000
1278, 600, 2.4, 3.0, 6.2, 2.2, 2.8, 4.8, 4.8, 5.8, 7.2, 1.0, 1.4, 3.8, 1.2, 1.4, 5.2, 1.4, 1.4, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1297, 783, 38000, 1003, 193, 16.4, 1.25, 0.000, 0.000
1594, 600, 2.6, 3.2, 5.2, 2.2, 2.8, 3.8, 4.8, 8.2, 27.0, 1.0, 1.6, 2.8, 0.8, 1.2, 5.2, 1.4, 1.4, 1.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1291, 798, 38682, 1100, 195, 21.2, 17.60, 0.000, 0.000
1918, 600, 2.6, 3.2, 5.4, 2.4, 2.8, 5.2, 4.0, 6.2, 10.6, 1.0, 1.4, 2.8, 0.8, 1.0, 4.2, 1.4, 1.4, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20.5, 1270, 775, 37614, 921, 189, 15.6, 1.10, 0.000, 0.000
2238, 600, 2.8, 3.4, 9.0, 2.6, 3.2, 8.8, 3.8, 4.8, 6.4, 1.2, 1.8, 3.4, 0.8, 1.2, 4.4, 1.2, 1.4, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1280, 775, 37872, 1018, 193, 15.8, 1.27, 0.000, 0.000
2558, 600, 2.8, 3.4, 4.4, 2.4, 3.0, 3.8, 4.2, 5.4, 8.8, 1.2, 1.8, 2.6, 1.2, 1.6, 5.6, 1.6, 1.6, 1.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1274, 817, 38070, 1055, 195, 17.6, 2.35, 0.000, 0.000
2878, 600, 2.6, 3.4, 5.6, 2.4, 3.0, 5.2, 4.0, 5.0, 6.6, 1.2, 1.8, 2.4, 0.8, 1.0, 4.2, 1.4, 1.4, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1284, 821, 38277, 1146, 196, 15.6, 2.17, 0.000, 0.000
3198, 600, 2.8, 3.4, 7.2, 2.6, 3.2, 6.6, 4.4, 5.4, 8.4, 1.2, 1.8, 3.0, 0.8, 1.2, 4.2, 1.2, 1.4, 1.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1289, 822, 38418, 1187, 198, 17.8, 1.93, 0.000, 0.000
