Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
24961, 600, 5.2, 6.8, 8.6, 4.6, 6.2, 8.4, 3.2, 5.2, 7.4, 2.0, 2.6, 5.2, 2.0, 2.8, 4.4, 4.4, 5.6, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1288, 475, 35882, 601, 103, 40.6, 2.10, 0.000, 0.000
25280, 600, 5.2, 6.6, 14.8, 4.6, 6.2, 9.4, 4.2, 5.2, 6.2, 1.8, 2.4, 3.6, 2.2, 3.2, 4.6, 4.4, 5.8, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1317, 476, 36925, 611, 104, 38.0, 2.25, 0.000, 0.000
25600, 600, 5.4, 7.2, 11.2, 5.2, 6.8, 10.0, 5.0, 5.8, 6.4, 1.8, 2.2, 3.0, 1.8, 2.6, 4.0, 4.4, 5.6, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1324, 479, 37075, 629, 105, 37.0, 2.62, 0.000, 0.000
25920, 600, 5.2, 6.8, 8.8, 4.8, 6.6, 8.6, 6.4, 7.8, 9.8, 2.0, 2.6, 3.6, 2.0, 2.8, 4.2, 4.2, 5.6, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1377, 504, 37232, 648, 105, 37.4, 2.20, 0.000, 0.000
26241, 600, 5.4, 7.2, 36.0, 4.8, 7.0, 35.0, 5.8, 7.6, 9.4, 2.0, 2.8, 6.0, 2.0, 2.6, 4.0, 4.4, 5.6, 6.2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68.5, 1663, 549, 36380, 545, 101, 38.4, 2.20, 0.000, 0.000
26561, 600, 5.6, 7.4, 18.2, 5.0, 6.8, 16.8, 4.6, 7.4, 8.4, 2.0, 2.8, 4.2, 2.0, 2.6, 5.0, 4.4, 5.6, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1445, 552, 36590, 606, 102, 36.2, 2.35, 0.000, 0.000
26881, 600, 5.0, 6.6, 8.0, 4.6, 6.2, 7.8, 5.4, 9.6, 11.0, 1.8, 2.4, 4.6, 1.8, 2.4, 4.2, 4.2, 5.4, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1437, 552, 36607, 613, 103, 35.0, 2.05, 0.000, 0.000
27201, 600, 5.0, 6.4, 10.4, 4.4, 6.0, 7.4, 6.4, 10.8, 15.0, 1.8, 2.4, 3.4, 2.0, 3.0, 4.0, 4.2, 5.6, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1369, 552, 36628, 617, 103, 38.0, 1.85, 0.000, 0.000
27521, 600, 5.2, 6.6, 8.4, 4.4, 6.2, 8.0, 5.0, 6.4, 7.4, 1.8, 2.2, 3.2, 2.0, 3.2, 4.0, 4.4, 5.6, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1428, 552, 36636, 621, 103, 39.0, 2.20, 0.000, 0.000
27841, 600, 5.2, 6.6, 8.6, 4.6, 6.2, 7.6, 5.6, 7.0, 7.4, 1.8, 2.6, 3.8, 1.8, 2.6, 3.8, 4.2, 5.4, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1465, 552, 36642, 622, 103, 38.0, 3.25, 0.000, 0.000
28161, 600, 5.2, 7.0, 15.4, 4.8, 6.4, 13.2, 5.8, 7.8, 8.4, 1.8, 2.4, 4.0, 1.8, 2.8, 4.2, 4.4, 5.6, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1446, 563, 36719, 632, 103, 37.6, 2.15, 0.000, 0.000
28482, 600, 5.2, 6.8, 12.0, 4.4, 6.2, 11.8, 6.0, 7.6, 9.0, 1.8, 2.4, 4.0, 2.0, 3.0, 6.8, 4.4, 5.8, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1472, 563, 36826, 650, 103, 39.0, 2.60, 0.000, 0.000
28802, 600, 6.0, 8.0, 18.8, 5.4, 7.0, 18.4, 5.4, 6.6, 9.6, 1.8, 2.2, 4.6, 1.6, 2.4, 13.0, 4.2, 5.6, 12.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36.5, 1525, 560, 36477, 544, 100, 39.8, 2.35, 0.000, 0.000
29122, 600, 4.8, 6.0, 10.2, 2.6, 3.6, 5.0, 5.2, 7.2, 13.8, 1.0, 1.4, 2.6, 2.6, 4.0, 6.6, 4.2, 5.4, 8.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1416, 562, 36522, 550, 100, 36.4, 3.05, 0.000, 0.000
29442, 600, 4.8, 6.0, 6.6, 2.4, 2.8, 4.0, 5.4, 7.8, 10.4, 1.0, 1.4, 1.8, 2.6, 3.8, 4.6, 4.2, 5.4, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1451, 616, 36530, 553, 100, 36.6, 2.33, 0.000, 0.000
