Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
277078, 600, 3.6, 5.0, 39.4, 3.0, 4.0, 39.0, 6.0, 8.4, 112.8, 1.6, 2.0, 6.8, 1.4, 2.0, 5.4, 2.6, 3.0, 3.2, 0.0, 4, 0, 2, 3, 0, 0, 4, 0, 1, 2, 1, 7, 70.5, 2911, 531, 70822, 2631, 303, 134.0, 3.60, 0.000, 0.000
277399, 600, 4.8, 5.6, 9.2, 3.0, 4.2, 8.4, 6.4, 7.2, 9.0, 1.4, 1.8, 6.2, 1.4, 2.0, 3.2, 3.8, 4.4, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2374, 532, 70895, 2643, 306, 127.6, 3.48, 0.001, 0.001
277719, 600, 3.8, 5.4, 10.8, 3.4, 4.8, 9.2, 8.0, 9.2, 22.4, 1.4, 1.8, 6.8, 1.2, 1.8, 4.2, 2.4, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 3142, 539, 71159, 2708, 312, 134.4, 4.88, 0.000, 0.000
278039, 600, 4.0, 5.6, 9.4, 3.6, 5.0, 10.4, 8.2, 9.4, 12.0, 1.8, 3.0, 10.2, 1.4, 2.0, 3.8, 2.8, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2175, 548, 71246, 2741, 315, 135.0, 5.25, 0.000, 0.000
278359, 600, 3.8, 5.0, 28.0, 3.0, 4.2, 28.2, 8.0, 10.2, 27.4, 1.6, 2.4, 7.0, 1.4, 2.0, 4.0, 2.8, 3.2, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2243, 560, 72045, 2794, 320, 135.4, 4.25, 0.000, 0.000
278679, 600, 4.4, 6.2, 57.0, 3.8, 5.2, 34.2, 7.6, 9.8, 13.2, 2.0, 3.2, 57.2, 1.4, 2.0, 13.6, 2.8, 3.2, 3.4, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2211, 574, 72213, 2825, 327, 131.2, 4.55, 0.000, 0.000
279000, 600, 3.6, 4.0, 4.6, 2.2, 2.8, 4.0, 6.8, 7.8, 10.0, 1.2, 1.4, 2.0, 1.0, 1.4, 1.6, 2.8, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2203, 574, 72285, 2865, 329, 128.8, 2.75, 0.000, 0.000
279319, 600, 3.2, 3.8, 10.6, 1.8, 2.6, 7.4, 5.8, 7.4, 11.8, 1.4, 1.8, 6.4, 1.2, 1.6, 2.4, 2.4, 2.6, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2195, 583, 72832, 2938, 338, 131.2, 3.03, 0.000, 0.000
279639, 600, 3.4, 3.8, 6.8, 2.2, 3.0, 6.8, 6.6, 8.6, 10.2, 1.2, 1.4, 1.8, 1.0, 1.4, 1.6, 2.6, 3.0, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22.5, 2188, 562, 71717, 2733, 312, 130.4, 4.55, 0.007, 0.007
279959, 600, 3.4, 3.8, 5.6, 2.2, 3.0, 6.0, 6.4, 8.2, 10.8, 1.2, 1.4, 1.8, 1.0, 1.4, 1.6, 2.6, 2.8, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2199, 571, 71748, 2751, 314, 131.4, 4.53, 0.000, 0.000
