Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
315, 600, 16.4, 36.6, 200.0, 13.0, 34.8, 200.0, 18.6, 36.2, 200.0, 5.6, 19.2, 48.4, 2.2, 3.0, 25.0, 5.4, 9.0, 11.2, 0.0, 41, 0, 8, 0, 0, 0, 3, 0, 1, 1, 3, 3, 89.0, 1679, 463, 72441, 2756, 315, 137.0, 10.00, 0.000, 0.000
636, 542, 14.8, 28.8, 117.6, 11.8, 27.2, 116.8, 24.8, 30.4, 42.4, 6.2, 20.2, 45.0, 2.4, 3.6, 21.2, 4.6, 5.6, 6.2, 0.0, 5, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1727, 487, 73199, 2770, 318, 138.8, 8.95, 0.000, 0.000
955, 600, 10.0, 21.2, 66.4, 5.8, 13.8, 29.8, 18.4, 24.6, 30.6, 6.2, 18.4, 107.6, 2.0, 3.2, 18.0, 3.6, 4.2, 5.2, 0.0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0.0, 1798, 509, 73417, 2861, 324, 135.4, 7.83, 0.000, 0.000
1277, 483, 16.6, 24.8, 125.6, 6.8, 12.2, 84.2, 20.2, 23.0, 106.0, 6.2, 20.2, 112.4, 2.2, 3.0, 14.4, 4.8, 6.2, 7.0, 0.0, 1, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0.0, 1760, 523, 73535, 2883, 331, 134.4, 7.60, 0.000, 0.000
1596, 448, 17.8, 22.8, 59.6, 6.4, 11.4, 23.0, 18.0, 22.4, 27.8, 6.2, 25.0, 43.2, 2.2, 3.0, 17.6, 5.6, 6.6, 7.0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1825, 531, 73608, 2907, 334, 137.8, 5.95, 0.000, 0.000
1916, 447, 18.0, 23.0, 30.8, 7.2, 16.0, 27.6, 19.4, 24.0, 29.4, 3.4, 7.6, 26.4, 2.0, 2.8, 19.0, 5.2, 6.6, 7.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1771, 534, 73700, 2924, 336, 138.4, 5.55, 0.000, 0.000
2238, 441, 18.2, 22.6, 116.8, 6.6, 13.2, 112.2, 16.6, 19.4, 24.2, 4.2, 12.0, 39.6, 2.0, 2.8, 18.4, 5.2, 6.4, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1785, 537, 73906, 3010, 338, 137.0, 5.75, 0.000, 0.000
2558, 439, 18.2, 22.8, 83.6, 6.8, 13.4, 81.0, 16.8, 21.2, 49.0, 4.0, 8.0, 78.4, 2.2, 3.2, 6.4, 5.2, 6.4, 7.0, 0.0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 1, 49.0, 1768, 537, 73465, 2818, 318, 139.0, 6.00, 0.000, 0.000
2877, 461, 17.4, 20.2, 86.0, 6.0, 9.2, 85.4, 15.4, 19.2, 81.6, 4.0, 10.2, 43.2, 2.0, 2.8, 15.6, 5.2, 7.0, 7.8, 0.0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1764, 537, 73548, 2846, 321, 133.4, 5.20, 0.000, 0.000
3199, 462, 17.4, 19.8, 38.4, 6.4, 12.4, 20.8, 15.2, 19.6, 22.6, 4.6, 12.6, 30.6, 2.0, 2.8, 10.8, 5.4, 6.6, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1782, 540, 73707, 2886, 326, 134.8, 6.83, 0.000, 0.000
