Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 6.0, 6.2, 18.4, 2.6, 3.2, 5.0, 8.4, 11.4, 167.6, 1.0, 1.2, 3.8, 1.6, 1.8, 2.8, 2.0, 2.0, 2.4, 0.0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3, 32.5, 1685, 577, 36449, 680, 108, 44.2, 2.00, 0.000, 0.000
638, 600, 6.0, 6.2, 18.4, 2.6, 3.0, 7.8, 5.6, 7.0, 18.6, 1.0, 1.2, 3.8, 1.6, 1.8, 5.0, 2.0, 2.2, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1668, 585, 36644, 708, 111, 44.0, 2.05, 0.000, 0.000
958, 600, 6.0, 6.2, 7.0, 2.8, 3.4, 4.4, 7.4, 9.0, 10.2, 1.2, 1.4, 3.8, 1.8, 2.2, 2.4, 2.2, 2.4, 2.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1692, 596, 36741, 727, 111, 45.0, 2.08, 0.000, 0.000
1278, 600, 6.0, 6.2, 18.6, 2.8, 3.6, 7.2, 7.2, 10.4, 15.6, 1.2, 3.4, 4.0, 1.8, 2.0, 3.6, 2.2, 2.6, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1675, 599, 36979, 792, 112, 43.0, 2.23, 0.000, 0.000
1598, 600, 6.0, 6.2, 6.6, 2.6, 3.2, 6.2, 4.6, 7.0, 9.0, 1.0, 1.2, 3.8, 1.6, 2.0, 2.4, 2.2, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1674, 613, 37346, 831, 118, 43.6, 1.98, 0.000, 0.000
1918, 600, 6.0, 6.2, 6.6, 2.8, 3.2, 4.4, 7.6, 10.6, 14.4, 1.2, 1.6, 3.8, 2.0, 3.0, 3.4, 2.4, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14.0, 1684, 640, 36460, 648, 108, 43.8, 2.08, 0.000, 0.000
2238, 600, 6.0, 6.2, 18.4, 2.4, 3.2, 8.2, 5.4, 8.0, 9.2, 1.0, 1.2, 4.8, 1.6, 2.0, 2.4, 2.2, 2.2, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1691, 679, 36682, 727, 112, 44.6, 1.98, 0.000, 0.000
2558, 600, 6.0, 6.2, 18.4, 3.0, 3.6, 4.8, 8.2, 11.4, 16.2, 1.4, 3.4, 3.8, 1.8, 2.6, 3.6, 2.2, 2.8, 3.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1662, 679, 36791, 775, 112, 44.4, 2.10, 0.000, 0.000
2877, 600, 6.0, 6.2, 18.2, 2.6, 3.4, 8.2, 6.0, 8.4, 11.4, 1.2, 3.4, 4.4, 1.6, 2.0, 4.8, 2.2, 2.4, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1744, 789, 37226, 856, 117, 44.8, 1.98, 0.000, 0.000
3199, 600, 6.0, 6.2, 8.0, 3.0, 3.6, 4.8, 6.6, 8.8, 12.6, 1.2, 1.6, 5.2, 2.0, 3.0, 3.6, 2.4, 3.0, 3.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1686, 815, 37741, 894, 122, 43.6, 2.08, 0.000, 0.000
3519, 600, 6.0, 6.2, 18.4, 2.6, 3.2, 4.2, 8.0, 10.4, 12.2, 1.0, 1.2, 3.8, 1.6, 1.8, 2.0, 2.0, 2.2, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1694, 815, 37863, 934, 122, 45.0, 2.25, 0.000, 0.000
3839, 600, 6.0, 6.2, 8.0, 2.8, 3.4, 6.2, 6.0, 8.4, 12.2, 1.2, 1.4, 3.8, 2.2, 3.0, 3.6, 2.4, 3.0, 3.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1706, 823, 37986, 954, 124, 43.8, 2.05, 0.000, 0.000
