Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
12529, 600, 8.2, 9.2, 55.4, 4.4, 5.4, 11.2, 6.4, 13.4, 157.2, 2.4, 3.6, 16.4, 3.0, 4.0, 6.6, 7.2, 7.6, 7.8, 0.0, 13, 0, 8, 6, 1, 0, 4, 0, 5, 5, 12, 10, 108.0, 1231, 629, 37940, 908, 185, 114.8, 3.78, 0.000, 0.000
12849, 600, 8.4, 13.0, 104.0, 5.8, 8.6, 31.0, 19.0, 25.0, 32.6, 2.8, 4.6, 23.6, 3.2, 4.4, 18.4, 7.0, 7.6, 9.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0.0, 1226, 681, 38368, 1111, 189, 115.2, 4.40, 0.000, 0.000
13169, 600, 7.6, 9.0, 36.4, 4.6, 5.6, 17.4, 10.2, 12.0, 15.4, 2.0, 2.6, 5.6, 3.2, 4.4, 6.6, 6.8, 7.2, 7.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 1220, 709, 38515, 1144, 192, 113.8, 2.73, 0.000, 0.000
13489, 600, 8.0, 9.6, 96.4, 5.0, 5.8, 13.4, 11.4, 14.8, 17.8, 2.2, 3.0, 10.4, 3.0, 4.0, 19.8, 7.0, 7.4, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0.0, 1217, 709, 38631, 1196, 195, 112.4, 3.12, 0.000, 0.000
13810, 600, 7.4, 9.2, 25.8, 4.8, 5.8, 24.2, 12.6, 19.0, 24.0, 2.0, 2.6, 8.0, 3.0, 4.0, 8.2, 6.4, 7.2, 7.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39.0, 1169, 678, 37919, 827, 182, 111.0, 3.33, 0.000, 0.000
14130, 600, 8.2, 11.0, 42.2, 5.6, 6.8, 12.2, 19.2, 23.0, 26.4, 2.6, 4.6, 40.8, 3.2, 4.6, 40.0, 7.0, 7.6, 8.6, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1161, 681, 38222, 1045, 182, 113.2, 3.73, 0.000, 0.000
14451, 600, 7.8, 9.4, 63.6, 5.2, 6.6, 15.2, 11.8, 18.4, 21.2, 2.2, 3.4, 14.6, 3.0, 4.6, 12.0, 6.8, 7.6, 8.6, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.0, 1186, 701, 38999, 1201, 188, 112.0, 3.25, 0.000, 0.000
14772, 600, 8.0, 9.8, 24.4, 5.0, 6.2, 15.0, 16.4, 23.8, 29.2, 2.0, 2.8, 15.2, 3.8, 5.4, 8.0, 7.4, 7.6, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1159, 713, 39462, 1416, 191, 112.4, 3.12, 0.000, 0.000
15093, 600, 7.4, 10.4, 37.2, 5.6, 8.2, 18.0, 16.2, 24.2, 27.4, 2.0, 3.6, 18.4, 2.8, 4.4, 7.0, 6.2, 7.2, 7.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1168, 735, 40037, 1623, 194, 112.2, 3.25, 0.000, 0.000
15413, 600, 8.0, 9.0, 43.2, 4.8, 5.8, 14.2, 10.6, 14.4, 16.8, 2.4, 3.4, 43.4, 3.4, 4.4, 8.2, 7.0, 7.4, 8.4, 0.0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1192, 737, 40191, 1693, 194, 113.4, 3.03, 0.000, 0.000
