Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
317, 600, 15.0, 17.6, 200.0, 7.6, 11.8, 200.0, 15.8, 21.6, 177.8, 3.0, 4.8, 8.8, 10.8, 13.4, 15.4, 11.8, 14.0, 15.0, 0.0, 6, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 2, 56.5, 2300, 572, 74664, 2936, 328, 135.4, 4.97, 0.000, 0.000
638, 563, 14.2, 17.4, 31.8, 6.8, 9.4, 30.4, 13.0, 17.6, 21.4, 2.8, 4.0, 6.4, 10.8, 13.2, 14.8, 11.4, 14.0, 15.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53.0, 2297, 543, 74278, 2945, 329, 132.0, 3.90, 0.000, 0.000
958, 600, 12.8, 15.6, 41.4, 7.0, 9.4, 16.4, 13.2, 18.6, 23.6, 3.0, 4.2, 6.4, 9.2, 11.6, 14.2, 10.2, 12.6, 14.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2312, 551, 74580, 3091, 336, 128.8, 4.53, 0.000, 0.000
1278, 600, 12.4, 14.4, 38.4, 7.6, 10.4, 18.0, 13.4, 18.4, 24.6, 3.2, 4.8, 8.6, 8.8, 10.8, 12.0, 10.0, 11.6, 12.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2317, 555, 74924, 3182, 341, 127.0, 4.90, 0.000, 0.000
1597, 567, 14.2, 16.6, 50.0, 7.2, 10.2, 15.4, 11.4, 14.6, 17.8, 3.4, 5.2, 9.6, 10.0, 12.4, 18.2, 11.4, 13.0, 14.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2326, 578, 75212, 3274, 349, 127.4, 4.25, 0.000, 0.000
1917, 594, 13.4, 16.4, 43.8, 8.0, 10.6, 15.6, 12.6, 16.0, 19.6, 3.6, 5.4, 10.4, 9.2, 12.4, 14.2, 10.8, 12.8, 14.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2340, 580, 75434, 3370, 355, 129.2, 4.40, 0.000, 0.000
2238, 600, 12.6, 15.0, 37.2, 8.0, 11.0, 21.0, 13.8, 18.4, 22.4, 3.2, 5.0, 11.2, 9.0, 11.2, 14.4, 10.2, 12.0, 14.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2342, 591, 75724, 3516, 360, 127.8, 4.53, 0.000, 0.000
2559, 600, 13.0, 16.2, 49.2, 7.8, 10.6, 14.4, 12.6, 16.2, 21.0, 3.4, 5.2, 9.6, 9.2, 12.2, 13.8, 10.6, 13.0, 13.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2349, 591, 75880, 3598, 363, 127.6, 4.93, 0.000, 0.000
2879, 591, 13.6, 17.4, 19.0, 8.2, 11.2, 18.6, 11.6, 16.4, 28.4, 3.8, 6.6, 14.0, 9.6, 13.4, 15.2, 11.0, 14.4, 15.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2360, 598, 76156, 3679, 369, 128.0, 4.45, 0.000, 0.000
3199, 518, 15.4, 17.6, 105.4, 8.8, 12.8, 34.2, 12.8, 18.0, 25.2, 4.2, 6.4, 14.2, 10.6, 13.4, 14.8, 12.2, 14.0, 15.4, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 163.5, 2343, 590, 74711, 3098, 332, 129.0, 3.88, 0.000, 0.000
3519, 540, 14.8, 17.4, 45.8, 7.6, 10.2, 18.0, 11.4, 15.0, 21.6, 3.6, 5.2, 7.8, 10.8, 14.0, 15.0, 12.0, 14.2, 15.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2343, 592, 74899, 3153, 336, 128.8, 3.42, 0.000, 0.000
3840, 573, 14.0, 16.2, 52.6, 7.6, 10.0, 14.8, 11.0, 14.0, 22.0, 3.6, 5.2, 8.2, 10.0, 12.4, 14.2, 11.2, 13.0, 14.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2343, 595, 75086, 3266, 339, 128.2, 4.25, 0.000, 0.000
4160, 600, 12.6, 15.4, 41.6, 7.4, 10.0, 17.8, 10.4, 14.0, 21.0, 3.2, 4.6, 7.4, 9.0, 12.6, 14.0, 10.2, 12.4, 14.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2355, 599, 75319, 3356, 343, 127.2, 4.90, 0.000, 0.000
4480, 572, 14.0, 16.8, 49.8, 6.8, 8.8, 27.6, 8.6, 11.4, 15.4, 3.2, 4.4, 10.0, 10.6, 14.0, 15.0, 11.4, 14.0, 15.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2346, 624, 75795, 3414, 354, 129.6, 4.00, 0.000, 0.000
4800, 588, 13.6, 15.2, 18.4, 6.8, 8.8, 14.6, 8.8, 11.4, 14.0, 3.2, 4.4, 6.2, 10.4, 12.2, 13.6, 11.0, 12.2, 13.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2345, 627, 75908, 3438, 357, 128.6, 4.47, 0.000, 0.000
5120, 600, 11.4, 13.6, 47.6, 6.8, 9.2, 14.0, 9.2, 12.0, 16.2, 2.8, 4.0, 8.0, 8.0, 9.8, 14.0, 9.2, 10.6, 12.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2354, 627, 76091, 3524, 360, 127.6, 5.12, 0.000, 0.000
5442, 600, 13.2, 16.4, 33.8, 6.6, 9.4, 32.8, 8.8, 12.0, 34.8, 3.0, 5.0, 10.2, 9.6, 12.6, 14.0, 10.8, 13.2, 14.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 176.0, 2331, 599, 74641, 2989, 326, 129.0, 4.50, 0.000, 0.000
5762, 600, 12.6, 14.8, 40.4, 6.8, 9.0, 11.4, 9.2, 11.2, 14.2, 2.8, 4.0, 5.8, 9.0, 11.4, 12.8, 10.0, 11.6, 12.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2338, 599, 74775, 3062, 329, 128.8, 5.25, 0.000, 0.000
6083, 600, 12.8, 14.6, 40.0, 6.8, 9.2, 14.0, 10.0, 12.6, 21.6, 3.0, 4.4, 8.8, 9.4, 11.6, 12.6, 10.4, 11.8, 13.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2338, 599, 74886, 3104, 334, 128.0, 4.93, 0.000, 0.000
6403, 543, 14.8, 16.6, 47.6, 7.6, 10.0, 13.0, 10.4, 13.6, 22.4, 3.4, 4.8, 14.4, 10.6, 13.2, 15.6, 11.8, 13.4, 14.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2341, 599, 75073, 3195, 338, 129.2, 4.40, 0.000, 0.000
6723, 543, 14.8, 16.2, 48.0, 7.2, 10.2, 24.4, 9.0, 12.6, 23.4, 3.6, 6.0, 11.0, 10.0, 12.6, 14.0, 12.0, 13.2, 14.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2352, 602, 75311, 3263, 345, 130.6, 3.92, 0.000, 0.000
