Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
42813, 600, 4.2, 4.2, 4.2, 2.0, 2.4, 3.6, 5.2, 9.2, 139.2, 1.0, 1.2, 1.4, 0.8, 1.0, 1.2, 1.8, 2.2, 3.6, 0.0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3, 94.5, 1767, 484, 37282, 716, 109, 90.2, 1.50, 0.000, 0.000
43133, 600, 4.2, 4.2, 4.2, 2.0, 2.6, 3.2, 6.8, 10.2, 18.6, 1.0, 1.2, 1.6, 0.8, 1.0, 1.6, 2.0, 3.0, 3.8, 0.0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0.0, 1846, 544, 38014, 795, 112, 83.0, 1.50, 0.000, 0.000
43453, 600, 4.2, 4.2, 6.0, 2.2, 2.6, 4.4, 6.2, 8.0, 9.0, 1.0, 1.2, 1.4, 0.8, 1.0, 1.4, 1.8, 2.4, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1810, 617, 38305, 847, 112, 90.8, 1.27, 0.000, 0.000
43773, 600, 4.2, 4.2, 5.6, 2.0, 2.6, 5.0, 4.0, 5.6, 6.6, 1.0, 1.0, 1.4, 0.8, 1.0, 1.2, 1.8, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1791, 629, 38527, 914, 112, 87.0, 1.30, 0.000, 0.000
44093, 600, 4.2, 4.2, 6.2, 2.4, 3.0, 5.6, 4.8, 6.2, 7.2, 1.0, 1.2, 1.8, 0.8, 1.0, 2.2, 2.0, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1812, 666, 38743, 984, 113, 86.6, 1.27, 0.000, 0.000
44414, 600, 4.2, 4.2, 4.4, 1.8, 2.4, 3.6, 3.8, 4.6, 5.2, 1.0, 1.2, 1.4, 0.8, 1.0, 1.8, 2.0, 2.2, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1789, 666, 38755, 986, 113, 87.6, 1.08, 0.000, 0.000
44734, 600, 4.2, 4.2, 4.2, 1.8, 2.4, 3.0, 4.0, 5.6, 6.8, 1.0, 1.2, 1.4, 0.8, 1.0, 1.4, 1.8, 2.2, 2.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1778, 670, 38939, 1005, 116, 87.0, 1.10, 0.000, 0.000
45054, 600, 4.2, 4.2, 4.4, 1.4, 1.8, 2.6, 1.2, 4.0, 5.4, 0.8, 1.0, 1.2, 0.6, 0.8, 1.0, 1.8, 2.2, 3.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10.5, 1750, 679, 38091, 665, 105, 89.6, 1.12, 0.000, 0.000
45374, 600, 4.2, 4.2, 4.4, 1.4, 1.8, 2.4, 0.6, 0.8, 1.0, 0.6, 0.8, 1.6, 0.6, 0.8, 1.0, 1.6, 2.0, 3.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1750, 679, 38112, 665, 105, 91.0, 0.82, 0.000, 0.000
45694, 600, 4.2, 4.2, 4.4, 1.2, 1.6, 2.0, 0.6, 0.8, 1.0, 0.6, 0.8, 1.6, 0.6, 0.8, 1.0, 1.8, 2.6, 2.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1750, 679, 38122, 665, 105, 87.2, 0.68, 0.000, 0.000
46014, 600, 4.2, 4.2, 47.8, 1.8, 3.0, 35.2, 1.8, 9.4, 54.8, 0.8, 1.2, 9.0, 0.8, 1.2, 1.8, 1.8, 3.0, 3.2, 0.0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1776, 689, 39668, 883, 122, 86.4, 1.25, 0.000, 0.000
46334, 600, 4.2, 4.2, 6.0, 3.0, 3.8, 5.2, 11.6, 14.0, 15.6, 1.2, 1.4, 1.6, 1.0, 1.2, 1.4, 2.0, 3.0, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1802, 720, 39806, 912, 122, 90.6, 1.52, 0.000, 0.000
46655, 600, 4.2, 4.2, 6.4, 3.2, 4.0, 6.2, 11.6, 14.4, 15.4, 1.2, 1.4, 3.8, 1.2, 1.4, 4.0, 2.2, 3.2, 4.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1809, 725, 40192, 1056, 124, 90.8, 1.65, 0.000, 0.000
46975, 600, 4.2, 4.2, 5.8, 2.8, 4.0, 5.8, 10.2, 12.2, 15.8, 1.0, 1.4, 2.0, 1.0, 1.4, 2.2, 2.2, 3.2, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1811, 734, 40454, 1137, 134, 91.2, 1.62, 0.000, 0.000
47295, 600, 4.2, 4.2, 7.8, 2.6, 3.2, 6.8, 10.0, 12.4, 16.2, 1.0, 1.2, 1.8, 1.0, 1.2, 1.8, 2.2, 3.0, 4.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24.5, 1767, 705, 38590, 836, 120, 87.8, 1.30, 0.000, 0.000
47615, 600, 4.2, 4.2, 7.0, 3.0, 4.0, 6.0, 10.4, 12.6, 15.4, 1.0, 1.2, 1.6, 1.0, 1.2, 3.0, 2.0, 3.0, 5.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1786, 708, 38927, 917, 125, 89.0, 1.52, 0.000, 0.000
