Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
12628, 600, 5.8, 7.2, 19.0, 3.4, 4.6, 6.4, 9.4, 13.0, 93.6, 1.4, 1.6, 2.2, 1.0, 1.8, 2.2, 4.6, 5.4, 6.6, 0.0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 2, 23.5, 1705, 556, 75820, 3052, 330, 124.6, 48.33, 0.000, 0.000
12949, 600, 5.0, 5.8, 7.8, 2.6, 3.0, 6.6, 7.4, 9.2, 11.4, 1.0, 1.2, 1.6, 0.8, 1.0, 1.6, 4.0, 4.4, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1714, 569, 76179, 3184, 342, 124.8, 1.68, 0.000, 0.000
13269, 600, 6.2, 8.0, 20.2, 3.4, 4.4, 14.8, 9.6, 11.0, 11.6, 1.4, 1.8, 2.4, 1.4, 2.2, 2.6, 5.0, 6.2, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28.5, 1708, 560, 75041, 3032, 334, 125.6, 2.00, 0.000, 0.000
13589, 600, 5.2, 6.4, 16.8, 3.4, 4.4, 12.4, 8.8, 10.8, 12.2, 1.4, 1.6, 2.2, 1.0, 1.4, 2.0, 4.2, 4.6, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1712, 560, 75302, 3114, 338, 125.6, 2.42, 0.000, 0.000
13909, 600, 5.4, 6.6, 17.2, 3.0, 3.8, 8.8, 6.4, 8.0, 10.0, 1.4, 1.6, 3.0, 1.0, 1.4, 1.6, 4.2, 5.0, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1720, 575, 75763, 3188, 346, 124.6, 2.12, 0.000, 0.000
14229, 600, 5.6, 6.8, 8.4, 3.0, 3.6, 4.8, 8.0, 9.6, 10.6, 1.4, 1.6, 2.0, 1.4, 2.0, 2.6, 4.4, 5.4, 6.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1718, 579, 75999, 3244, 353, 125.4, 2.05, 0.000, 0.000
14550, 600, 5.8, 7.0, 9.0, 3.0, 3.8, 8.0, 7.4, 9.8, 11.2, 1.4, 1.6, 2.8, 1.0, 1.2, 1.6, 4.8, 5.0, 5.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1724, 583, 76305, 3316, 361, 127.6, 65.03, 0.000, 0.000
14871, 600, 5.4, 6.4, 15.6, 3.2, 3.8, 9.8, 8.8, 11.2, 12.8, 1.4, 1.6, 2.0, 1.0, 1.4, 1.6, 4.2, 4.8, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1731, 583, 76509, 3371, 364, 123.4, 2.08, 0.000, 0.000
15191, 600, 4.8, 5.8, 14.2, 2.4, 3.0, 4.8, 8.0, 10.4, 12.0, 1.0, 1.2, 2.2, 1.0, 1.6, 2.0, 3.8, 4.6, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1740, 584, 76656, 3428, 367, 123.8, 1.65, 0.000, 0.000
15510, 600, 4.8, 6.2, 14.6, 3.0, 3.6, 7.6, 7.2, 9.2, 10.2, 1.2, 1.4, 2.0, 1.0, 1.2, 1.8, 3.8, 4.8, 5.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1744, 588, 76855, 3483, 374, 125.2, 1.90, 0.000, 0.000
