Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
318, 600, 5.2, 6.8, 11.6, 4.8, 6.4, 11.6, 18.4, 26.0, 198.4, 2.0, 2.6, 4.0, 1.8, 2.8, 7.6, 4.6, 5.6, 6.8, 0.0, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 3, 49.5, 1363, 553, 38302, 884, 193, 127.2, 2.03, 0.000, 0.000
638, 600, 5.2, 6.6, 21.4, 4.6, 6.0, 19.8, 13.8, 21.6, 23.2, 1.8, 2.2, 16.4, 1.8, 2.0, 17.6, 4.2, 5.0, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14.5, 1363, 534, 38320, 913, 192, 125.4, 2.17, 0.000, 0.000
959, 600, 5.4, 6.8, 27.2, 5.0, 6.2, 9.2, 16.2, 20.4, 26.4, 2.0, 2.4, 12.4, 1.8, 2.2, 7.8, 4.6, 5.2, 7.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1401, 580, 38582, 1001, 194, 125.6, 2.38, 0.000, 0.000
1279, 600, 5.2, 6.4, 11.8, 4.6, 6.0, 11.0, 13.2, 16.4, 19.0, 1.8, 2.0, 3.4, 1.6, 2.0, 3.4, 4.2, 4.6, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1395, 583, 38734, 1039, 196, 126.4, 2.08, 0.000, 0.000
1598, 600, 5.4, 7.0, 20.8, 5.0, 6.2, 18.8, 13.8, 16.8, 19.0, 2.0, 2.6, 15.4, 1.8, 2.2, 9.6, 4.4, 4.8, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1366, 588, 39160, 1175, 204, 125.2, 2.25, 0.000, 0.000
1920, 600, 5.8, 7.6, 17.2, 5.4, 7.2, 13.8, 14.8, 17.0, 20.6, 2.0, 2.6, 4.6, 1.8, 2.4, 3.0, 4.4, 5.2, 8.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1374, 596, 39522, 1253, 207, 125.8, 2.28, 0.000, 0.000
2239, 600, 5.6, 7.0, 14.4, 5.2, 6.4, 13.4, 13.0, 15.6, 19.6, 2.0, 2.4, 4.4, 1.8, 2.2, 11.4, 4.6, 5.2, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1405, 623, 39948, 1302, 211, 125.6, 2.17, 0.000, 0.000
2559, 600, 5.8, 7.6, 13.2, 5.4, 6.8, 9.8, 14.6, 17.6, 21.8, 2.0, 2.4, 3.6, 1.8, 2.2, 2.8, 4.4, 4.8, 6.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1432, 661, 40401, 1474, 213, 126.0, 2.05, 0.000, 0.000
2879, 600, 5.6, 7.2, 15.0, 5.0, 6.6, 11.0, 14.8, 17.8, 23.0, 2.0, 2.6, 3.8, 1.8, 2.2, 3.2, 4.4, 5.4, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 67.5, 1360, 643, 38200, 821, 187, 132.0, 2.12, 0.000, 0.000
3200, 600, 5.6, 7.0, 9.0, 5.2, 6.4, 8.0, 13.8, 18.0, 20.2, 1.8, 2.4, 3.8, 1.8, 2.2, 8.4, 4.6, 5.4, 13.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1355, 644, 38421, 926, 192, 125.6, 2.30, 0.000, 0.000
3520, 600, 5.8, 7.4, 10.4, 5.2, 6.8, 9.4, 15.0, 18.4, 22.6, 1.8, 2.4, 3.6, 1.8, 2.2, 2.8, 4.6, 5.4, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1366, 652, 38748, 1021, 197, 125.8, 2.53, 0.000, 0.000
3839, 600, 5.4, 6.8, 11.6, 4.8, 6.0, 10.6, 13.8, 16.6, 18.8, 1.8, 2.2, 3.6, 1.6, 2.0, 3.6, 4.4, 5.2, 7.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1366, 653, 38991, 1125, 200, 125.2, 1.98, 0.000, 0.000
4159, 600, 5.6, 7.0, 15.2, 5.2, 6.4, 10.4, 15.6, 19.4, 25.8, 1.8, 2.2, 11.8, 1.8, 2.2, 3.6, 4.4, 5.0, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1376, 657, 39280, 1230, 203, 127.2, 2.55, 0.000, 0.000
4479, 600, 5.6, 7.0, 15.8, 5.0, 6.4, 15.4, 16.8, 20.6, 23.8, 2.0, 2.6, 3.8, 1.8, 2.2, 12.4, 4.4, 5.2, 6.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1388, 668, 39856, 1374, 210, 127.0, 2.30, 0.000, 0.000
4800, 600, 5.8, 7.2, 18.0, 5.4, 6.6, 18.8, 18.4, 22.4, 27.4, 2.0, 2.6, 8.4, 1.8, 2.2, 15.6, 4.6, 5.4, 7.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1390, 669, 40074, 1435, 212, 125.2, 2.75, 0.000, 0.000
5120, 600, 5.6, 7.0, 10.6, 5.2, 6.4, 9.0, 16.6, 20.0, 21.6, 1.8, 2.2, 3.0, 1.8, 2.0, 2.8, 4.2, 4.8, 6.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1393, 669, 40268, 1510, 214, 125.4, 2.25, 0.000, 0.000
5441, 600, 5.6, 7.4, 23.2, 5.0, 6.6, 22.6, 13.2, 16.6, 25.6, 1.8, 2.4, 4.2, 1.6, 2.0, 3.0, 4.4, 5.0, 6.4, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53.0, 1362, 657, 38898, 900, 189, 125.8, 2.50, 0.000, 0.000
5760, 600, 5.0, 6.2, 7.8, 4.4, 5.4, 7.0, 14.0, 17.6, 22.2, 1.6, 2.0, 3.4, 1.6, 1.8, 3.0, 4.0, 4.8, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1363, 660, 39086, 944, 191, 126.6, 2.00, 0.000, 0.000
6080, 600, 4.8, 5.8, 11.4, 4.2, 5.4, 10.6, 15.0, 18.4, 20.6, 1.8, 2.4, 4.2, 1.6, 2.0, 3.0, 4.2, 5.0, 6.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1367, 665, 39377, 1064, 194, 125.2, 2.05, 0.000, 0.000
