Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
384, 600, 5.6, 6.0, 7.0, 2.4, 2.8, 3.6, 8.4, 11.0, 200.0, 1.6, 2.0, 2.8, 1.8, 2.2, 4.6, 1.6, 1.8, 2.0, 0.0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 6, 98.0, 1452, 414, 34850, 573, 169, 59.8, 1.95, 0.000, 0.000
704, 600, 5.6, 6.0, 6.4, 2.2, 2.8, 3.8, 8.0, 12.2, 18.2, 1.6, 2.2, 3.8, 1.8, 2.2, 2.8, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1482, 539, 34914, 617, 169, 66.6, 2.05, 0.000, 0.000
1024, 600, 5.6, 6.0, 16.8, 2.4, 3.2, 6.4, 8.2, 12.6, 17.2, 1.6, 2.6, 3.8, 1.8, 2.2, 3.0, 1.6, 1.8, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1517, 629, 35178, 702, 170, 64.2, 2.65, 0.000, 0.000
1344, 600, 5.6, 5.8, 7.0, 2.2, 2.6, 3.6, 7.2, 9.4, 11.0, 1.4, 2.0, 3.4, 1.6, 2.2, 2.6, 1.6, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1432, 634, 35248, 717, 172, 60.6, 2.00, 0.000, 0.000
1664, 600, 5.6, 5.8, 6.2, 2.2, 2.8, 3.8, 8.2, 10.6, 13.2, 1.6, 2.0, 3.2, 1.8, 2.2, 2.6, 1.6, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1430, 636, 35286, 726, 172, 62.4, 1.70, 0.000, 0.000
1984, 600, 5.6, 6.0, 6.2, 2.4, 2.8, 3.8, 7.8, 9.8, 12.0, 1.6, 2.2, 3.4, 1.8, 2.2, 2.6, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1434, 640, 35360, 744, 172, 63.8, 1.70, 0.000, 0.000
2304, 600, 5.6, 5.8, 6.4, 2.2, 2.8, 4.6, 8.0, 10.0, 12.8, 1.6, 2.0, 3.8, 1.6, 2.2, 2.8, 1.6, 1.8, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12.5, 1424, 613, 34659, 577, 169, 58.6, 1.70, 0.000, 0.000
2625, 600, 5.6, 6.0, 16.4, 2.4, 2.8, 6.2, 9.0, 11.8, 13.2, 1.6, 2.2, 3.8, 1.8, 2.2, 2.8, 1.6, 2.0, 2.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1426, 613, 34706, 596, 169, 62.0, 2.35, 0.000, 0.000
2946, 600, 5.6, 6.0, 11.8, 2.2, 2.8, 10.0, 7.4, 12.2, 15.6, 1.6, 2.2, 4.8, 1.8, 2.2, 2.6, 1.6, 1.8, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1429, 618, 34922, 651, 172, 62.0, 1.93, 0.000, 0.000
3265, 600, 5.6, 6.0, 16.6, 2.6, 3.2, 6.2, 10.6, 17.6, 21.0, 1.6, 2.4, 3.4, 1.8, 2.2, 2.6, 1.6, 1.8, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1438, 658, 35073, 733, 172, 65.4, 2.25, 0.000, 0.000
3585, 600, 5.6, 6.0, 16.8, 2.4, 3.0, 6.4, 9.2, 14.8, 18.2, 1.6, 2.2, 3.2, 1.6, 2.2, 3.0, 1.6, 1.8, 2.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1436, 659, 35178, 801, 172, 63.0, 2.17, 0.000, 0.000
