Stamp, NumFrameSamples, Frame Avg, Frame Q95, Frame Max, GT Avg, GT Q95, GT Max, NTT Avg, NTT Q95, NTT Max, RT Avg, RT Q95, RT Max, RHIT Avg, RHIT Q95, RHIT Max, GPU Avg, GPU Q95, GPU Max, GameDriverTickFlush, GT Bound, NTT Bound, RT Bound, RHIT Bound, GPU Bound, Unknown Hitches, GT Hitches, NTT Hitches, RT Hitches, RHIT Hitches, GPU Hitches, Num GCs, Acc GC Time, RAM MB, VRAM MB, Objects, Components, Actors, Packet Latency, Packet Jitter, In Packet Loss, Out Packet Loss
4531, 600, 4.2, 5.6, 13.2, 4.0, 5.2, 9.8, 12.2, 17.6, 100.4, 1.4, 1.8, 3.8, 1.2, 1.4, 3.2, 2.6, 4.0, 4.6, 0.0, 4, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1, 2, 25.5, 1986, 583, 38624, 892, 191, 122.8, 2.95, 0.000, 0.000
4850, 600, 4.0, 5.2, 9.4, 3.8, 5.0, 8.6, 12.0, 14.4, 18.8, 1.2, 1.6, 3.2, 1.2, 1.4, 2.2, 2.6, 3.8, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8.0, 1972, 561, 38206, 873, 187, 122.0, 3.08, 0.000, 0.000
5170, 600, 4.4, 5.8, 9.6, 4.0, 5.4, 9.2, 11.2, 15.0, 17.6, 1.4, 1.8, 2.6, 1.2, 1.4, 2.4, 2.6, 3.8, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1980, 561, 38391, 1005, 187, 123.0, 3.42, 0.000, 0.000
5491, 600, 4.4, 5.4, 13.6, 4.0, 5.2, 12.4, 8.2, 11.4, 14.6, 1.4, 1.8, 4.6, 1.2, 1.6, 3.0, 2.6, 3.8, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1987, 579, 38723, 1128, 192, 120.4, 3.00, 0.000, 0.000
5812, 600, 4.6, 5.8, 10.8, 4.0, 5.2, 10.2, 12.8, 20.6, 24.0, 1.6, 2.2, 4.2, 1.8, 3.2, 5.2, 2.8, 4.4, 5.2, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2096, 692, 38960, 1178, 199, 122.6, 3.95, 0.000, 0.000
6131, 600, 4.8, 6.2, 10.0, 4.6, 5.6, 10.0, 12.6, 16.8, 20.6, 1.6, 2.0, 4.8, 1.6, 2.8, 5.2, 2.8, 4.2, 5.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2025, 689, 39339, 1265, 202, 123.4, 3.78, 0.000, 0.000
6452, 600, 4.0, 5.2, 12.2, 3.8, 4.6, 8.2, 8.8, 13.0, 15.6, 1.4, 1.6, 3.6, 1.2, 1.4, 3.2, 2.6, 4.0, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2025, 691, 39487, 1326, 205, 122.8, 2.55, 0.000, 0.000
6772, 600, 4.8, 6.4, 10.8, 4.6, 5.8, 9.6, 12.2, 16.8, 20.6, 1.4, 1.8, 3.2, 1.0, 1.4, 2.4, 2.4, 3.6, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2034, 716, 40043, 1368, 209, 122.2, 4.15, 0.000, 0.000
7091, 600, 4.2, 5.6, 10.8, 3.8, 5.0, 9.6, 10.0, 13.6, 17.2, 1.2, 1.6, 2.6, 1.0, 1.4, 2.2, 2.4, 3.4, 4.6, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29.5, 1997, 667, 38427, 844, 185, 122.0, 2.85, 0.000, 0.000
7412, 600, 4.4, 5.8, 8.4, 4.2, 5.4, 9.0, 10.4, 13.0, 16.6, 1.4, 1.8, 5.0, 1.2, 1.6, 2.6, 2.8, 4.0, 4.8, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 2002, 671, 38581, 876, 186, 122.6, 2.88, 0.000, 0.000
