Stamp, PlayerId, Health, Location.X, Location.Y, Location.Z, Rotation.Pitch, Rotation.Yaw, Rotation.Roll, Velocity.X, Velocity.Y, Velocity.Z
20, 0, 10, -3665, -961, 502, 0, 0, 0, 0, -0, 0
20, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
40, 0, 10, -3665, -961, 502, 0, 0, 0, 0, -0, 0
40, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
60, 0, 10, -3665, -961, 502, 0, 0, 0, 0, -0, 0
60, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
80, 0, 10, -3665, -961, 502, 0, 0, 0, 0, -0, 0
80, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
100, 0, 10, -3665, -961, 502, 0, 0, 0, 0, -0, 0
100, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
120, 0, 10, -3665, -961, 502, 0, 0, 0, 0, -0, 0
120, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
140, 0, 10, -3665, -961, 502, 0, 0, 0, 0, -0, 0
140, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
160, 0, 10, -3665, -961, 502, 0, 0, 0, 0, -0, 0
160, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
180, 0, 10, -3665, -961, 502, 0, 0, 0, 0, -0, 0
180, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
200, 0, 10, -3665, -961, 502, 2, 5, 0, 0, -0, 0
200, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
220, 0, 10, -3570, -946, 532, 82, 4, -0, 229, 133, 145
220, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
240, 0, 10, -3519, -773, 565, 53, 12, 0, -53, 438, -68
240, 1, 10, 3725, -1400, 507, 0, -180, -0, 0, -0, 0
260, 0, 10, -3571, -438, 534, 53, 33, -0, -130, 738, -47
260, 1, 10, 3725, -1400, 507, 24, -108, -0, 0, -0, 0
280, 0, 10, -3653, -203, 524, 45, 25, -0, -186, 423, -8
280, 1, 10, 3690, -1401, 529, 32, -179, 0, -250, -7, 158
300, 0, 10, -3709, 25, 565, 45, 25, -0, -27, 558, 204
300, 1, 10, 3509, -1419, 648, 37, -155, -0, -338, -144, 257
320, 0, 10, -3627, 384, 792, 36, 21, 0, 360, 759, 650
320, 1, 10, 3389, -1566, 769, 17, -144, -0, -159, -378, 209
340, 0, 10, -3346, 732, 1172, 25, -1, -0, 736, 615, 822
340, 1, 10, 3308, -1772, 811, -6, -155, 0, -255, -378, -14
360, 0, 10, -2892, 946, 1598, 19, -21, 0, 1042, 196, 859
360, 1, 10, 3146, -1933, 815, 7, -156, -0, -379, -261, 31
380, 0, 10, -2252, 934, 2056, 18, -24, 0, 1189, -51, 829
380, 1, 10, 2922, -2057, 840, 8, -156, 0, -510, -249, 66
400, 0, 10, -1740, 912, 2413, 18, -24, 0, 996, -43, 695
400, 1, 10, 2753, -2228, 887, 35, -160, 0, -541, -22, -1
420, 0, 10, -1245, 891, 2758, 18, -24, 0, 984, -42, 686
420, 1, 10, 2363, -2231, 1057, 23, 175, -0, -843, 0, 359
440, 0, 10, -757, 870, 3099, 18, -24, 0, 971, -42, 677
440, 1, 10, 1951, -2232, 1218, 6, -177, -0, -741, -6, 247
460, 0, 10, -274, 849, 3436, 18, -24, 0, 959, -41, 669
460, 1, 10, 1606, -2250, 1308, 5, 175, 0, -686, -26, 140
480, 0, 10, 202, 829, 3768, 18, -24, 0, 947, -41, 660
480, 1, 10, 1276, -2305, 1358, -1, 155, -0, -635, -185, 63
500, 0, 10, 672, 809, 4096, 18, -24, 0, 934, -40, 652
500, 1, 10, 959, -2387, 1368, -12, 138, -0, -633, -128, -19
520, 0, 9, 1136, 789, 4419, 18, -24, 0, 922, -40, 643
520, 1, 10, 645, -2429, 1346, -7, 135, 0, -625, -50, -55
540, 0, 9, 1594, 769, 4738, 18, -24, 0, 910, -39, 634
540, 1, 10, 336, -2446, 1318, -7, 146, 0, -611, 21, -60
560, 0, 8, 2046, 750, 5052, -78, -94, 0, 913, -41, 590
560, 1, 10, 91, -2430, 1330, 16, 139, 0, 154, -0, 526
580, 0, 8, 2220, 646, 4855, -74, -107, 0, -121, -320, -1069
580, 1, 10, 58, -2226, 1438, 22, 113, -0, -226, 716, 493
600, 0, 7, 2168, 501, 4358, -74, -107, 0, -94, -271, -949
600, 1, 10, -63, -2004, 1505, -84, -112, -0, -21, 192, -703
620, 0, 7, 2090, 337, 3908, -43, -132, -0, -235, -388, -841
620, 1, 10, -46, -1916, 1557, -58, -149, -0, 145, 338, 843
640, 0, 7, 1950, 117, 3532, -34, -135, -0, -222, -431, -591
640, 1, 10, 43, -1704, 1910, -19, 159, -0, 305, 460, 590
660, 0, 7, 1889, -2, 3369, -29, -138, -0, -55, -108, -147
660, 1, 10, 258, -1482, 2126, -18, 60, 0, 503, 437, 276
680, 0, 7, 1876, -26, 3336, -29, -137, -0, -8, -15, -21
680, 1, 10, 506, -1259, 2201, 31, 40, 0, 390, 517, 125
700, 0, 7, 2204, 285, 3590, -36, -136, -0, 502, 444, 359
700, 1, 10, 614, -981, 2278, 32, 34, 0, 23, 574, 115
720, 0, 7, 2409, 318, 3635, -64, -89, -0, 698, -32, -19
720, 1, 10, 692, -790, 2349, 29, 29, 0, 350, 197, 189
740, 0, 3, 2728, 288, 3590, -68, -99, -0, 521, -107, -238
740, 1, 10, 894, -772, 2446, 29, 23, -0, 398, -8, 191
760, 0, 3, 2873, 210, 3401, -67, -129, 0, 115, -173, -422
760, 1, 10, 1056, -664, 2544, 24, 26, -0, 290, 281, 185
780, 0, 3, 2953, 90, 3226, -61, -108, 0, 258, -263, -259
780, 1, 10, 1255, -621, 2629, 13, 25, -0, 440, -43, 131
800, 0, 3, 3166, -97, 3032, -55, -123, 0, 550, -524, -567
800, 1, 10, 1456, -568, 2685, 12, 15, -0, 350, 281, 98
820, 0, 3, 3411, -385, 2715, -47, -135, 0, 508, -611, -558
820, 1, 10, 1556, -403, 2715, -7, -7, -0, 112, 60, 20
840, 0, 3, 3654, -728, 2517, -3, -174, -0, 403, -758, -277
840, 1, 10, 1542, -531, 2718, -16, -11, -0, -80, -454, 4
860, 0, 3, 3780, -1130, 2421, 7, 171, 0, 126, -825, -130
860, 1, 10, 1560, -747, 2704, -10, -11, -0, 243, -364, -73
880, 0, 3, 3828, -1584, 2406, -15, -176, 0, 25, -896, -21
880, 1, 10, 1878, -884, 2639, -11, -17, 0, 847, -260, -167
900, 0, 3, 3741, -1988, 2374, -11, 163, -0, -335, -721, -85
900, 1, 10, 2291, -1036, 2555, -11, -35, 0, 760, -348, -160
920, 0, 3, 3648, -2187, 2351, 2, 139, -0, -82, -177, -21
920, 1, 10, 2590, -1225, 2484, -12, -57, -0, 506, -436, -140
940, 0, 3, 3630, -2225, 2346, 4, 135, -0, -11, -24, -3
940, 1, 10, 2814, -1465, 2416, -7, -49, -0, 426, -493, -122
960, 0, 3, 3370, -2563, 2346, -1, 136, 0, -631, -799, 0
960, 1, 10, 3027, -1708, 2365, -6, -56, -0, 420, -485, -82
980, 0, 3, 3056, -2863, 2339, -20, 176, 0, -667, -456, -57
980, 1, 10, 3161, -1976, 2329, -2, -114, 0, 89, -568, -58
1000, 0, 3, 2707, -2977, 2274, -21, 148, -0, -690, -20, -180
1000, 1, 10, 3116, -2243, 2310, -2, -130, 0, -205, -488, -30
1020, 0, 3, 2369, -2937, 2171, -24, 160, 0, -692, 131, -232
1020, 1, 10, 2970, -2439, 2295, -8, -138, 0, -390, -238, -34
1040, 0, 3, 2006, -2848, 2038, -24, 162, 0, -745, 208, -285
1040, 1, 10, 2750, -2470, 2264, -16, -157, 0, -450, 58, -80
1060, 0, 3, 1634, -2763, 1896, -27, 156, 0, -741, 75, -282
1060, 1, 10, 2527, -2448, 2208, -19, 179, -0, -442, 22, -135
1080, 0, 3, 1265, -2733, 1772, 6, -0, 0, -719, 161, -202
1080, 1, 10, 2309, -2431, 2134, -22, 170, -0, -430, 52, -160
1100, 0, 3, 918, -2571, 1685, 17, 11, 0, -662, 505, -148
1100, 1, 10, 2095, -2406, 2049, -21, 178, 0, -427, 37, -174
1120, 0, 3, 636, -2243, 1627, 13, -2, 0, -412, 741, -84
1120, 1, 10, 1692, -2385, 1908, -19, 175, 0, -847, 73, -291
1140, 0, 4, 633, -1805, 1613, 12, -12, 0, 207, 933, 2
1140, 1, 10, 1291, -2317, 1771, -16, 152, 0, -685, 188, -231
1160, 0, 4, 750, -1379, 1620, 6, 31, -0, 299, 794, 37
1160, 1, 10, 1007, -2169, 1676, -3, 110, -0, -399, 445, -150
1180, 0, 4, 826, -982, 1637, 0, 67, -0, 148, 779, 27
1180, 1, 10, 954, -1922, 1619, 3, 91, 0, 99, 472, -64
1200, 0, 5, 924, -603, 1635, -7, 70, -0, 223, 741, -35
1200, 1, 10, 908, -1703, 1605, 3, 94, -0, -226, 401, -6
1220, 0, 1, 1043, -218, 1606, -11, 77, 0, 243, 774, -80
1220, 1, 10, 874, -1494, 1606, 3, 82, -0, 155, 427, 7
1240, 1, 10, 999, -1301, 1609, -9, 79, -0, 227, 400, -12
1260, 1, 10, 1054, -1079, 1591, -22, 142, 0, -100, 515, -90
1280, 1, 10, 937, -862, 1558, -81, 178, -0, -272, 372, 14
1300, 1, 10, 883, -750, 1787, -51, -99, 0, 36, 129, 921
1320, 1, 10, 848, -630, 2188, -13, 163, 0, -70, 409, 650
1340, 1, 10, 869, -363, 2410, -9, 158, -0, 127, 596, 283
1360, 1, 10, 948, -58, 2497, -17, -176, 0, 129, 620, 102
1380, 1, 10, 953, 246, 2523, -29, -107, -0, -104, 581, 38
1400, 1, 10, 842, 466, 2583, -31, -29, 0, -181, 403, 153
1420, 1, 10, 844, 681, 2633, -27, -54, -0, 178, 405, 44
1440, 0, 10, -3607, -961, 502, 0, 0, 0, 349, -0, 1
1440, 1, 10, 1023, 798, 2608, -25, -55, 0, 437, 99, -104
1460, 0, 10, -3403, -948, 625, 64, 8, 0, 346, 69, 638
1460, 1, 10, 1240, 854, 2565, -29, -55, -0, 419, 188, -46
1480, 0, 10, -3246, -919, 921, 61, 9, -0, 283, 48, 541
1480, 1, 10, 1457, 883, 2555, -32, -141, 0, 452, -81, 30
1500, 0, 10, -3106, -895, 1188, 60, 9, -0, 276, 47, 528
1500, 1, 10, 1667, 803, 2586, -36, -149, -0, 364, -278, 39
1520, 0, 10, -2970, -872, 1449, 60, 9, -0, 269, 45, 514
1520, 1, 10, 1850, 626, 2550, -30, -60, 0, 387, -679, -448
1540, 0, 10, -2838, -850, 1702, 60, 9, -0, 262, 44, 501
1540, 1, 10, 2047, 289, 2327, -30, -59, 0, 403, -668, -450
1560, 0, 10, -2709, -828, 1949, 60, 9, -0, 255, 43, 488
1560, 1, 10, 2260, 132, 2122, -24, -54, -0, 474, -56, -380
1580, 0, 10, -2584, -807, 2189, 60, 9, -0, 245, 41, 469
1580, 1, 10, 2475, -123, 2030, -44, -21, 0, 443, -523, -5
1600, 0, 10, -2465, -787, 2416, 60, 9, -0, 229, 39, 438
1600, 1, 10, 2616, -312, 1807, -45, -85, -0, 336, -459, -537
1620, 0, 10, -2360, -769, 2616, 84, 37, -0, 187, 32, 357
1620, 1, 10, 2774, -543, 1583, -32, -118, -0, 189, -504, -424
1640, 0, 10, -2280, -756, 2769, 63, 32, 0, 137, 23, 263
1640, 1, 10, 2770, -786, 1377, -31, -144, -0, -194, -421, -395
1660, 0, 10, -2221, -746, 2882, 63, 32, 0, 103, 17, 197
1660, 1, 10, 2589, -949, 1231, -84, -152, 0, -400, -274, -279
1680, 0, 10, -2177, -738, 2967, 63, 32, 0, 79, 13, 150
1680, 1, 10, 2393, -1057, 1229, -84, -15, 0, -342, -245, -12
1700, 0, 10, -2142, -732, 3034, 63, 32, 0, 62, 10, 118
1700, 1, 10, 2283, -1200, 1249, -84, -5, -0, -180, -371, 169
1720, 0, 10, -2114, -728, 3087, 63, 32, 0, 50, 8, 96
1720, 1, 10, 2236, -1321, 1370, -84, 9, -0, -98, -17, 949
1740, 0, 10, -2015, -721, 3154, 16, 0, 0, 668, 1, 194
1740, 1, 10, 2142, -1304, 1799, 9, -143, 0, -372, 100, 685
1760, 0, 10, -1688, -721, 3243, -4, -3, 0, 603, -2, 143
1760, 1, 10, 1888, -1267, 2050, 1, -160, -0, -590, -31, 345
1780, 0, 10, -1440, -664, 3291, -20, -15, -0, 357, 291, 55
1780, 1, 10, 1594, -1255, 2191, 23, 154, -0, -568, 80, 267
1800, 0, 10, -1318, -485, 3306, -22, -17, 0, 147, 284, 14
1800, 1, 10, 1314, -1289, 2304, 19, 165, -0, -536, -173, 193
1820, 0, 10, -1282, -416, 3309, -19, -21, 0, 28, 54, 3
1820, 1, 10, 1091, -1239, 2394, 16, 157, 0, -272, 311, 142
1840, 0, 10, -1273, -390, 3310, -21, -15, 0, 188, 723, -0
1840, 1, 10, 1047, -1027, 2438, 19, 165, -0, 23, 458, 46
1860, 0, 6, -1201, -37, 3316, -20, -18, 0, 125, 607, 10
1860, 1, 10, 1006, -805, 2476, 15, 160, -0, -152, 426, 93
1880, 0, 6, -1160, 229, 3329, -20, -20, 0, -29, 508, 66
1880, 1, 10, 858, -680, 2533, 19, 157, -0, -349, 141, 120
1900, 0, 2, -1205, 486, 3376, -21, -28, -0, 31, 523, 64
1900, 1, 10, 703, -615, 2587, 19, 151, 0, -371, 175, 134
1920, 1, 10, 458, -548, 2662, 9, 144, -0, -511, 23, 115
1940, 1, 10, 214, -537, 2707, 6, 147, -0, -455, 47, 74
1960, 1, 10, 7, -591, 2728, -31, -159, -0, -334, -197, 19
1980, 1, 10, -136, -675, 2736, -31, -159, -0, -246, -145, 14
2000, 1, 10, -242, -737, 2742, -31, -159, -0, -185, -109, 11
2020, 1, 10, -322, -784, 2747, -31, -159, -0, -142, -83, 8
2040, 1, 10, -385, -821, 2751, -31, -159, -0, -112, -66, 7
2060, 1, 10, -435, -851, 2754, -31, -159, -0, -91, -54, 5
2080, 1, 10, -477, -875, 2756, -31, -159, -0, -77, -45, 4
2100, 1, 10, -512, -896, 2758, -31, -159, -0, -66, -39, 4
2120, 0, 10, 3717, -1400, 507, 0, -180, -0, -124, -0, 0
2120, 1, 10, -543, -914, 2760, -31, -159, -0, -59, -35, 3
2140, 0, 10, 3522, -1372, 600, 41, 165, -0, -538, 150, 459
2140, 1, 10, -572, -931, 2761, -31, -159, -0, -54, -32, 3
2160, 0, 10, 3276, -1304, 820, 46, 165, -0, -433, 117, 416
2160, 1, 10, -598, -946, 2763, -31, -159, -0, -51, -30, 3
2180, 0, 10, 3064, -1241, 1025, 41, 143, 0, -408, 167, 398
2180, 1, 10, -623, -961, 2764, -31, -159, -0, -49, -29, 3
2200, 0, 10, 2866, -1140, 1216, 37, 150, 0, -394, 216, 363
2200, 1, 10, -692, -990, 2737, -20, -175, 0, -329, -106, -159
2220, 0, 10, 2750, -1076, 1325, 23, 157, 0, 49, -25, -29
2220, 1, 10, -898, -1021, 2647, -24, 170, -0, -425, 2, -181
2240, 0, 10, 2678, -1157, 1341, 21, -176, 0, -361, -161, 116
2240, 1, 10, -1106, -983, 2557, -18, 43, -0, -403, 156, -151
2260, 0, 10, 2464, -1182, 1409, 17, 175, -0, -486, 21, 148
2260, 1, 10, -1302, -883, 2505, -3, 53, -0, -390, 242, -53
2280, 0, 10, 2180, -1159, 1501, 28, 174, -0, -626, 59, 260
2280, 1, 10, -1404, -783, 2490, -11, -21, -0, -121, -74, -14
2300, 0, 10, 2024, -1144, 1568, 17, 177, 0, -108, 10, 44
2300, 1, 10, -1375, -926, 2461, -13, -2, -0, 194, -408, -87
2320, 0, 10, 1999, -1142, 1578, 18, 178, -0, 49, -2, -16
2320, 1, 10, -1248, -1114, 2422, -12, -1, 0, 286, -355, -75
2340, 0, 10, 1988, -1142, 1581, 14, -178, 0, -89, -3, 22
2340, 1, 10, -1096, -1285, 2386, -15, 1, 0, 312, -332, -75
2360, 0, 10, 1982, -1142, 1582, 14, -174, 0, -18, -2, 3
2360, 1, 10, -947, -1455, 2349, -14, 7, 0, 221, -399, -49
2380, 0, 10, 1975, -1143, 1583, 15, -169, 0, 60, 13, -16
2380, 1, 10, -873, -1673, 2337, -13, 10, 0, 109, -449, -12
2400, 0, 10, 1966, -1145, 1585, 14, -164, -0, -85, -25, 20
2400, 1, 10, -814, -1894, 2331, -13, 15, 0, 213, -387, -33
2420, 0, 10, 1960, -1147, 1585, 13, -159, 0, -17, -6, 2
2420, 1, 9, -629, -1990, 2291, -15, 18, 0, 444, -41, -110
2440, 0, 10, 1954, -1150, 1586, 15, -162, 0, 58, 19, -18
2440, 1, 9, -285, -1881, 2194, -13, 20, 0, 737, 264, -208
2460, 0, 9, 1950, -1151, 1587, 15, -162, -0, -77, -25, 20
2460, 1, 9, 128, -1740, 2082, -15, 18, 0, 1017, 325, -273
