Username,kills,deaths,playtime,wins,games,WinRate,K/D
Single783,1,4,172.10000000000002,0,2,0.0,0.25
SparkedMoss,30,46,2372.3999999999996,0,3,0.0,0.6521739130434783
xX_PzmuV1517_Xx,127,136,4921.55,1,10,0.1,0.9338235294117647
delgoodie,418,441,19881.475000000002,1,33,0.030303030303030304,0.9478458049886621
postultimatum,448,349,14408.775,8,22,0.36363636363636365,1.2836676217765044
_KWade,66,110,5195.174999999999,0,13,0.0,0.6
P1otza,28,27,1360.8249999999998,1,5,0.2,1.037037037037037
冠Cat,28,48,1525.6999999999998,0,5,0.0,0.5833333333333334
electric.dinosaur,32,50,2295.1499999999996,0,5,0.0,0.64
LAdelg,262,195,10715.100000000002,5,15,0.3333333333333333,1.3435897435897435
feldauer,21,49,1423.35,0,4,0.0,0.42857142857142855
Purple Wizard,54,23,1397.65,2,3,0.6666666666666666,2.347826086956522
Apex,11,22,559.425,0,2,0.0,0.5
SoupDog,263,208,9568.375,4,19,0.21052631578947367,1.2644230769230769
mr.star,95,150,7474.424999999999,1,12,0.08333333333333333,0.6333333333333333
Karl'sLittleBrother,19,29,1421.625,0,3,0.0,0.6551724137931034
okalypto [ATC],62,60,2016.875,0,4,0.0,1.0333333333333334
JackHasSoup,12,21,694.725,0,3,0.0,0.5714285714285714
someguy,31,33,2086.1,0,5,0.0,0.9393939393939394
Raikiwi,30,33,1508.25,0,3,0.0,0.9090909090909091
tonenchantal58,2,5,226.825,0,1,0.0,0.4
stroy,35,51,1489.5749999999998,0,4,0.0,0.6862745098039216
mo7o,60,137,6235.25,1,11,0.09090909090909091,0.43795620437956206
/Toad,229,132,5955.550000000001,6,11,0.5454545454545454,1.7348484848484849
Murple,156,165,8267.125000000002,3,14,0.21428571428571427,0.9454545454545454
Creepposter64,28,94,4705.4,2,8,0.25,0.2978723404255319
aCalicoDragon,31,30,1866.9,1,4,0.25,1.0333333333333334
IRS Max,0,0,1.65,0,1,0.0,0.0
thebugger4,14,23,970.625,0,3,0.0,0.6086956521739131
Morpheus,24,33,1349.9750000000001,1,5,0.2,0.7272727272727273
poesgamer,25,24,1242.7,1,5,0.2,1.0416666666666667
stray,43,38,2056.15,1,3,0.3333333333333333,1.131578947368421
TheArchitect,38,34,1547.0249999999999,0,4,0.0,1.1176470588235294
Larry the Cat,235,217,10678.775000000001,4,16,0.25,1.0829493087557605
My Best,71,126,4897.3,2,5,0.4,0.5634920634920635
Mattrgrock,77,35,2376.1,4,5,0.8,2.2
Juan_64,38,101,4516.025000000001,1,13,0.07692307692307693,0.37623762376237624
killbot,1,3,88.725,0,1,0.0,0.3333333333333333
Duke96,508,287,15826.025000000001,11,21,0.5238095238095238,1.7700348432055748
mr.milk,18,30,983.3,0,3,0.0,0.6
LOxygen,17,13,983.275,0,1,0.0,1.3076923076923077
Knowere,6,10,407.375,0,1,0.0,0.6
empty,53,65,3112.225,3,9,0.3333333333333333,0.8153846153846154
DragoTek0,103,141,5704.775000000001,2,12,0.16666666666666666,0.7304964539007093
someonecool,0,1,83.9,0,1,0.0,0.0
RedX,324,255,11327.55,8,15,0.5333333333333333,1.2705882352941176
Drax,0,5,242.925,1,3,0.3333333333333333,0.0
Lenire,122,80,5490.275,2,7,0.2857142857142857,1.525
Clueless,223,311,13253.574999999999,2,21,0.09523809523809523,0.7170418006430869
tavormeidan,1,4,151.9,0,1,0.0,0.25
Elephant Boy,312,351,18337.9,5,27,0.18518518518518517,0.8888888888888888
yeahmansteam,174,252,10860.675000000001,2,14,0.14285714285714285,0.6904761904761905
NerdBeGaming,10,48,2305.2999999999997,0,3,0.0,0.20833333333333334
__,36,56,2702.8,0,4,0.0,0.6428571428571429
suppermud,137,117,6155.7,3,7,0.42857142857142855,1.170940170940171
PJashly,70,45,2941.75,1,5,0.2,1.5555555555555556
Ghast-Exfil,15,44,1835.475,0,5,0.0,0.3409090909090909
ThugnasT,6,12,377.77500000000003,0,3,0.0,0.5
san saba songbird,323,217,9413.274999999998,6,21,0.2857142857142857,1.4884792626728112
withradish,230,224,12338.625,3,20,0.15,1.0267857142857142
ImmuneToPeas,464,450,21028.95,6,33,0.18181818181818182,1.031111111111111
SupaBotX,91,75,4265.325,2,9,0.2222222222222222,1.2133333333333334
SeasonedRaisin,69,146,6635.174999999999,0,13,0.0,0.4726027397260274
wasdwsads,152,112,5206.400000000001,1,11,0.09090909090909091,1.3571428571428572
twigtarsier,18,39,1198.1999999999998,0,3,0.0,0.46153846153846156
Toodles,103,178,8089.250000000001,1,16,0.0625,0.5786516853932584
We1l_baum,27,52,1599.35,0,4,0.0,0.5192307692307693
olivertcampbell,78,144,5673.674999999999,2,11,0.18181818181818182,0.5416666666666666
Yeetus Deletus,365,198,10092.525000000001,7,16,0.4375,1.8434343434343434
TTK1333,74,91,2816.625,0,7,0.0,0.8131868131868132
wgar9155,193,209,11172.050000000001,2,13,0.15384615384615385,0.9234449760765551
Jolten,11,10,754.0999999999999,1,2,0.5,1.1
2.0,61,37,1911.9499999999998,1,4,0.25,1.6486486486486487
PapaCorn,3,9,284.1,0,1,0.0,0.3333333333333333
epiclolz,73,127,4085.3500000000004,0,8,0.0,0.5748031496062992
GHUIBUL,71,79,3073.775,1,4,0.25,0.8987341772151899
9 Point Flower (she/,3,6,208.775,0,1,0.0,0.5
I Am Faded,57,44,1750.375,0,3,0.0,1.2954545454545454
LCW,18,33,1279.4750000000001,0,3,0.0,0.5454545454545454
Mr Baguetto,18,51,1973.4499999999998,0,3,0.0,0.35294117647058826
dimo,39,47,2366.35,1,4,0.25,0.8297872340425532
trozbax,0,1,62.775,0,1,0.0,0.0
tiger hood,31,60,1760.15,0,4,0.0,0.5166666666666667
Toyota-Thon Enjoyer,53,59,1916.25,0,4,0.0,0.8983050847457628
Cerberus,4,9,306.5,0,1,0.0,0.4444444444444444
Purelight,1,2,61.75,0,1,0.0,0.5
EGDOD333,41,45,3694.2749999999996,2,4,0.5,0.9111111111111111
Sherryッ,1,1,134.45,0,1,0.0,1.0
not_a_1,13,17,1222.575,0,1,0.0,0.7647058823529411
Aurora <3,42,53,2054.8,0,2,0.0,0.7924528301886793
morx,145,172,7599.224999999999,1,10,0.1,0.8430232558139535
Fizz,24,23,1175.45,1,1,1.0,1.0434782608695652
mome,93,56,4218.5,5,8,0.625,1.6607142857142858
crackrat,10,18,695.425,0,1,0.0,0.5555555555555556
Pherrret,0,2,53.8,0,1,0.0,0.0
Koala,0,0,103.7,0,1,0.0,0.0
Squirple,0,1,712.075,0,2,0.0,0.0
BetaTester704,80,80,3158.05,1,4,0.25,1.0
t1anli,23,24,1085.025,0,1,0.0,0.9583333333333334
EnderActually,60,99,3444.15,0,6,0.0,0.6060606060606061
Ririki720,0,3,175.25,0,1,0.0,0.0
IvanLozebin,7,18,576.325,0,1,0.0,0.3888888888888889
ghostking,14,29,1838.35,0,1,0.0,0.4827586206896552
KEV,0,0,88.275,0,1,0.0,0.0
Smartoom,0,0,77.625,0,1,0.0,0.0
DatDragon,0,0,43.075,0,1,0.0,0.0
primevolcano,0,0,74.825,0,1,0.0,0.0
sh-owie ouch ooooh o,0,0,156.875,0,1,0.0,0.0
RedstoneWizard08,0,0,83.875,0,1,0.0,0.0
BirbWithHat,71,109,4803.975,0,4,0.0,0.6513761467889908
SoloRiotz,2,1,112.25,0,1,0.0,2.0
dognort,0,0,712.275,0,1,0.0,0.0
GOTH Angel Cat,0,2,63.85,0,1,0.0,0.0
raykirayk,19,26,967.25,0,2,0.0,0.7307692307692307
Rimuru,4,5,291.65,0,1,0.0,0.8
SynCinn,77,73,3723.7749999999996,0,3,0.0,1.0547945205479452
roentgen_industries,2,2,116.05,0,1,0.0,1.0
Zoxolotl,9,10,618.0749999999999,1,2,0.5,0.9
blackalister,4,11,714.5,1,2,0.5,0.36363636363636365
