fight_id,player,win,attribution_weight,item_used,damage_dealt_with_item,enemy_item_primary,start_health,start_dist
g946624768885919685_0,xX_PzmuV1517_Xx,0,1.0,Sledge,0,AstroRifle,10.0,810.3344988336606
g946624768885919685_0,postultimatum,1,1.0,AstroRifle,10,Sledge,10.0,810.3344988336606
g946624768885919685_1,postultimatum,1,1.0,AstroRifle,10,AstroRifle,10.0,1648.3634308003802
g946624768885919685_1,feldauer,0,1.0,AstroRifle,2,AstroRifle,10.0,1648.3634308003802
g946624768885919685_2,xX_PzmuV1517_Xx,0,1.0,Sledge,6,AstroRifle,10.0,1250.47910818214
g946624768885919685_2,postultimatum,1,0.6,AstroRifle,6,Sledge,8.0,1250.47910818214
g946624768885919685_2,postultimatum,1,0.4,Spark,4,Sledge,8.0,1250.47910818214
g946624768885919685_3,postultimatum,1,1.0,Spark,12,Sword,2.0,2195.8399304138725
g946624768885919685_3,delgoodie,0,1.0,Sword,0,Spark,10.0,2195.8399304138725
g946624768885919685_4,xX_PzmuV1517_Xx,0,1.0,Nightshade,0,AstroRifle,10.0,1739.29295979717
g946624768885919685_4,feldauer,1,1.0,AstroRifle,10,Nightshade,10.0,1739.29295979717
g946624768885919685_5,postultimatum,1,1.0,Spark,12,AstroRifle,10.0,2168.0781812471614
g946624768885919685_5,feldauer,0,1.0,AstroRifle,0,Spark,10.0,2168.0781812471614
g946624768885919685_6,postultimatum,0,0.6666666666666666,Spark,4,Sword,10.0,2711.9153747858727
g946624768885919685_6,postultimatum,0,0.3333333333333333,AstroRifle,2,Sword,10.0,2711.9153747858727
g946624768885919685_6,LAdelg,1,0.4,Spark,4,Spark,10.0,2711.9153747858727
g946624768885919685_6,LAdelg,1,0.6,Sword,6,Spark,10.0,2711.9153747858727
g946624768885919685_7,feldauer,1,1.0,AstroRifle,10,Nightshade,10.0,2952.895020145484
g946624768885919685_7,delgoodie,0,1.0,Nightshade,7,AstroRifle,10.0,2952.895020145484
g946624768885919685_8,xX_PzmuV1517_Xx,1,0.7,Nightshade,7,AstroRifle,10.0,2395.839936222785
g946624768885919685_8,xX_PzmuV1517_Xx,1,0.1,Sledge,1,AstroRifle,10.0,2395.839936222785
g946624768885919685_8,postultimatum,0,1.0,AstroRifle,0,Nightshade,10.0,2395.839936222785
g946624768885919685_9,postultimatum,0,1.0,AstroRifle,2,Sword,10.0,1992.1312707750963
g946624768885919685_9,LAdelg,1,0.2,Sword,2,AstroRifle,10.0,1992.1312707750963
g946624768885919685_10,xX_PzmuV1517_Xx,0,1.0,Sledge,1,Sword,10.0,571.6266263917383
g946624768885919685_10,LAdelg,1,1.0,Sword,10,Sledge,8.0,571.6266263917383
g946624768885919685_11,postultimatum,1,0.8,Spark,8,AstroRifle,10.0,3642.4461560879663
g946624768885919685_11,postultimatum,1,0.2,AstroRifle,2,AstroRifle,10.0,3642.4461560879663
g946624768885919685_11,SparkedMoss,0,1.0,AstroRifle,0,Spark,10.0,3642.4461560879663
g946624768885919685_12,xX_PzmuV1517_Xx,1,0.0,Nightshade,0,AstroRifle,10.0,2776.544975324549
g946624768885919685_12,SparkedMoss,0,1.0,AstroRifle,4,Nightshade,6.0,2776.544975324549
g946624768885919685_14,feldauer,0,1.0,Sword,0,Spark,10.0,1135.913288944187
g946624768885919685_14,LAdelg,1,1.0,Spark,12,Sword,8.0,1135.913288944187
g946624768885919685_13,postultimatum,1,1.0,AstroRifle,10,Nightshade,10.0,1969.8672544108144
g946624768885919685_13,delgoodie,0,1.0,Nightshade,0,AstroRifle,10.0,1969.8672544108144
g946624768885919685_15,xX_PzmuV1517_Xx,0,1.0,Sledge,4,Spark,6.0,1863.945278166717
g946624768885919685_15,LAdelg,1,0.8,Spark,8,Sledge,10.0,1863.945278166717
g946624768885919685_16,postultimatum,1,1.0,AstroRifle,10,AstroRifle,10.0,1544.9171498821547
