Username,Mu,Sigma,Conservative_Score
Duke96,34.236798818540336,1.2033552705035735,30.626733007029614
Yeetus Deletus,33.89156293583167,1.3314755393585562,29.897136317756004
Purple Wizard,33.4897745020311,3.261922769527306,23.704006193449185
/Toad,31.379808072268418,1.6050976024564239,26.564515264899146
LAdelg,31.16744978201048,1.3617797677869308,27.08211047864969
Mattrgrock,30.638697712550215,2.450572960366417,23.286978831450966
SoloRiotz,30.60931674698912,6.323293996790186,11.63943475661856
san saba songbird,30.504302055218155,1.1209696777852556,27.14139302186239
I Am Faded,30.222327505306485,2.6646974005768653,22.22823530357589
SoupDog,29.707432217852674,1.1760887068466708,26.17916609731266
suppermud,29.669085539834494,1.858472564632623,24.093667845936626
2.0,29.425207111488277,2.626713691103101,21.545066038178973
stray,29.1772599930528,2.844113571527658,20.644919278469825
wasdwsads,29.17258671291091,1.4782820806808346,24.737740470868406
postultimatum,29.06583408823147,1.194053727204635,25.483672906617564
Lenire,29.04210722736041,1.9150671356822595,23.296905820313633
RedX,28.788004312773865,1.4284364803996783,24.502694871574832
mome,28.523751676980826,2.3494542979902686,21.47538878301002
LOxygen,28.520895483451664,4.135975945649932,16.11296764650187
Jolten,28.198203082509476,3.4034370272882413,17.987892000644752
PJashly,28.030315160210915,2.091284724742725,21.75646098598274
SupaBotX,27.753100653987417,1.5743608604188863,23.03001807273076
Murple,27.725488378492347,1.295139779109018,23.840069041165293
P1otza,27.377410815156832,2.5430637787138215,19.74821947901537
Purelight,27.291612958271905,4.299955326779489,14.391746977933437
Sherryッ,27.142364511631033,4.461770453763042,13.757053150341907
Larry the Cat,27.137305492941408,1.2098738495389358,23.5076839443246
Fizz,27.127592591654025,4.509392467089914,13.599415190384281
delgoodie,27.020833774492942,0.8840503654563969,24.36868267812375
empty,26.921371017217908,1.623363781027127,22.051279674136527
DragoTek0,26.843232945856013,1.3824121484310374,22.6959965005629
Drax,26.588576293238237,2.663364649035095,18.598482346132954
KEV,26.565919138411672,4.131588580564566,14.171153396717974
Smartoom,26.56591908342657,4.131588320377281,14.171154122294729
Elephant Boy,26.455484054672517,0.9938197640350523,23.47402476256736
aCalicoDragon,26.437010611901588,3.1591780530706552,16.95947645268962
TheArchitect,26.432494749836103,2.2860606857472523,19.574312692594347
trozbax,26.37098370595881,4.08397173343481,14.119068505654381
ImmuneToPeas,26.361569629432314,0.9262809628396429,23.582726740913387
poesgamer,26.23766034409835,2.0674979756641645,20.035166417105856
okalypto [ATC],26.12694660782442,2.487320491948025,18.664985131980345
GHUIBUL,26.013944034029468,2.3560947674068435,18.945659731808938
dimo,25.853170499163724,2.508880733465496,18.326528298767236
Cerberus,25.67482052129141,4.29288505097577,12.796165368364097
TTK1333,25.673132637295073,1.9105186146691633,19.94157679328758
stroy,25.63510269445267,2.4742701284822086,18.212292309006045
IRS Max,25.481715011021027,4.062316946637571,13.294764171108314
Zoxolotl,25.3801560165287,4.274357698582931,12.557082920779909
wgar9155,25.3743901948253,1.4893508486782394,20.906337648790583
