map,x,y,z
Stadium,3282,103,72
Stadium,4790,634,-303
Stadium,4517,-217,-1543
Stadium,4688,240,339
Stadium,4080,1740,-1198
Stadium,3466,2952,-1347
Stadium,2208,2875,-219
Stadium,5129,-970,2114
Stadium,5367,-470,-726
Stadium,4448,-693,-406
Stadium,2125,2612,380
Stadium,5004,1247,403
Stadium,1531,2247,978
Stadium,4355,2269,-535
Stadium,3571,2652,1435
Stadium,3268,-1093,203
Stadium,2573,161,357
Stadium,2691,346,399
Stadium,2747,-152,-267
Stadium,3186,-341,-91
Stadium,3174,964,-1997
Stadium,2855,1397,-955
Stadium,3122,1457,-1152
Stadium,3054,1195,-446
Stadium,3038,764,-1231
Stadium,4214,2886,-1299
Stadium,4125,6526,337
Stadium,4236,1758,548
Stadium,3709,1174,3463
Stadium,1435,-61,-985
Stadium,4828,2104,2381
Stadium,4251,2891,835
Stadium,1971,1251,1886
Stadium,5025,3277,1093
Stadium,5723,285,2826
Stadium,2564,1265,2600
Stadium,3676,3064,-1939
Stadium,1099,881,2193
Stadium,3184,-1324,1049
Stadium,9994,1991,435
Stadium,2356,-607,1431
Stadium,4740,969,979
Stadium,7808,1027,852
Stadium,8013,859,1884
Stadium,7024,600,-127
Stadium,6916,1046,-90
Stadium,6654,1184,399
Stadium,6937,1098,777
Stadium,3481,-2024,1166
Stadium,5863,-636,1055
Stadium,2339,-301,1315
Stadium,5839,-941,899
Stadium,2605,1097,403
Stadium,4866,593,721
Stadium,4321,2435,1091
Stadium,1812,-14,-2215
Stadium,3980,2547,1680
Stadium,2460,-474,-1260
Stadium,3690,3214,-2003
Stadium,4624,-1094,2077
Stadium,5133,-104,1784
Stadium,4464,586,312
Stadium,4583,-746,1761
Stadium,4877,-996,2521
Stadium,4240,1572,-601
Stadium,4855,1486,-587
Stadium,5469,3221,-1444
Stadium,1997,2560,-79
Stadium,3894,4329,-4258
Stadium,5037,-188,2929
Stadium,3870,3196,-2831
Stadium,5144,-1906,2080
Stadium,3236,2453,-1696
Stadium,3781,2790,2574
Stadium,2097,4218,3365
Stadium,2705,784,-1410
Stadium,2364,1921,-1405
Stadium,2952,462,-185
Stadium,4906,1479,-796
Stadium,5703,474,-749
Stadium,4370,1119,-463
Stadium,4145,-470,-1359
Stadium,4047,1620,289
Stadium,4228,1222,864
Stadium,3701,-161,-9
Stadium,4433,1257,431
Stadium,4651,2213,2096
Stadium,4583,2188,1752
Stadium,6304,1147,1404
Stadium,5871,867,1454
Stadium,7514,711,3752
Stadium,4907,1529,3124
Stadium,4451,845,5638
Stadium,5252,1805,2796
Stadium,4358,1962,-709
Stadium,6089,2254,3692
Stadium,4127,57,-987
Stadium,1712,1471,-49
Stadium,5882,1361,-1992
Stadium,1732,3075,1440
Stadium,3690,3214,-2003
Stadium,2184,2696,-46
Stadium,2799,2175,-240
Stadium,4087,-295,-1909
Stadium,4580,-1804,1882
Stadium,3471,-3390,1690
Stadium,2230,1068,559
Stadium,988,395,-732
Stadium,2154,795,-598
Stadium,1091,1542,-1929
Stadium,1787,2102,-2445
Stadium,3597,2028,8
Stadium,2308,1806,-484
Stadium,247,2747,-979
Stadium,4067,1353,111
Stadium,4597,2760,259
Stadium,4906,2926,-94
Stadium,5677,-1258,1002
Stadium,5536,681,1630
Stadium,2111,384,2244
Stadium,3643,3263,-2082
Stadium,1773,-1001,643
Stadium,5728,-270,2227
Stadium,1686,-1167,188
Stadium,5193,3788,3694
Stadium,5323,1808,-2557
